OID,FID_,X,Y,BCE_Manuka
278,278,1756916.977967876,5910180.629998489,1.337755033
279,279,1756937.377122415,5910170.282862834,1.43337499
280,280,1759957.211812808,5910103.931529364,0.975374982
281,281,1759714.360555882,5910261.02766612,1.057402718
282,282,1748645.738772104,5910317.612211478,0.324000007
283,283,1756290.804870005,5910042.636128054,0.332499999
284,284,1756376.072243869,5910019.983271944,0.842818175
285,285,1756359.55511486,5910010.482267941,0.581643822
286,286,1756334.350498178,5910001.413148191,0.424571441
287,287,1756298.102900666,5909972.712568983,0.038235294
288,288,1756398.558200326,5909955.264147835,2.164408975
289,289,1748661.643450887,5910098.474295133,-0.326024008
290,290,1756376.864893545,5909941.480098065,3.190129822
291,291,1748393.685275104,5910052.727292724,0.388115388
292,292,1748481.336898314,5910049.614676599,0.043393543
293,293,1748614.937117482,5910048.354201817,-0.536711798
294,294,1748361.286961021,5910038.235775067,0.481775779
295,295,1761475.584149625,5909885.293664909,0.827368295
296,296,1761199.733865191,5909791.284943205,0.475999999
297,297,1748320.655024305,5910023.520100199,0.657902438
298,298,1761179.544848703,5909781.698464179,0.4671875
299,299,1756218.562907614,5909875.172085892,1.238440278
300,300,1756369.830345685,5909867.827580585,1.457583312
301,301,1756322.120716911,5909822.908298811,1.254689644
302,302,1748309.57098902,5909877.545268076,0.581481478
303,303,1756325.301784168,5909727.94895663,0.577117105
304,304,1756300.379195359,5909693.513404975,0.258974361
305,305,1756284.196848195,5909683.841441002,0.188999999
306,306,1748368.508995353,5909815.971387164,0.443447208
307,307,1748380.33388966,5909805.795182044,0.497625003
308,308,1756283.663783694,5909664.012865181,1.237894738
309,309,1762323.514494597,5909550.516682817,1.782016819
310,310,1748392.158755851,5909795.618955646,0.3760629
311,311,1762195.329779479,5909542.997772668,2.355999979
312,312,1756307.093598035,5909623.60038952,0.460624993
313,313,1748436.823703789,5909768.101455056,0.912031501
314,314,1748485.585239528,5909761.583906604,0.241134374
