FID,X,Y,BCE_Kaipara_Harbour_System_Seagrass
62,1690335.161558554507792,6001272.590601780451834,0.445719007000000
63,1690372.515591943636537,6001253.028702676296234,0.373500002000000
64,1690380.684297553962097,6001244.009279379621148,0.091039218000000
65,1690396.497013683430851,6001242.139878195710480,0.443406254000000
66,1723780.921693892451003,6000853.222452969290316,
67,1690408.687214461155236,6001233.262232130393386,0.267072729000000
68,1723790.238918775692582,6000823.900847310200334,
69,1712080.573629230260849,6000962.130460172891617,-0.643289162000000
70,1690472.760132601484656,6001202.160099445842206,0.133675675000000
71,1723805.662513764342293,6000794.184561776928604,
72,1723781.129100254969671,6000774.598506756126881,
73,1690557.694505410036072,6001162.454577727243304,0.027999992000000
74,1723780.846920897020027,6000754.669048734009266,-0.989500001000000
75,1723732.504676396492869,6000755.152826621197164,
76,1690664.886978002497926,6001105.937539343722165,-0.236666666000000
77,1690680.991801870521158,6001099.527298299595714,-0.140774768000000
78,1690697.559581653913483,6001089.932595985941589,-0.275237415000000
79,1723773.281281785340980,6000675.173386380076408,
80,1724004.216296412283555,6000661.886793264187872,1.722363605000000
81,1690786.415186906931922,6001048.036299485713243,0.099473070000000
82,1724000.287955545820296,6000624.741883268579841,0.734938145000000
83,1690858.323179457103834,6001008.166759145446122,-0.173134916000000
84,1690879.364691175986081,6000998.944025634787977,0.166532781000000
85,1723820.420849373331293,6000575.170341118238866,
86,1723850.745224865851924,6000578.495609248988330,
87,1690942.924455574946478,6000956.329164233058691,-0.423800013000000
88,1711693.418753969483078,6000717.930389558896422,-0.552146329000000
89,1724008.088140167528763,6000571.962389050051570,0.341406938000000
90,1724018.552987332455814,6000534.159044790081680,0.251333326000000
91,1690980.621483589056879,6000931.495106730610132,-0.268906530000000
92,1723842.646962532773614,6000504.968964414671063,
93,1724054.949166935635731,6000514.156219277530909,0.789717694000000
94,1691087.661415403475985,6000873.411592719145119,0.196055385000000
95,1723930.340574360685423,6000463.515752781182528,-0.972000052000000
96,1691115.794853325700387,6000856.603464310057461,0.466619046000000
97,1724063.806997392326593,6000456.438177473843098,0.528034925000000
98,1723954.308298463933170,6000443.242440787144005,-0.857527271000000
99,1723860.245945693226531,6000435.400217708200216,-0.999200058000000
100,1724107.487329631578177,6000401.001381427049637,0.617104660000000
101,1723872.415867153089494,6000394.457276090048254,-0.994882359000000
102,1724009.871611291775480,6000396.838346865028143,-0.684345447000000
103,1723880.895221897168085,6000374.515988617204130,-0.992388904000000
104,1711649.866974038304761,6000519.162840609438717,-0.614607148000000
105,1724102.759174743667245,6000358.379213741049170,2.016664286000000
106,1709930.080521739087999,6000512.129157893359661,0.741858701000000
107,1691409.627885219873860,6000684.487860654480755,0.681675322000000
108,1724118.840261850506067,6000271.126474265940487,-0.193428563000000
109,1711560.279569399543107,6000434.956456199288368,-0.663059325000000
110,1724137.597206538310274,6000255.248948102816939,0.003000006000000
111,1724703.525843129260466,6000243.016775213181973,0.297511631000000
112,1724687.227972697932273,6000234.008916426450014,-0.021270835000000
113,1724753.658640545792878,6000232.870219315402210,0.486184356000000
114,1724017.393191634444520,6000241.377592490054667,-0.713531191000000
115,1724775.848845128901303,6000212.084168480709195,0.819174994000000
116,1691489.242921893950552,6000610.479444819502532,0.657652169000000
117,1724783.789839140139520,6000202.003809042274952,0.391424999000000
118,1724807.907653523841873,6000192.419347653165460,0.094425927000000
119,1691506.289734215708449,6000589.076011471450329,-0.038465387000000
120,1708111.866514219203964,6000386.189327888190746,0.946254099000000
121,1708135.651839420199394,6000352.128874194808304,1.060119128000000
122,1724017.808797911508009,6000141.510080372914672,-0.890708720000000
123,1724836.544326335890219,6000121.919576189480722,0.134369371000000
124,1691583.626827696338296,6000530.434170059859753,0.222311321000000
125,1708175.545451446669176,6000316.674059195443988,1.586641190000000
126,1724066.555670789210126,6000096.915778774768114,-0.824000001000000
127,1724948.563684424152598,6000074.849087114445865,0.474860633000000
128,1708214.983120955759659,6000289.828560313209891,3.807075268000000
129,1708212.693794456776232,6000264.146514508873224,0.585031060000000
130,1708267.818712587701157,6000252.706980795599520,1.519379754000000
131,1711456.562146944459528,6000212.677807273343205,-0.982714261000000
132,1724111.868578956695274,6000045.086965085938573,-0.932730801000000
133,1724130.458538528531790,6000032.749878818169236,-0.928080650000000
134,1691714.061771573964506,6000422.197690728120506,0.786475016000000
135,1724150.983825045404956,6000021.740639304742217,-0.923926851000000
136,1691722.039966857293621,6000412.148477012291551,0.771900004000000
137,1691730.025744596030563,6000402.825837840326130,0.814431388000000
138,1708339.985542016569525,6000202.033952992409468,1.901265798000000
139,1708283.121908350149170,6000192.973337397910655,0.174767856000000
140,1724223.180329049704596,5999981.738499297760427,-0.923461570000000
141,1709875.503772808471695,6000182.009021972306073,0.779407729000000
142,1724529.142319707665592,5999973.222924287430942,-0.953785998000000
143,1691784.402404095279053,6000354.692989930510521,0.778568572000000
144,1710957.608469612896442,6000119.364384487271309,
145,1724288.281978969695047,5999943.283628931269050,-0.931333352000000
146,1708344.466364603955299,6000155.885028274729848,0.481009190000000
147,1711377.661296831443906,6000094.089294850826263,
148,1724312.235444914316759,5999922.170111473649740,-0.936416661000000
149,1724512.311029294971377,5999911.290917977690697,-0.944669722000000
150,1727516.590545827988535,5999876.876310067251325,0.503564436000000
151,1707052.208264341810718,6000127.597847521305084,1.268144705000000
152,1708452.032766224816442,6000110.949660089798272,0.357249999000000
153,1724338.751181432977319,5999894.358210092410445,
154,1691847.547804182395339,6000282.402543115429580,0.939049701000000
155,1710957.303098312346265,6000048.878344355151057,
156,1710982.339161826530471,6000029.268709233961999,
157,1724374.381963711464778,5999839.068887666799128,-0.943400013000000
158,1711328.230693100253120,5999975.124781722202897,
159,1711319.957616535481066,5999960.280877630226314,
160,1711311.303829502081499,5999915.543244008906186,
161,1711300.350708196405321,5999877.754343942739069,-0.961583314000000
162,1727533.083943782607093,5999644.613139732740819,0.254803922000000
163,1711422.018124823691323,5999813.792754039168358,0.880839280000000
164,1727475.000914407661185,5999585.289041179232299,-0.773642866000000
165,1727562.917134620947763,5999593.074058018624783,-0.057861399000000
166,1724460.031765419291332,5999618.787679297849536,-0.927454528000000
167,1724613.742538211401552,5999616.389763004146516,-0.877224995000000
168,1724478.267255965387449,5999624.097596595063806,-0.927374998000000
169,1727587.722531057195738,5999553.743268019519746,-0.472928560000000
170,1727563.561915577389300,5999548.911360261961818,-0.793896769000000
171,1711252.021933679701760,5999770.645241077989340,
172,1711504.922225904185325,5999762.453500984236598,1.454542749000000
173,1711463.533601521281525,5999747.477507310919464,0.422424747000000
174,1727619.492928932886571,5999523.139415496960282,-0.181865863000000
175,1711203.786633184179664,5999737.721710993908346,
176,1727368.923866097116843,5999506.899274904280901,-0.769074993000000
177,1727469.831698518712074,5999482.461498924531043,-0.784839056000000
178,1727510.077889235690236,5999455.590162464417517,-0.786179256000000
179,1727675.052821642719209,5999442.469391740858555,0.320311691000000
180,1692275.830418140860274,5999881.362230446189642,0.796443391000000
181,1727618.560072468826547,5999477.723195338621736,-0.724095487000000
182,1727682.797632706584409,5999432.177312455140054,0.598861104000000
183,1727658.734522990183905,5999422.934965085238218,-0.760674999000000
184,1727197.872365644900128,5999418.961797201074660,-0.760142846000000
185,1727642.263633372727782,5999413.409794729202986,-0.759509094000000
186,1724492.025728119304404,5999455.312454415485263,-0.900531646000000
187,1727537.044870245968923,5999404.979164801537991,-0.769107144000000
188,1724683.338060570182279,5999435.994898620061576,-0.389600026000000
189,1727700.257439822657034,5999395.214054523967206,0.652026320000000
190,1711209.209061867091805,5999655.179828173480928,-0.934999960000000
191,1711194.089654208393767,5999598.117295461706817,
192,1727677.897694762097672,5999382.472307449206710,-0.744196991000000
