FID,X,Y,BCE_Kaipara_Harbour_System_Seagrass
469,1693097.992094488115981,5998453.831942037679255,0.496047620000000
470,1710578.842914205743000,5998250.524273918941617,
471,1725032.438568389508873,5998065.954711951315403,2.438214634000000
472,1693105.869468291057274,5998442.113584888167679,0.515296290000000
473,1724640.682548322947696,5998070.094609522260725,
474,1728438.017592784715816,5997994.290448267944157,0.278458338000000
475,1693115.599591106409207,5998434.117110669612885,0.399800019000000
476,1710991.068415268557146,5998267.101681332103908,0.603350459000000
477,1728473.750612410949543,5997985.323373798280954,0.814722223000000
478,1711006.760375269688666,5998215.198055406101048,-0.132299995000000
479,1725052.130426870193332,5998030.387151129543781,1.274999971000000
480,1709626.068387117702514,5998223.409089344553649,
