OID,FID_,X,Y,BCE_Mahura
243,243,1753649.207669795,5966252.854223528,-9999.0
244,244,1753840.248972525,5966254.014657746,-9999.0
245,245,1754477.549522589,5966241.436441949,0.150344826
246,246,1753879.034612959,5966251.121769139,-9999.0
247,247,1753847.477947948,5966224.597073124,-9999.0
248,248,1754506.174188198,5966200.833130853,0.317999999
249,249,1753685.776669318,5966211.754467187,-9999.0
250,250,1753839.039379773,5966193.91264004,-9999.0
251,251,1754540.138703199,5966179.883007862,0.226666666
252,252,1753830.822501741,5966184.816927115,-9999.0
253,253,1753847.383488321,5966180.102401215,-9999.0
254,254,1754547.59082876,5966151.964134843,0.225803923
255,255,1753866.961357392,5966154.851275295,-9999.0
256,256,1753891.910277783,5966188.869915846,-9999.0
257,257,1753298.597655237,5966534.276502331,-0.344597481
258,258,1753826.086874684,5966145.025847658,-9999.0
259,259,1753846.02924572,5966124.934408305,-9999.0
260,260,1754559.055070997,5966116.743557197,0.304793638
261,261,1753837.633392258,5966114.913800519,-9999.0
262,262,1753875.002975695,5966107.557293274,-9999.0
263,263,1753831.919064378,5966085.193611127,-9999.0
264,264,1753821.229032999,5966065.36151967,-9999.0
265,265,1753792.716416529,5966056.48415246,-9999.0
266,266,1753832.543022997,5966055.191319796,-9999.0
267,267,1753792.184460228,5966026.587085698,-9999.0
268,268,1754613.662441777,5966010.558381864,0.288274649
269,269,1753819.400424922,5965995.612150729,-9999.0
270,270,1753818.281223184,5965965.725520159,-9999.0
271,271,1753430.392061517,5965975.111566157,-0.47649383
272,272,1753834.104426957,5965925.76971324,-9999.0
273,273,1753859.053442367,5965930.673496434,-9999.0
274,274,1753677.503187962,5965918.969624414,-9999.0
275,275,1753926.943795608,5965904.562028218,-9999.0
276,276,1754609.789051919,5965891.906946118,0.269864862
277,277,1753677.14880036,5965899.038246767,-9999.0
278,278,1753858.438923585,5965899.68754333,-9999.0
279,279,1753897.4726655,5965924.019892729,-9999.0
280,280,1753886.3279811,5965885.347567749,-9999.0
281,281,1753849.487953562,5965879.962445903,-9999.0
282,282,1753897.952692141,5965874.386428671,-9999.0
283,283,1753962.0521183,5965873.647218429,-9999.0
284,284,1754759.376495945,5965868.849778603,-9999.0
285,285,1753935.267686476,5965872.184569876,-9999.0
286,286,1754614.273842946,5965836.880796478,0.246936943
287,287,1753832.508049508,5965836.078486421,-9999.0
288,288,1753904.680049555,5965839.012203047,-9999.0
289,289,1753449.003657541,5965863.649259834,-0.433761738
290,290,1753662.93910512,5965833.344683859,-9999.0
291,291,1753853.054902395,5965826.126818086,-9999.0
292,292,1753832.153294794,5965816.147101178,-9999.0
293,293,1753920.429346059,5965818.794029938,-9999.0
294,294,1753857.583405379,5965806.264260517,-9999.0
295,295,1753984.537523277,5965803.263441512,-9999.0
296,296,1753670.75686077,5965799.080580928,-9999.0
297,297,1753879.933616222,5965785.389976199,-9999.0
298,298,1753848.955069143,5965782.131887179,-9999.0
299,299,1753960.276858042,5965773.990269975,-9999.0
300,300,1753871.526688461,5965765.601947982,-9999.0
301,301,1754584.190163475,5965763.154619141,0.144615386
302,302,1753874.698442836,5965746.412529091,-9999.0
303,303,1753960.069289952,5965744.087392901,-9999.0
304,304,1753804.684631925,5965783.172796101,-9999.0
305,305,1753873.280769904,5965719.802256125,-9999.0
306,306,1754002.57027052,5965714.627636655,-9999.0
307,307,1753858.80064691,5965696.429455056,-9999.0
308,308,1754112.0280173,5965676.243908488,-9999.0
309,309,1753475.011254215,5965652.825120972,-0.252725003
310,310,1753825.705780158,5965647.174307853,-9999.0
311,311,1753893.375928445,5965635.617804507,-9999.0
312,312,1753724.100852188,5965628.259187895,-9999.0
313,313,1753844.886903705,5965626.512257628,-9999.0
314,314,1753853.079269122,5965615.995175134,-9999.0
315,315,1754053.704113668,5965592.885892637,-9999.0
316,316,1753753.647606872,5965820.792310675,-9999.0
317,317,1753820.346628083,5965587.073664259,-9999.0
318,318,1753932.570577062,5965575.106622837,-9999.0
319,319,1754294.478903804,5965576.771965637,-9999.0
320,320,1753788.267715647,5965584.929383199,-9999.0
321,321,1753871.64768418,5965571.259988626,-9999.0
322,322,1754181.893401029,5965545.538736533,-9999.0
323,323,1754477.733951618,5965524.659866187,0.086333086
324,324,1753540.979753446,5965537.333114909,-0.540494117
325,325,1753768.515885629,5965545.881573471,-9999.0
326,326,1754189.164023297,5965510.719154215,-9999.0
