OID,FID_,X,Y,BCE_Ruatan
418,418,1572707.620889639,5498829.432111944,0.179288457
419,419,1571425.096796813,5498814.436412993,0.323239131
420,420,1571895.328910715,5498816.229268631,-0.330214277
421,421,1571887.773304077,5498806.229279989,-0.342074997
422,422,1571347.586743097,5498827.051521608,0.500343245
423,423,1572936.038809132,5498804.618269746,-0.15050633
424,424,1571965.155995103,5498755.756821814,-0.315751586
425,425,1572738.359920663,5498729.830844635,-0.424403852
426,426,1571451.824199689,5498769.677740213,0.412584776
427,427,1571834.979090122,5498711.300928789,-0.064668423
428,428,1572122.726590893,5498707.738061375,-0.234383333
429,429,1571941.29695478,5498667.036170763,-0.166230775
430,430,1572294.296135967,5498670.60702031,-0.379007164
431,431,1572252.765661443,5498628.319799362,-0.471999994
432,432,1571652.579728511,5498620.295495609,0.404466666
433,433,1572150.848086473,5498618.344133012,-0.358028469
434,434,1571703.982349878,5498731.16357427,0.089892737
435,435,1571862.460688333,5498577.37229059,0.122435643
436,436,1571746.917410902,5498562.891778025,0.339411762
437,437,1571989.223796216,5498508.519381621,0.237507112
438,438,1571829.459999457,5498495.986848652,0.351999998
439,439,1571896.378923377,5498497.352326292,0.219538461
440,440,1571904.322587844,5498487.001954092,0.267415091
441,441,1571867.86253625,5498478.590548041,0.429578184
442,442,1572173.810311607,5498463.291747684,0.110593334
443,443,1571828.498502377,5498448.625312876,0.62114437
444,444,1571945.871026391,5498485.039968866,0.351007364
445,445,1572162.476898287,5498448.292177844,0.0534
446,446,1571920.352864071,5498428.618985315,0.562159258
447,447,1571976.997666351,5498417.015460145,0.577699043
448,448,1572180.22116145,5498422.552861581,-0.022408783
449,449,1571995.620041656,5498397.808224824,0.019914286
450,450,1571938.692183823,5498392.607775797,0.722295569
451,451,1571941.494137494,5498534.309495422,0.063242659
452,452,1572413.133887236,5498398.143070083,-0.113923966
453,453,1572133.61011692,5498369.147829231,0.134596026
454,454,1572166.213703569,5498357.981970168,-0.11996078
455,455,1571927.510009507,5498337.722730882,0.68987142
456,456,1572142.182287066,5498344.636053571,-0.077516305
457,457,1572079.247585871,5498328.527411237,0.302942305
458,458,1572007.705578762,5498318.663795586,0.056259999
459,459,1572038.354654131,5498337.735738119,0.17422512
460,460,1572093.421285475,5498317.669528543,0.236697986
461,461,1572128.299209225,5498308.623774042,0.026959439
462,462,1572164.995227325,5498313.350040118,0.214659899
463,463,1572095.945323869,5498289.235135111,0.285038966
464,464,1572208.786094632,5498289.127264004,-0.053423076
465,465,1571875.848098371,5498276.791216194,0.54592994
