OID,FID_,X,Y,BCE_Port_F
403,403,1808849.350454041,5992461.744331731,-9999.0
404,404,1808781.969293276,5992488.981907746,-0.437354347
405,405,1808837.756617383,5992444.942513556,-0.818250023
406,406,1808149.591252601,5992401.468558164,1.176868401
407,407,1808157.432109424,5992391.309284955,0.166864825
408,408,1809019.663591302,5992364.393960464,-9999.0
409,409,1808092.658740476,5992470.290351907,0.597500604
410,410,1808180.716630132,5992350.864985773,-0.089148963
411,411,1808204.953029134,5992350.286315951,-9999.0
412,412,1808941.003433427,5992383.445861907,-0.602772438
413,413,1808204.12030919,5992315.403454198,1.826553167
414,414,1808220.516141371,5992319.248604937,-9999.0
415,415,1808227.171908133,5992289.923097794,-9999.0
416,416,1809218.603043332,5992324.805426957,-0.239914694
417,417,1809417.690004492,5992191.60681141,-9999.0
418,418,1809339.959916905,5992195.697419256,-0.42054547
419,419,1809429.568909167,5992181.349556802,-9999.0
420,420,1808153.315002571,5992206.923343726,1.14403042
421,421,1809405.093687558,5992171.964829446,0.235656225
422,422,1809421.011454909,5992161.61060952,1.149944421
423,423,1811157.469889381,5992127.04637525,-0.752000023
424,424,1811182.130876873,5992118.407640692,-0.444306118
425,425,1811283.268386453,5992126.88415894,0.166279827
426,426,1809444.409112734,5992135.490100898,-0.096882965
427,427,1809448.698992753,5992077.038655164,-9999.0
428,428,1809410.539179344,5992062.140055834,0.48571085
429,429,1809402.221282887,5992052.367729072,0.627474349
430,430,1811033.115218309,5991973.157528407,-9999.0
431,431,1808205.416185417,5992031.167454946,0.966120479
432,432,1809428.001961664,5992003.958138066,-0.222434065
433,433,1809504.643379769,5991970.932252416,-0.768000007
434,434,1809521.243063398,5991959.758403778,0.262799978
435,435,1809546.329363312,5991967.951884406,0.996196062
436,436,1809597.748655316,5991947.947110432,-9999.0
437,437,1809570.90033163,5991951.916726459,1.503217366
438,438,1809577.312816096,5991938.466379805,0.0131818
439,439,1809653.817906128,5991926.654511264,-9999.0
440,440,1808202.561238025,5992076.37436713,0.09250872
441,441,1809608.258082434,5991927.473062707,0.068620672
442,442,1809673.774463938,5991916.202366852,-9999.0
443,443,1808235.706530611,5991945.681023765,-0.055448988
444,444,1808251.726816332,5991939.584990144,-0.546230765
445,445,1808312.33192141,5991938.864402077,-9999.0
446,446,1809641.221233666,5991907.013114792,-0.244000011
447,447,1809681.612890098,5991906.041968603,-9999.0
448,448,1808267.415327496,5991933.290591403,-0.457863642
449,449,1808283.802096624,5991928.847001142,-0.610599998
450,450,1808328.250534982,5991928.512007045,-9999.0
451,451,1809688.862514541,5991895.895377581,-9999.0
452,452,1808299.73812147,5991919.221236553,-0.459722228
453,453,1808348.208161251,5991918.063006724,-9999.0
454,454,1808315.775597795,5991913.852071608,-0.507513207
455,455,1808331.575290222,5991898.516033784,-0.550839528
456,456,1808379.449691082,5991872.441908417,-9999.0
457,457,1808386.813396034,5991842.349207885,-9999.0
458,458,1811101.541264771,5991760.239750392,-0.285090933
459,459,1808378.258646678,5991822.609436372,-0.803333362
460,460,1811113.78313493,5991754.005551595,-9999.0
461,461,1808361.268527129,5991788.113196377,-0.603000019
462,462,1809507.177296987,5991710.79058596,1.299506671
463,463,1808377.904710739,5991765.208629685,-0.723658932
464,464,1808391.562635823,5991727.556433183,-9999.0
465,465,1809514.676966373,5991738.005309901,-0.25996113
466,466,1808383.597080726,5991707.802553624,-9999.0
467,467,1811622.939986977,5991629.772922486,-0.885025014
468,468,1811642.902697047,5991629.395784025,-0.632141015
469,469,1811626.495217569,5991609.741827692,-0.638897603
470,470,1808374.804429888,5991678.096179384,-0.875230789
471,471,1811744.723002879,5991695.757414616,0.070982708
472,472,1808368.413952361,5991655.551940523,-0.745526334
473,473,1809354.833183868,5991619.733077344,-9999.0
474,474,1811593.214927652,5991570.660056772,-0.561616348
475,475,1811564.457713599,5991551.413198696,-0.811112477
476,476,1808405.449024616,5991607.558730436,-9999.0
477,477,1811192.14042296,5991530.523086506,-9999.0
478,478,1811199.976857497,5991520.361130998,-9999.0
479,479,1809325.107398863,5991583.297079642,-0.614513357
480,480,1808367.23031848,5991599.610785231,-0.6238236
481,481,1811207.408622892,5991505.222739716,-9999.0
482,482,1808371.946035621,5991558.498884402,0.031215184
483,483,1811585.6658522,5991507.269484695,-0.815407479
484,484,1811624.131669478,5991494.159938669,-0.613333364
485,485,1809308.87423597,5991531.06793626,-0.793000028
486,486,1808469.59412651,5991556.040096086,-0.488963152
487,487,1811159.51017221,5991378.925827927,-0.906333347
488,488,1809321.147314371,5991361.562993067,3.067123717
489,489,1809321.494079667,5991420.664184527,-0.211487121
490,490,1809349.013119702,5991322.219768915,-0.367490187
491,491,1809336.200525833,5991311.777516463,1.739137682
492,492,1809343.795078908,5991296.055696273,3.223621672
493,493,1809351.631059229,5991285.917316713,2.037999996
494,494,1809378.418339472,5991280.136138229,-0.001129517
495,495,1809431.537560321,5991253.885540537,0.205951807
496,496,1809511.476624341,5991217.062020497,1.29882993
497,497,1809543.308345422,5991196.352400638,0.063150005
498,498,1809551.026657406,5991181.20849436,1.415974031
499,499,1809558.864743325,5991171.047822333,2.025645165
500,500,1810899.762076612,5991138.70792743,-9999.0
501,501,1810915.087496805,5991128.364695699,-9999.0
502,502,1809574.540858587,5991150.726454258,0.831337354
503,503,1810891.202105023,5991118.970341009,0.329593231
504,504,1810907.116755735,5991108.612664335,0.766499988
505,505,1810570.688889573,5991066.884754656,-9999.0
