OID,FID_,X,Y,BCE_Manaia
182,182,1820329.947257102,5919284.092520478,-0.475325012
183,183,1820345.969225639,5919283.67786253,-0.532175019
184,184,1820294.715999709,5919269.560674733,0.653666675
185,185,1820264.569959176,5919235.912503035,0.753777783
186,186,1820248.103665707,5919329.045240684,0.820498515
187,187,1820301.702213025,5919066.272111721,0.950849321
188,188,1817886.432933647,5919027.078880016,0.015539999
189,189,1815796.462721722,5919085.133085627,0.014538459
190,190,1817917.815078428,5919020.747451711,-0.156312704
191,191,1817942.603239543,5919009.09184418,-0.034363638
192,192,1815958.243080782,5919041.396634398,-0.053999994
193,193,1817981.551503853,5918999.855879397,-0.22418182
194,194,1815972.502189966,5919030.441485518,0.286800002
195,195,1818116.530017706,5918986.809506882,-0.126044803
196,196,1818598.119053207,5918959.689739552,0.178600003
197,197,1815989.059865049,5919020.508361833,0.42100001
198,198,1820139.158099019,5918989.001059382,0.917129823
199,199,1820151.744565424,5918909.572305215,0.964120007
200,200,1816009.872394075,5919011.790446949,-0.238499992
201,201,1818584.195453867,5918938.586269451,0.210354921
202,202,1820159.869193676,5918873.063948845,1.014314938
203,203,1816217.514338379,5918950.989545221,0.655702702
204,204,1818656.843791644,5918888.94647128,0.832990744
205,205,1818866.312499163,5918890.680349153,0.924543687
206,206,1818836.220438653,5918873.57704716,0.984909115
207,207,1817706.648893066,5918892.767972811,0.791424991
208,208,1818235.418287765,5918882.262674555,0.253875003
209,209,1818916.715470447,5918862.512165125,0.309523076
210,210,1819108.48892942,5918856.800321336,-0.437925906
211,211,1816249.791163941,5918949.755979363,-0.852639711
212,212,1817858.245886659,5919003.25911777,-0.563428629
213,213,1817698.38347078,5918883.00517471,0.592469144
214,214,1818123.638574756,5918875.728741797,0.774928566
215,215,1818551.43554049,5918861.29097254,1.190987646
216,216,1819124.253402354,5918846.420277973,-0.445164563
217,217,1817690.118139531,5918873.242235132,0.413075006
218,218,1818565.338244217,5918854.660608939,1.183909102
219,219,1819148.028558368,5918835.833660026,-0.452224995
220,220,1816256.009175219,5918900.549624122,-0.245056589
221,221,1817682.436605532,5918863.464769593,0.309423073
222,222,1818057.037305597,5918880.492568395,0.89984929
223,223,1818286.051936455,5918852.703832077,0.469999999
224,224,1818619.078968074,5918839.460961504,0.845518981
225,225,1818309.963415202,5918842.171240682,-9999.0
226,226,1818794.381128275,5918851.954080654,0.984082239
227,227,1818979.856294186,5918814.181397198,1.024815701
228,228,1819186.406120383,5918813.347160703,-0.368297497
229,229,1816262.657362845,5918869.731337779,-0.897490885
230,230,1817652.26612466,5918851.048623266,-0.799178304
231,231,1817664.750628893,5918834.385228151,0.457624992
232,232,1818339.187293413,5918830.412386885,0.26421052
233,233,1818438.803205893,5918837.317505897,0.329203389
234,234,1818676.141669155,5918828.765681945,1.085671386
235,235,1820196.312883506,5918818.172384655,1.072047373
236,236,1817641.364837868,5918824.618456969,-0.776592581
237,237,1818973.790065189,5918792.843298909,1.119225625
238,238,1818362.543835175,5918881.632417266,0.320384639
239,239,1819015.570832849,5918789.349793816,0.933141495
240,240,1819149.576016692,5918775.948589735,0.611925374
241,241,1817632.104293458,5918805.108267387,-0.634107134
242,242,1817646.304398454,5918806.849608831,0.264444453
243,243,1819062.68796382,5918780.799624367,0.872403836
244,244,1819112.56236161,5918771.250311987,0.788411754
245,245,1819174.780712292,5918763.744810809,0.578349758
246,246,1819231.105503232,5918750.225257987,0.799469065
247,247,1819957.387490894,5918729.530237834,1.057666659
248,248,1817618.294556883,5918781.061915291,-0.626452935
249,249,1819249.846137606,5918739.343628888,0.954805566
250,250,1816262.685668048,5918831.486288549,-0.672057613
251,251,1819289.392920281,5918722.476465808,0.972113923
252,252,1817601.784890679,5918762.460564909,-0.758970822
253,253,1817611.513651253,5918759.949196379,-0.145999998
254,254,1819305.388350965,5918717.416436112,0.868733766
255,255,1819861.443565648,5918698.407945484,1.033774782
256,256,1819313.6801568,5918704.452167385,0.915567574
257,257,1819849.440253932,5918687.88000241,1.046071437
258,258,1816268.903128704,5918777.066129452,-0.707085084
259,259,1819329.105850726,5918699.490487838,0.852357135
260,260,1819554.251571035,5918690.125925028,0.851199979
261,261,1817584.258009525,5918736.468432317,-0.515572872
262,262,1819368.778387044,5918689.034135024,0.859714286
263,263,1819392.531697164,5918670.376891581,0.986323935
264,264,1820109.609531752,5918652.019014867,1.115194453
265,265,1816652.453956933,5918730.156782581,-0.899999976
266,266,1819408.102741331,5918659.705324935,1.144205125
267,267,1819840.976990206,5918651.728469718,1.17994066
268,268,1816276.315789474,5918742.177558885,-0.84142021
269,269,1819439.773218021,5918648.053732391,1.048580003
270,270,1819463.989852541,5918648.357975318,0.9702963
271,271,1820080.463770029,5918632.440849415,1.148363657
272,272,1820144.703117964,5918630.578337978,1.565620253
273,273,1816259.569526662,5918725.186427643,0.448397517
274,274,1819450.931328651,5918640.835855965,0.996358027
275,275,1819806.721215963,5918638.162727305,1.08161187
276,276,1816779.857451966,5918696.990616495,-0.899999976
277,277,1819431.394240799,5918642.142901629,1.057432429
278,278,1819775.711947705,5918620.165087578,1.034975003
279,279,1820058.795044298,5918621.197867975,1.312401646
280,280,1816282.967047521,5918699.657094162,-0.582037479
281,281,1817534.535927202,5918693.803501899,-0.877524005
282,282,1819725.834147971,5918602.413290287,1.027445781
283,283,1819768.05580614,5918602.868703173,1.106015067
284,284,1816764.355987597,5918661.527918986,-0.494799981
285,285,1819692.281217722,5918596.144176338,1.056281582
286,286,1816789.420856723,5918651.187437782,-0.411799979
287,287,1816822.135385144,5918656.049165519,-0.899328841
288,288,1816818.192034834,5918627.319100268,-0.208552229
289,289,1816296.44565751,5918667.950907216,-0.363616156
290,290,1816835.238558041,5918608.392540642,0.400535705
291,291,1816289.467963585,5918610.502856879,0.616312496
292,292,1816850.526898642,5918599.751006723,0.279000002
293,293,1816296.834741932,5918600.695012269,0.803161295
294,294,1816526.900827996,5918647.913722998,-0.546940853
295,295,1816312.574700096,5918596.911563619,0.527371685
296,296,1816932.875900378,5918602.834336225,-0.865806738
297,297,1816978.082973601,5918574.895645579,0.239533332
298,298,1816353.11840961,5918580.439535583,0.912237802
299,299,1816418.585249898,5918576.854630292,1.188601832
300,300,1816987.510359978,5918565.925853345,0.59171428
301,301,1817001.132643917,5918560.276763644,0.329228583
302,302,1815961.129513956,5919070.902082594,-0.883849588
303,303,1817019.716207896,5918546.249162327,0.513837085
304,304,1817251.11980196,5918586.191149281,-0.863611047
