OID,FID_,X,Y,BCE_Mahura
312,312,1752106.399671427,5967720.400468434,0.818039671
313,313,1751217.111641784,5967734.357879669,0.822046994
314,314,1751566.107486421,5967720.130329365,0.873025003
315,315,1752130.31890025,5967709.561688029,0.836637164
316,316,1753704.845640075,5967682.912995364,1.062153803
317,317,1751288.076818027,5967715.029845395,1.787320207
318,318,1751595.435265464,5967723.819439333,0.788683865
319,319,1751611.141667951,5967710.735714563,0.728084339
320,320,1752159.657895465,5967700.274648123,0.846652397
321,321,1753712.660848139,5967672.733718858,1.060147019
322,322,1753744.033374215,5967676.137069279,1.02536362
323,323,1751127.766653381,5967716.47197878,0.807299272
324,324,1751634.52437804,5967705.609203404,0.78796211
325,325,1752177.84654628,5967689.450035325,0.856708865
326,326,1751650.871092037,5967689.717132867,0.720466664
327,327,1753760.083967221,5967651.695504598,0.91714287
328,328,1754346.723534545,5967642.163875296,1.628963202
329,329,1754465.396415843,5967658.392538711,0.96388257
330,330,1751658.798086816,5967779.426996512,-0.156087358
331,331,1754399.722234421,5967638.541235747,0.682048786
332,332,1752203.932186805,5967670.820257455,0.853503176
333,333,1753736.237768393,5967638.070053741,0.938714288
334,334,1754210.742169671,5967623.733472827,0.081896591
335,335,1754295.535073992,5967662.624209112,0.57405712
336,336,1754432.561370874,5967628.169059932,1.062962972
337,337,1754456.695932422,5967619.291337265,1.086037754
338,338,1753759.255107756,5967626.022367196,0.724594587
339,339,1751682.13571626,5967648.869792956,-9999.0
340,340,1751699.417383464,5967650.005819839,-9999.0
341,341,1752231.246667515,5967639.229831642,0.874816506
342,342,1754251.224111911,5967592.903772654,0.816964263
343,343,1751692.069582011,5967631.3865375,-9999.0
344,344,1753747.332918347,5967602.950517542,0.596469184
345,345,1754266.388851635,5967572.695575845,0.890370358
346,346,1751712.743690414,5967614.194595102,-9999.0
347,347,1752248.349307009,5967606.133270092,0.819511218
348,348,1754277.036574653,5967549.855842553,0.915790884
349,349,1751737.580886865,5967579.192024667,-9999.0
350,350,1752270.477084697,5967565.28796672,0.741780614
351,351,1754096.213192238,5967526.086629357,-0.196842113
352,352,1751753.221897973,5967567.357288231,-0.523999929
353,353,1751766.791016464,5967579.883279613,-9999.0
354,354,1754104.248263578,5967515.773414664,-0.005999999
355,355,1754289.661091653,5967522.43616165,0.942928869
356,356,1751769.000853536,5967555.462445105,-0.517999947
357,357,1751808.77469338,5967546.406027965,-9999.0
358,358,1751784.831370517,5967543.545127068,-0.516714237
359,359,1752817.011712427,5967531.092219165,1.110618174
360,360,1753573.628569477,5967505.338044268,0.595500001
361,361,1751800.625006719,5967526.933086966,-0.62484611
362,362,1751824.308697836,5967530.573977712,-9999.0
363,363,1752791.215885002,5967508.814226851,1.012027009
364,364,1752822.848671987,5967498.839547774,1.059473649
365,365,1752317.628666826,5967518.028456982,1.091746979
366,366,1752359.747939378,5967496.84127543,0.849700001
367,367,1752830.187564953,5967489.069834122,1.260806447
368,368,1753586.503915119,5967488.841244117,0.531214279
369,369,1753622.955392448,5967494.403922843,0.487315086
370,370,1754169.501440883,5967489.034046312,0.711419352
371,371,1754228.479468033,5967464.616804526,0.756279071
372,372,1751824.310322626,5967496.555900304,0.805890407
373,373,1751842.590413398,5967505.937505349,0.070300029
374,374,1752379.706394977,5967486.520866537,0.891781506
375,375,1752403.691608566,5967476.129443379,0.939766676
376,376,1752740.462779277,5967477.173845655,0.818494981
377,377,1753603.985047023,5967461.829154444,0.598370602
378,378,1754013.829270436,5967455.922745399,0.654848462
379,379,1751831.710837502,5967476.222407048,0.910500013
380,380,1751888.08596714,5967475.232387829,-0.412800007
381,381,1752440.354906655,5967474.021023882,1.062480346
382,382,1752741.926150796,5967459.99183304,0.560714272
383,383,1752757.715380474,5967460.115315288,0.834107144
384,384,1754094.504993234,5967436.476995409,0.834225345
385,385,1752501.369510995,5967453.940774702,1.039388897
386,386,1752596.639308533,5967453.516170393,1.324518527
387,387,1752781.700117033,5967449.722828508,0.716724132
388,388,1752523.809405808,5967444.306607838,0.946472711
389,389,1752765.416876879,5967440.041741126,0.706481477
390,390,1753611.363205185,5967429.998810334,0.671847146
391,391,1751808.293573922,5967425.745706972,1.111555554
392,392,1753618.927201531,5967404.86908734,0.707291666
393,393,1752678.259501228,5967436.276706437,0.718520699
394,394,1752706.969294468,5967392.639111916,1.869534879
