OID,FID_,X,Y,BCE_Ohiwa_
320,320,1961428.851060431,5786660.033203811,0.000288288
321,321,1961447.713969098,5786639.563308214,0.054217948
322,322,1961383.715871876,5786645.524531034,0.26710582
323,323,1961415.882250569,5786632.309688446,0.298033328
324,324,1961433.717836261,5786624.388368265,0.344500005
325,325,1956331.203523993,5786940.654095484,0.58315289
326,326,1961449.854375654,5786614.108665457,0.617000014
327,327,1961480.857394521,5786610.939399953,0.105251336
328,328,1961307.831098133,5786605.787361495,0.301087501
329,329,1961500.931632195,5786602.575814958,0.072846715
330,330,1961801.069483393,5786583.202604664,0.57456863
331,331,1961468.236234335,5786597.614123333,0.773027215
332,332,1961816.470253949,5786573.286957378,0.332473691
333,333,1962249.947006715,5786554.021715551,0.214530609
334,334,1957376.607076842,5786758.932199254,-0.552951836
335,335,1961490.761616979,5786580.348083453,0.501253291
336,336,1961559.938631283,5786575.21968971,0.084629628
337,337,1956251.535698956,5786798.1385055,0.864359
338,338,1961518.198553799,5786572.105886552,0.259221621
339,339,1961531.436686047,5786565.904278243,0.211000004
340,340,1957332.544859796,5786745.873633428,-0.351367086
341,341,1957403.585046239,5786738.164803015,-0.145180555
342,342,1957442.816978085,5786736.047606066,-0.536699998
343,343,1961546.77936146,5786555.231602479,0.397674996
344,344,1961839.086428013,5786542.696508877,0.665619719
345,345,1957419.178549899,5786728.269200981,0.071775859
346,346,1957458.164745422,5786725.382748883,-0.517379746
347,347,1961296.682050278,5786618.79520376,-0.040956669
348,348,1961569.846735101,5786547.556622981,0.403786322
349,349,1961593.658899415,5786542.432687976,0.200905661
350,350,1957434.087846213,5786716.4904545,1.730125002
351,351,1961601.141415032,5786532.836878169,0.300724999
352,352,1961893.123421667,5786519.162899715,0.706725481
353,353,1959158.054122627,5786630.75049892,-0.047275004
354,354,1961616.483946328,5786522.164060092,0.635818175
