OID,FID_,X,Y,BCE_Whitfo
331,331,1773703.605843701,5912675.422297189,0.585822782
332,332,1777516.256702461,5912614.44902061,1.236407507
333,333,1772839.818045899,5912682.312764777,4.222000086
334,334,1772988.36502249,5912704.250828912,0.917766992
335,335,1773263.240796911,5912674.444963055,-0.331139254
336,336,1773575.972442718,5912674.686157254,3.492142886
337,337,1773603.149861463,5912692.167913841,-0.029530516
338,338,1777529.704078706,5912587.234022545,1.197499999
339,339,1777896.294720609,5912735.545170453,1.253297668
340,340,1772832.216274218,5912672.10022766,2.477399981
341,341,1773286.83222957,5912665.580584966,0.296111113
342,342,1777536.614743882,5912576.228636119,1.141000017
343,343,1772950.720519059,5912660.872857179,0.949500007
344,344,1772987.167526835,5912660.714884812,0.96763637
345,345,1773588.94386377,5912655.120861387,0.96871428
346,346,1773735.006050427,5912644.867235146,0.400625001
347,347,1774878.687440664,5912650.036989338,0.891657141
348,348,1777677.289850892,5912688.126230121,0.918144025
349,349,1773598.752735027,5912637.682134808,0.687124997
350,350,1773742.80509871,5912634.736753723,0.486374993
351,351,1773178.323230754,5912654.870163896,-0.037954701
352,352,1773605.968386527,5912627.563709656,0.415882349
353,353,1773750.604127882,5912624.606264317,0.594125
354,354,1773114.170813772,5912627.630260147,-0.184779877
355,355,1777623.813879557,5912534.520690804,0.982658225
356,356,1777519.833314712,5912526.384231585,1.254266667
357,357,1773703.407544759,5912627.378274139,0.312920143
358,358,1774676.879217442,5912644.617272297,-0.550276569
359,359,1777511.633367154,5912516.570050999,0.21943662
360,360,1777888.156366881,5912515.506266328,1.196666665
361,361,1773602.610650635,5912584.369155951,3.724823572
362,362,1773632.886938403,5912619.448429447,0.042583121
363,363,1777942.283491138,5912520.619872245,1.004068622
364,364,1777950.890849914,5912477.818204145,0.947124995
365,365,1773041.891110434,5912634.685473623,0.764707391
366,366,1773661.145931052,5912556.63872476,-0.263125009
367,367,1773677.166367226,5912557.038482443,0.255510208
368,368,1773588.555473072,5912538.382317547,1.008333326
369,369,1774654.643070018,5912516.364063107,0.705400007
370,370,1772918.868510061,5912555.976871865,0.91907239
371,371,1772940.124989309,5912541.638994526,0.893333324
372,372,1772996.144557198,5912540.498181203,0.77285716
373,373,1777862.150786845,5912440.367320781,1.109607859
374,374,1773557.112760243,5912518.032693038,3.757254923
375,375,1777486.656266145,5912436.694231411,1.150727255
