OID,FID_,X,Y,BCE_Tamaki
358,358,1767716.662629508,5916310.369000439,-0.738732386
359,359,1766665.90265758,5916315.406178284,1.138070417
360,360,1767743.408010938,5916303.538514744,-0.734470582
361,361,1767770.314011761,5916294.543199494,-0.721454547
362,362,1767838.760978536,5916283.605028084,-0.726388899
363,363,1768806.661349847,5916269.401542894,0.018892617
364,364,1766877.632795924,5916282.579322301,-9999.0
365,365,1766897.056793697,5916281.815150975,-9999.0
366,366,1767805.468907363,5916264.398917892,-0.712702728
367,367,1767793.703468222,5916253.998468277,-0.69637504
368,368,1767264.946176679,5916254.646018779,-0.973571454
369,369,1767724.382633341,5916258.689510241,-0.70794161
370,370,1767785.335149721,5916243.991848581,-0.686415093
371,371,1768746.292806475,5916231.665585597,-0.340147053
372,372,1768721.814717125,5916216.001177198,-0.441866682
373,373,1767544.76710207,5916229.196494501,-0.684285721
374,374,1767664.858432454,5916226.829541998,-0.704107173
375,375,1766604.015037726,5916237.508201505,0.920603332
376,376,1766591.810610724,5916227.776638862,1.765650014
377,377,1767324.602708387,5916204.002982375,-0.983793063
378,378,1767544.177996879,5916199.29662344,-0.691785725
379,379,1767809.609714845,5916214.905227485,-0.705176875
380,380,1767581.974770998,5916200.797796153,-0.668257847
381,381,1766583.413757315,5916208.000956084,0.166382715
382,382,1767358.03324396,5916194.15730907,-0.950910097
383,383,1767864.960153213,5916186.622350506,-0.664191547
384,384,1768664.209106794,5916147.94723014,-0.074498268
385,385,1767546.900581629,5916160.165896874,-0.692898572
386,386,1767675.019277745,5916146.079746909,-0.723644878
387,387,1766561.769174612,5916165.074161779,0.219627167
388,388,1767679.663766224,5916199.182161978,-0.702741372
389,389,1767631.381046984,5916137.352594932,-0.703035732
390,390,1768251.449876557,5916130.604437784,-0.875601851
391,391,1767798.995267896,5916124.478655833,-0.777818178
392,392,1767856.598748416,5916135.726998873,-0.699393479
393,393,1767572.272091878,5916109.832933314,-0.640292559
394,394,1768564.853551156,5916092.390867137,0.162599999
395,395,1766542.350462238,5916122.396534111,0.163937007
396,396,1767663.879679145,5916096.128999193,-0.880721405
397,397,1767717.166073963,5916036.358452247,-0.913571443
398,398,1767737.772170498,5916036.334970772,-0.877570119
399,399,1767716.772908622,5916016.425193523,-0.893636391
400,400,1766500.257091273,5916023.816769802,-0.02218045
401,401,1766479.219890101,5915945.824438165,-0.061818185
402,402,1766930.239291345,5915932.197911829,-9999.0
403,403,1767377.975012583,5915893.484612375,-0.99000001
404,404,1767550.69030965,5915890.465918854,-0.931588792
405,405,1767252.712766266,5915889.0493428,-0.955402306
406,406,1767442.991985132,5915902.170412998,-0.988397377
407,407,1767389.593903645,5915843.786421673,-0.99000001
408,408,1767401.130197928,5915832.803378614,-0.992156859
409,409,1767286.636733789,5915842.740748989,-0.971932903
410,410,1767356.786329472,5915804.55028564,-9999.0
411,411,1767263.737585665,5915786.057329793,-9999.0
412,412,1767295.760231455,5915785.42730853,-9999.0
413,413,1767327.782879099,5915784.79716655,-9999.0
414,414,1767303.885007756,5915774.894501671,-9999.0
415,415,1767555.239543827,5915788.313105758,-0.639013745
416,416,1767522.156420772,5915661.706679608,-0.446454548
417,417,1767917.643276468,5915643.551479633,0.107407406
418,418,1767873.560730649,5915642.49301887,0.048785811
419,419,1767827.670373966,5915639.539919403,-0.03891927
420,420,1767508.732596777,5915611.534461284,-0.118860761
421,421,1767982.46765086,5915637.498172084,-0.055399296
422,422,1766532.19421112,5915624.168781693,-0.276730041
423,423,1768184.604402478,5915645.534180409,0.309531812
424,424,1767500.432557329,5915596.742240051,-0.129749997
425,425,1767488.031635578,5915577.045545047,-0.2385
426,426,1768202.988407872,5915557.673065634,0.427272733
427,427,1767436.10728144,5915747.154480148,-0.857790898
428,428,1767476.31266493,5915562.320651779,-0.442727251
429,429,1767395.033519154,5915558.371382054,-0.907909097
430,430,1767455.560032806,5915533.402141041,-0.47814816
431,431,1767879.217448643,5915514.493039649,0.282594933
432,432,1767474.850487666,5915527.758254258,-0.35742268
433,433,1766453.001795897,5915467.608435242,0.497041794
434,434,1767446.901475488,5915386.491383562,-0.440979029
435,435,1767439.972289964,5915343.685469288,-0.64434784
436,436,1767312.414335711,5915335.317616478,-0.974848509
437,437,1767318.886870464,5915316.359245384,-0.970000029
438,438,1767306.957764085,5915305.760198843,-0.965818198
439,439,1767299.716389108,5915191.339412426,-0.998153846
440,440,1766810.714749946,5915146.877508688,-9999.0
441,441,1766783.297511885,5915146.6690968,-0.957693819
442,442,1767502.451012908,5915099.666221602,0.170281692
443,443,1767087.376921335,5915094.668424295,-0.943689836
444,444,1767062.289677551,5915082.497176271,-0.94357801
445,445,1767446.531773482,5915079.026365116,0.008325582
446,446,1767480.30480356,5915079.160913736,0.160584797
447,447,1767371.252378504,5915082.861714365,-0.488300657
448,448,1767373.982716575,5915280.496427687,-0.799565778
449,449,1767353.201300772,5915060.670160918,-0.506513757
450,450,1767264.950401792,5915052.436652364,-0.945346516
451,451,1767125.545808017,5915041.371816249,-0.970000029
452,452,1767312.822006088,5915016.435517346,-9999.0
453,453,1767336.404282646,5915017.370918389,-0.334090901
454,454,1767312.458265859,5914997.955712499,-0.983333329
455,455,1767328.172192373,5915002.725532824,-0.717464781
456,456,1766495.747304801,5915003.294734687,-0.062599999
457,457,1767098.444956779,5914997.576187738,-0.966224511
458,458,1767119.972365949,5914991.245989086,-0.970909119
459,459,1766503.557193007,5914993.171025448,-0.149050001
460,460,1766634.327280454,5915013.334026532,-0.534423081
461,461,1766710.744857072,5914949.429478353,-0.525999997
462,462,1767311.164418,5914937.540062,0.224285707
463,463,1767230.185387698,5914913.533761288,-9999.0
464,464,1767240.365690648,5914956.574989005,-1.0
465,465,1766485.021043952,5914878.8741211,0.535273503
466,466,1767269.477398136,5914848.517144404,-0.869154892
467,467,1767255.483683272,5914829.883061505,-0.388622035
468,468,1766583.020761994,5914886.80039897,-0.367692572
469,469,1766812.069615363,5914807.855070652,-0.939818199
470,470,1767063.940329656,5914798.033342855,-0.950138916
471,471,1766835.496902959,5914777.483853,-9999.0
472,472,1766770.222421931,5914757.947596288,-0.962193528
473,473,1766751.061110959,5914729.671427921,-0.848796304
474,474,1766794.495498901,5914728.436205817,-0.973673468
475,475,1767031.028045015,5914714.203695979,-9999.0
476,476,1767150.705708468,5914691.909976025,-9999.0
477,477,1767069.594154421,5914678.276375213,-9999.0
478,478,1766965.142637966,5914660.387938529,-9999.0
479,479,1766989.829921735,5914655.190323051,-9999.0
480,480,1767345.199276672,5914652.506649686,-0.153208957
481,481,1767256.607915602,5914609.679653412,-0.989411754
482,482,1766767.847594942,5914613.532754597,-0.918828843
483,483,1767337.002246874,5914587.954945735,-0.14836735
484,484,1767015.883819709,5914584.502017408,-0.972407434
485,485,1767372.974773266,5914574.292383682,0.178888886
486,486,1767215.408620183,5914550.667327533,-0.963199977
487,487,1766758.956981571,5914549.665108011,-0.914464304
488,488,1767003.684858576,5914545.242767225,-0.977757031
489,489,1766767.081100469,5914539.132776863,-0.918909109
490,490,1766782.774838946,5914539.227274182,-0.927857152
491,491,1766942.577128474,5914540.309119071,-0.962232173
492,492,1767200.332630574,5914517.955938498,-0.973274306
493,493,1766990.303638205,5914505.240776296,-0.960909114
494,494,1767173.997566256,5914509.749992289,-1.0
495,495,1767322.645825908,5914498.503038143,-0.025759494
496,496,1766964.528757992,5914496.451761878,-0.947293569
497,497,1766613.313261301,5914472.757838016,-0.352142854
498,498,1766789.733244943,5914469.297413001,-0.944444438
499,499,1766930.078435151,5914466.924945267,-0.963333349
500,500,1767272.943500121,5914590.223090745,-0.546568561
501,501,1767339.684359675,5914470.879395748,0.235882348
502,502,1766781.202263941,5914459.091903311,-0.945535707
503,503,1766814.671392522,5914459.376250589,-0.949999988
504,504,1766877.067216896,5914447.642069589,-0.950545442
505,505,1766941.102322933,5914446.384467145,-0.970000029
506,506,1766769.208009455,5914430.201286905,-0.95925235
507,507,1766836.458318916,5914418.527918303,-0.968909119
508,508,1767155.907359927,5914436.698510201,-0.983436008
509,509,1767232.787953478,5914411.659324736,-0.107148762
510,510,1764871.070488458,5914405.508802093,0.58137931
511,511,1767163.814523392,5914362.041592565,-0.780500001
512,512,1765070.687436126,5914392.102100011,0.227196971
513,513,1766676.641981071,5914362.379713057,-0.982352918
514,514,1766697.887336373,5914350.51255194,-0.98631576
515,515,1765125.571285234,5914372.495488541,-0.285381815
516,516,1766754.654676422,5914330.399152166,-9999.0
517,517,1766852.149595369,5914329.024324307,-0.954545466
518,518,1764718.039619142,5914359.399938879,-0.117816903
519,519,1765025.25269788,5914358.406014862,-0.550000012
520,520,1765050.997014669,5914354.225592417,-0.550000012
521,521,1766654.99697394,5914322.766546759,-0.985979387
522,522,1766512.137967668,5914317.764436735,-0.299269272
