OID,FID_,X,Y,BCE_Hokian
378,378,1650730.951170429,6088968.729519528,0.316500663
379,379,1650794.15401543,6088961.310143189,0.616346407
380,380,1654140.486771274,6088944.683403824,0.297983996
381,381,1652725.420070189,6088950.172691152,0.078166665
382,382,1651968.877646583,6088947.644079912,0.439450679
383,383,1652695.477247004,6088933.333223297,-0.00271111
384,384,1651265.136257491,6088936.175202366,0.286909968
385,385,1652019.325445686,6088926.72685126,0.383300884
386,386,1650838.665554014,6088924.667119374,0.046472727
387,387,1650880.735556772,6088931.245264172,0.427121553
388,388,1651343.010556272,6088924.544730246,0.262209673
389,389,1654817.797778044,6088901.457700518,0.340409352
390,390,1650996.050346296,6088918.736946622,0.300494507
391,391,1651123.917738957,6088917.489346658,0.134892509
392,392,1651201.467991392,6088917.048514363,0.05846
393,393,1651744.319839309,6088913.944046509,-0.88499999
394,394,1652169.418681126,6088901.744671955,0.540900393
395,395,1652603.386647242,6088898.782087906,0.242268502
396,396,1654080.198423436,6088883.209025342,0.503574912
397,397,1651454.019377326,6088884.892412488,0.386490982
398,398,1652209.010628599,6088881.143394612,0.34534167
399,399,1652532.634736885,6088868.816813512,0.291171391
400,400,1654840.850189823,6088864.19140971,0.425825511
401,401,1651484.623289445,6088860.636620174,0.156273683
402,402,1649602.936971731,6088899.432349732,-0.428588576
403,403,1651796.950423632,6088838.91872417,-0.707849991
404,404,1652384.968679489,6088840.018442375,0.362032271
405,405,1653289.602972911,6088840.939516722,0.278999999
406,406,1651809.137842526,6088828.885445197,-0.821425011
407,407,1654022.883056791,6088821.159102547,0.512817204
408,408,1654310.967274407,6088814.340398456,-0.88499999
409,409,1651546.928612476,6088820.42787976,0.131132354
410,410,1649628.981023839,6088822.362535108,-0.530569369
411,411,1653284.064316938,6088805.786044122,0.409082064
412,412,1651828.622303823,6088790.357604381,-0.878206887
413,413,1654884.382941017,6088777.355602749,0.360083769
414,414,1654905.191319345,6088751.019381843,0.377781276
415,415,1651853.518415436,6088738.962453924,-0.875066657
416,416,1651661.487066454,6088705.196179818,0.102070587
417,417,1651689.660437972,6088693.411940252,0.49555463
418,418,1654914.171359264,6088641.103254706,0.142350006
