OID,FID_,X,Y,BCE_Whitia
194,194,1840507.813567463,5913271.011130209,-0.384774991
195,195,1840472.828374026,5913245.952689472,-0.348774992
196,196,1840602.880594819,5913238.592862168,-0.359145457
197,197,1840667.091597055,5913236.57298005,0.589481173
198,198,1840735.636928707,5913255.27604897,0.129136365
199,199,1841517.778348696,5913358.280572736,0.456212828
200,200,1840582.743905533,5913228.985268783,-0.395012502
201,201,1840650.796658934,5913227.058416525,0.766624999
202,202,1840442.35357051,5913222.982391499,-0.338624988
203,203,1840687.185862938,5913221.869268099,-0.178099786
204,204,1840425.777121526,5913203.499190821,-0.331430376
205,205,1840657.955916151,5913196.926936567,0.024175005
206,206,1840641.543107627,5913187.783953474,0.505457144
207,207,1840409.341760741,5913189.000104471,-0.325981366
208,208,1840521.286839249,5913180.843862777,-0.007825004
209,209,1840512.998689008,5913171.102261172,0.172975009
210,210,1840619.072891908,5913179.006388524,0.03399107
211,211,1841134.574210419,5913163.199074435,1.028814922
212,212,1840503.330983994,5913153.606249087,0.191583339
213,213,1840482.420088113,5913128.737619745,-0.133633338
214,214,1840471.27535135,5913112.425778976,-0.087139236
215,215,1839207.368631588,5913268.318290189,1.143183109
216,216,1840386.64720238,5913094.867921285,-0.308037497
217,217,1840462.705095921,5913092.716198117,0.425962659
218,218,1840444.149404273,5913003.505463947,0.876351352
219,219,1840431.17219192,5912948.448333821,0.365031538
220,220,1840408.86632865,5912894.916363318,-0.411315789
221,221,1840424.651089797,5912912.071507662,0.482772592
222,222,1841473.236183537,5912877.133223912,0.390472241
223,223,1841229.727351017,5912680.476876295,0.147122126
224,224,1841626.387660665,5912637.798579586,0.562181821
225,225,1841185.801555112,5912688.082261648,0.670688459
226,226,1841216.515754305,5912607.746569239,-0.01705703
227,227,1841481.444774545,5912575.186472189,0.723927272
228,228,1841256.154959949,5912541.681917756,0.150446424
229,229,1841233.822229618,5912548.765625167,-0.166582129
230,230,1841257.055072738,5913224.319157905,0.436060461
231,231,1841604.71415416,5912513.182292172,0.50624408
232,232,1841672.538683766,5912393.189124557,-0.221996473
233,233,1841602.780954489,5912322.328181804,-0.088407424
234,234,1842243.872933825,5912306.553672888,-0.72923365
235,235,1841792.735711903,5912266.840112776,0.850777778
236,236,1841592.741016864,5912262.755657114,0.282877185
237,237,1841800.757329527,5912246.659067461,0.589375004
238,238,1841688.819166479,5912250.814400979,1.083181451
239,239,1841818.095837104,5912232.582915306,0.578697676
240,240,1841831.643374489,5912205.874700422,-0.484374986
241,241,1841409.286136571,5912407.311153342,0.917082765
242,242,1841894.652484554,5912174.266378694,0.510000005
