OID,FID_,X,Y,BCE_Waihi_
71,71,1905864.405535156,5814723.048909223,0.059999999
72,72,1906550.498734756,5814694.367478979,-0.034000002
73,73,1906267.40016101,5814688.822789436,0.471518991
74,74,1906485.086282079,5814680.720506107,0.026112499
75,75,1906528.59646165,5814678.372289564,-0.034000002
76,76,1906544.083933389,5814668.538568224,-0.030887502
77,77,1906569.803438215,5814661.478571208,0.063840336
78,78,1907139.17370877,5814670.340991755,0.085881057
79,79,1906593.179592683,5814650.623025786,0.106244724
80,80,1906284.526209096,5814735.922010266,0.231964872
81,81,1906343.859703897,5814659.294275049,0.37978872
82,82,1906614.2126289,5814635.97151223,0.289400001
83,83,1907176.079854077,5814615.230744899,0.020089285
84,84,1905846.748376338,5814674.508238055,0.059999999
85,85,1906218.050238872,5814640.733728482,0.364449995
86,86,1907183.937953475,5814604.536359566,0.012074074
87,87,1905838.298308445,5814644.867273478,0.059999999
88,88,1906225.595095657,5814630.468030797,0.389012984
89,89,1906307.413600306,5814627.82272872,0.379774776
90,90,1906399.928326792,5814628.97308478,0.481500003
91,91,1906443.640884543,5814689.663382432,0.173368507
92,92,1906629.338414212,5814648.480923983,0.135691084
93,93,1906211.814441794,5814616.54922449,0.33892391
94,94,1906636.781355389,5814600.520653076,0.47690604
95,95,1906644.486290831,5814585.545301527,0.413641798
96,96,1905836.239445436,5814605.004006315,0.059999999
97,97,1906477.217128715,5814571.386019897,0.448763646
98,98,1906679.949878256,5814585.999145037,0.164981455
99,99,1906195.664221576,5814571.671323232,0.271961785
100,100,1906294.453870654,5814568.203904838,0.370472717
101,101,1906234.872003962,5814560.227779745,0.287349998
102,102,1906387.038847816,5814586.41350738,0.573849974
103,103,1906219.673803156,5814591.756950081,0.296447945
104,104,1906278.010458266,5814547.909631227,0.320645836
105,105,1907219.852912314,5814513.745996119,-0.014
106,106,1906310.058600297,5814552.645662203,0.419648902
107,107,1906313.287204571,5814537.339961165,0.596898726
108,108,1906377.046960211,5814535.552006778,0.394238532
109,109,1905797.123816405,5814542.896648185,0.1588
110,110,1906338.531785755,5814537.100921479,0.467424729
111,111,1906348.536812848,5814526.043071344,0.479102565
112,112,1906688.912496318,5814513.367540865,0.395300003
113,113,1906363.997092871,5814515.482612998,0.588518978
114,114,1905793.669891171,5814525.977689442,0.059999999
115,115,1906379.26510965,5814508.266538352,0.458930438
116,116,1906394.917537494,5814494.361601528,0.523649994
117,117,1907279.497531729,5814457.628688832,-0.014
118,118,1906410.18549143,5814487.145465316,0.459252177
119,119,1907286.788279065,5814449.524401257,-0.014
120,120,1906158.739335116,5814492.764968324,0.059986347
121,121,1906212.115056088,5814481.194282815,0.418675004
122,122,1906426.023435387,5814478.226077932,0.454800007
123,123,1906536.814270731,5814468.900193113,0.443444445
124,124,1906568.330996097,5814531.20978786,0.505639412
125,125,1906203.828454792,5814471.517545869,0.312911405
126,126,1906616.01947872,5814456.172998072,0.510857144
127,127,1906195.542064951,5814461.840712142,0.289692306
128,128,1906211.373144663,5814461.251850369,0.351692316
129,129,1906454.302766312,5814462.35322915,0.450856507
130,130,1906473.083520473,5814501.0432047,0.422351939
131,131,1906622.457867448,5814436.171043154,0.479581817
132,132,1906493.138283264,5814440.937255135,0.520566666
133,133,1906634.130080461,5814425.894156662,0.488400001
134,134,1905743.239753444,5814448.699466457,0.059999999
135,135,1906668.83714382,5814404.48793199,0.374745458
136,136,1906192.57403026,5814414.168360506,0.15850173
137,137,1906779.441218831,5814390.17251406,0.079782051
138,138,1906798.801896776,5814390.127571516,-0.014
