OID,FID_,X,Y,BCE_Waimea
232,232,1610890.34328145,5429816.755342071,0.083423076
233,233,1610860.23908932,5429806.828009143,0.569211541
234,234,1609799.737600285,5429803.143769005,0.742020144
235,235,1609747.061390156,5429788.256030077,0.853781811
236,236,1609792.195149229,5429788.195402891,0.812350013
237,237,1610912.523973537,5429791.018609929,0.080333332
238,238,1611505.394060491,5429866.341006349,0.287542455
239,239,1609565.016651426,5429784.508820663,0.864288087
240,240,1611787.63841516,5429804.868110371,0.729698899
241,241,1612065.557149221,5429780.357719452,0.111308413
242,242,1607827.111639953,5429792.005647317,0.867
243,243,1609773.363078053,5429768.623380682,0.817156843
244,244,1610929.888195184,5429773.56687995,0.097685712
245,245,1611752.14539991,5429764.681909347,1.202524271
246,246,1611420.240217206,5429752.591214244,0.969333341
247,247,1611811.88183458,5429754.930895969,0.100054547
248,248,1612063.726061811,5429754.660298457,0.100000001
