OID,FID_,X,Y,BCE_Tairua
182,182,1852541.487889093,5898423.109649622,-0.267259203
183,183,1852453.431743629,5898366.223202743,-0.216479173
184,184,1852744.804934261,5898313.225233859,-0.652999997
185,185,1853233.773120685,5898294.329213265,-0.686592591
186,186,1852419.252943006,5898328.265234491,-0.214250413
187,187,1852710.987941171,5898287.487675482,-0.651263177
188,188,1852333.415592468,5898276.142266314,-0.055384375
189,189,1852313.607500985,5898256.213593353,-0.064847727
190,190,1852291.833937973,5898238.611113691,-0.036881579
191,191,1853133.837771395,5898192.138119641,-0.70019131
192,192,1852242.48235729,5898196.896871871,-0.073584972
193,193,1853488.497662816,5898398.974873205,-0.279644999
194,194,1852204.326385053,5898105.385234931,0.052240506
195,195,1853447.673719743,5898072.082881216,-0.07416
196,196,1853429.655841409,5898058.411925974,-0.108039476
197,197,1853148.101365241,5898074.34642701,-0.453104374
198,198,1852531.125325105,5898065.698993071,-0.667962542
199,199,1853266.608123309,5898032.866790544,-0.173189974
200,200,1853100.790023686,5898034.53528374,-0.482005532
201,201,1853169.501719294,5898006.900509888,-0.068381819
202,202,1853080.95349133,5897999.573556772,-0.383218181
203,203,1853160.865750224,5897996.778632243,-0.040709089
204,204,1853119.617420635,5898007.619850496,-0.249040802
205,205,1853270.236335921,5897977.764717882,0.077866666
206,206,1852919.315843105,5897944.543847049,-0.490999997
207,207,1852552.080763084,5897950.410601558,-0.4755801
208,208,1852462.858114407,5897928.252086602,-0.485727267
209,209,1852303.047073166,5897923.04460082,-0.696456159
210,210,1853037.535267956,5897951.570437323,-0.265007886
211,211,1852261.413845076,5897854.242159314,-0.611592608
212,212,1852294.371064335,5897882.583953979,-0.695488117
213,213,1852272.742418369,5897830.801620748,-0.674444447
214,214,1852245.339818724,5897783.929454517,-0.675449438
215,215,1852310.837122328,5897720.564054472,-0.661312516
216,216,1852322.197171741,5897689.464980351,-0.669223412
217,217,1852582.396856649,5897645.308053645,-0.616696436
218,218,1852796.1475415,5897638.718202334,-0.118764046
219,219,1852639.057458425,5897655.634080658,-0.663113795
220,220,1852041.161201145,5897596.404659108,-0.287685539
221,221,1852780.645082936,5897597.25351752,-0.029955646
222,222,1852700.054734858,5897561.769594052,-0.653375003
223,223,1852771.726859316,5897559.956318753,0.063909092
224,224,1852753.958259966,5897542.073994781,0.043891892
225,225,1852018.952665434,5897522.234433318,-0.372737501
226,226,1852727.152525553,5897505.323910547,0.071666668
227,227,1852386.444313451,5897501.092684559,-0.666745494
228,228,1852290.083261394,5897494.192567928,-0.66725001
229,229,1852345.866159528,5897492.729090252,-0.67210908
230,230,1851962.117897587,5897493.995688157,-0.348133332
231,231,1852688.674164389,5897466.756846927,0.144954954
232,232,1852382.590041647,5897471.340062582,-0.666788761
233,233,1852471.950576414,5897429.098898446,-0.525303565
234,234,1852702.870104798,5897406.466565324,0.149446426
235,235,1852243.153379129,5897395.816747337,-0.630581274
236,236,1852490.992759906,5897397.081077911,-0.6168865
237,237,1852684.205856708,5897372.667774631,-0.656355576
238,238,1852222.5790033,5897376.475377406,-0.621756407
239,239,1852693.214657882,5897352.443181375,-0.669921563
240,240,1852494.390440246,5897361.85488694,-0.594081091
