OID,FID_,X,Y,BCE_Kawhia
374,374,1761772.290107997,5783115.48674482,-0.622782606
375,375,1761862.853184212,5783103.507039632,-0.462150469
376,376,1762451.674344986,5783102.581006438,-0.279576472
377,377,1759227.30173747,5783150.480954745,-0.31433547
378,378,1759613.108726979,5783138.149735828,-0.033181816
379,379,1761815.962016932,5783112.043398899,-0.532305261
380,380,1760074.567703856,5783338.899739874,-0.116744772
381,381,1759072.752125499,5783127.986739017,-9999.0
382,382,1761672.934826832,5783082.660680256,-0.583851859
383,383,1762452.734226359,5783062.518750255,-0.141678905
384,384,1759612.522568638,5783108.244673019,-0.137018507
385,385,1767405.052443653,5782940.232641404,1.551098032
386,386,1767389.302294098,5782929.905776287,0.6758372
387,387,1767365.040412574,5782911.536529108,-0.087000022
388,388,1759040.922815834,5783069.944160991,-9999.0
389,389,1759059.755641324,5783073.406770295,-0.467473685
390,390,1760045.126518356,5783054.671124169,-0.589556129
