OID,FID_,X,Y,BCE_Kawhia
198,198,1766929.15314688,5786282.224401194,0.675174988
199,199,1766952.799265321,5786281.740141661,0.715581592
200,200,1766976.086370403,5786271.498335185,0.706444442
201,201,1766948.44959873,5786261.8836967,0.569267743
202,202,1765785.447511191,5786265.674244513,0.734621632
203,203,1767085.976649153,5786239.121047312,-0.610650009
204,204,1765802.060207207,5786248.786935923,0.644834286
205,205,1766738.760834292,5786226.285444704,2.543112498
206,206,1765363.154823886,5786244.334520009,0.558855347
207,207,1766723.490721365,5786216.033737787,2.342687512
208,208,1765390.554150802,5786234.533313294,0.355370364
209,209,1765883.046171223,5786226.310323397,0.733236504
210,210,1766746.22012062,5786205.460512292,0.689596177
211,211,1765310.740944969,5786215.480129137,0.604433973
212,212,1765327.07951331,5786215.148772141,0.453400003
213,213,1765904.844273649,5786203.517559649,0.753141191
214,214,1765129.674677591,5786209.385370324,0.142592591
215,215,1765294.291710533,5786145.798461834,0.302018185
216,216,1767182.271478625,5786108.086960474,0.405314286
217,217,1767108.028622885,5786099.779555416,0.411433114
218,218,1766921.766268746,5786092.220974391,-0.81400001
219,219,1767059.165754798,5786089.057506861,0.435647996
220,220,1767161.893635199,5786088.183075235,0.626240724
221,221,1765285.214680671,5786120.687699405,0.158522936
222,222,1767138.459002933,5786080.757862275,0.535550007
223,223,1767043.216300497,5786072.850998675,0.382675001
224,224,1767153.586669988,5786070.733938676,1.325812496
225,225,1762518.338871883,5786132.018315581,0.121175003
226,226,1762045.235714225,5786131.464960357,1.277797481
227,227,1767341.785171603,5786024.448388556,1.582734163
228,228,1760492.339069808,5786152.216129268,0.836975019
229,229,1761998.019135391,5786122.430874453,0.870314275
230,230,1762021.204450096,5786129.033663924,0.90977848
231,231,1762056.293887465,5786121.507679003,3.192468082
232,232,1767286.401255763,5786039.297533643,0.426719367
233,233,1767246.794466697,5786006.452745548,0.435455696
234,234,1760491.946576617,5786132.279288329,0.84102501
235,235,1762020.897073683,5786097.045756298,1.165650001
236,236,1760499.25670949,5786117.177256373,0.825654546
237,237,1765984.118676582,5785952.737017191,0.529641506
238,238,1760498.536833008,5786057.984378778,0.626661149
239,239,1762311.031341484,5786016.481276575,0.413166668
240,240,1762374.069940201,5786014.498584287,-0.225727263
241,241,1765976.001866293,5785942.674972859,0.515774997
242,242,1762325.150141781,5785999.579592812,-0.033379084
243,243,1762284.883017485,5785977.644354566,0.049248554
244,244,1766424.531312744,5785893.748364973,0.998999997
245,245,1766440.003364066,5785883.350909538,0.748525006
246,246,1762252.95976583,5785958.335283356,0.153463689
247,247,1762230.6277467,5785938.303552052,-0.115051284
248,248,1762214.666244907,5785928.648929331,0.042800004
249,249,1761610.739961907,5785890.784514217,-0.136197451
250,250,1766792.686373938,5785786.595697756,0.631018524
251,251,1766738.733265296,5785778.246433394,0.513815286
252,252,1766273.641414788,5785775.904790715,1.992238094
253,253,1766704.451566415,5785769.156884228,0.4186319
254,254,1766681.887842907,5785758.736807665,0.373627615
255,255,1766257.38674494,5785747.0669749,1.067375007
256,256,1766657.596891173,5785743.903855542,0.341255905
257,257,1762141.55097591,5785820.408453112,-0.147824328
258,258,1766279.320094312,5785737.042036032,0.529925011
259,259,1766633.987277941,5785729.798509595,0.2929
260,260,1766625.901985604,5785719.99121982,0.367649995
261,261,1762101.35074086,5785781.318895435,0.213474998
262,262,1766617.307240485,5785685.262862757,2.932393262
263,263,1760382.437413628,5785776.163368891,0.548673467
264,264,1760437.790288887,5785865.608648397,0.544168072
265,265,1760382.016488384,5785754.772997158,0.473379999
266,266,1765852.063031722,5785636.049634436,0.304187498
267,267,1766529.725642649,5785626.344444132,0.534448916
268,268,1766469.472629549,5785613.698127928,0.351299148
269,269,1766446.553142571,5785604.569265493,0.240663548
270,270,1766509.176537637,5785602.705733094,0.721712501
271,271,1766532.5391172,5785602.525284571,1.158989599
272,272,1760359.124550195,5785727.991039047,0.457148745
273,273,1766568.776983325,5785592.492587847,0.851883338
274,274,1766575.837890267,5785584.146113309,1.317714282
275,275,1760336.685682887,5785699.328742062,0.403606194
276,276,1760301.649062097,5785677.303759213,0.386873422
277,277,1760321.358355405,5785678.987979998,0.376931702
