OID,FID_,X,Y,BCE_Whitia
360,360,1842301.482206905,5915722.290585063,0.412249211
361,361,1838375.693226905,5915815.115547675,0.554524999
362,362,1838415.456452492,5915804.024933696,0.169407405
363,363,1838422.601567123,5915793.848632483,0.132622642
364,364,1838894.706684774,5915755.660010627,-0.140070174
365,365,1838606.10154141,5915748.999555043,0.733127286
366,366,1838886.419722605,5915735.940729419,-0.156268751
367,367,1838877.991245359,5915721.213426983,-0.132799994
368,368,1842089.127890065,5915630.711923174,0.967342471
369,369,1839957.569427925,5915662.490889846,0.879401757
370,370,1838266.25056105,5915648.590805438,0.409180006
371,371,1838867.183006423,5915621.756524147,0.023137501
372,372,1841704.200279331,5915581.445491475,0.746801917
373,373,1840836.966036854,5915556.223068107,-0.261625005
374,374,1841962.312162753,5915543.724631695,-0.547039541
375,375,1840147.399000365,5915545.795978544,0.15802469
376,376,1841924.947404199,5915500.926598201,-0.676400013
377,377,1840875.87863549,5915515.216129026,-0.190250005
378,378,1840883.322388632,5915495.05271527,-0.142450002
379,379,1839327.18021457,5915449.206237289,0.362966523
380,380,1839363.217269484,5915448.191926839,-0.22506875
381,381,1839265.104542748,5915460.579144725,-0.230038106
382,382,1839382.957243015,5915437.660169818,-0.101875002
383,383,1839398.693197707,5915427.241070511,-0.173825005
384,384,1838260.106120608,5915429.291379979,0.223191492
385,385,1839437.331063992,5915376.272496901,-0.080362504
386,386,1838772.373523927,5915384.994288509,-0.158333324
387,387,1838763.805414466,5915365.283119693,-0.055050002
388,388,1839011.495685186,5915351.606355533,0.551352936
389,389,1839421.884246659,5915336.403298485,0.440956525
390,390,1838863.220365668,5915323.171403885,0.274648148
391,391,1839419.349727761,5915306.946444809,1.209249998
392,392,1838820.964282456,5915303.461295893,-0.209251655
