OID,FID_,X,Y,BCE_Waitem
360,360,1747557.733314615,5929051.384181929,-9999.0
361,361,1743439.989792475,5929111.195161548,-9999.0
362,362,1746149.897694573,5929065.244039058,-9999.0
363,363,1743568.101636034,5929099.073320339,-0.911763613
364,364,1743616.206362539,5929098.264398791,-0.84658183
365,365,1745374.506857571,5929074.417110337,-9999.0
366,366,1745396.083806458,5929068.14365967,-9999.0
367,367,1747657.340097096,5929029.341256578,-9999.0
368,368,1743624.373046926,5929087.755787807,-0.804428573
369,369,1743681.355074494,5929096.79643587,-0.896535844
370,370,1747648.819685933,5929019.117100874,-9999.0
371,371,1747777.10660388,5929017.300300783,-9999.0
372,372,1743810.88815931,5929097.664291576,-9999.0
373,373,1743886.893818436,5929074.444709803,-9999.0
374,374,1747747.420403545,5928994.182833594,-9999.0
375,375,1743462.737808365,5929055.218462773,-9999.0
376,376,1748267.893527044,5928980.644018487,-9999.0
377,377,1743446.835315817,5929041.298176989,-9999.0
378,378,1744176.418807995,5929029.010614076,-9999.0
379,379,1745290.997556798,5929009.917387545,-0.402445839
380,380,1743830.567679728,5929016.684985544,-0.030774191
381,381,1745269.753786487,5929000.066898361,-0.012183008
382,382,1743547.521365422,5929014.045842324,-0.138436548
383,383,1748072.198703189,5928922.466241403,-9999.0
384,384,1743625.414254934,5928992.206189601,-0.077666666
385,385,1745346.253345645,5928982.174992837,-0.238034905
386,386,1743447.135336885,5928993.774179299,0.021407906
387,387,1748042.500368456,5928909.575258296,-9999.0
388,388,1748055.391972888,5928902.618247448,-9999.0
389,389,1748392.549106795,5928896.966666889,-9999.0
390,390,1743413.409851542,5928971.649151372,0.181386363
391,391,1743389.533118459,5928962.308588048,-0.06138272
392,392,1745150.32483131,5928958.853373474,-0.063750168
393,393,1743381.348448566,5928952.477174057,0.064243585
394,394,1744090.166731011,5928953.824248551,-0.671399975
395,395,1744151.766292574,5928952.034778073,-0.811999977
396,396,1748051.343415357,5928882.891550168,-9999.0
397,397,1743373.163797147,5928942.645752646,0.162074999
398,398,1745152.116159149,5928925.598667845,0.13732143
399,399,1745368.307792095,5928909.68005703,-0.075819443
400,400,1748078.881651382,5928866.754354577,-9999.0
401,401,1743360.867563586,5928932.945319661,0.139063292
402,402,1745099.436897817,5928909.47852194,-0.016166668
403,403,1745418.354499683,5928903.803020152,-0.255333324
404,404,1746730.404093702,5928879.840767079,-0.225287767
405,405,1748271.667606969,5928854.004338647,-9999.0
406,406,1748497.433771113,5928837.938328811,1.655359709
407,407,1743348.393825901,5928920.150470893,0.185729509
408,408,1745509.2687031,5928876.604402379,-0.130145566
409,409,1745790.13695841,5928862.428130353,-9999.0
410,410,1745809.589065582,5928861.713052815,-9999.0
411,411,1746179.603953217,5928862.244892253,-0.078712526
412,412,1748080.565246468,5928833.891989117,-0.932000041
413,413,1743337.96481523,5928894.403161496,0.43348387
414,414,1746757.182161242,5928848.600843235,-0.030789473
415,415,1748508.741194475,5928804.820571372,-9999.0
416,416,1746154.149529896,5928835.68335589,-0.211999993
417,417,1748438.920940761,5928796.469278643,-9999.0
418,418,1744931.567932211,5928850.534291745,-0.148509905
419,419,1744993.118361757,5928854.09850072,-0.152882352
420,420,1744517.790395707,5928845.661843564,-0.096229165
421,421,1745549.08757663,5928856.812281648,0.006567711
422,422,1745585.23564552,5928834.754374459,-0.057630437
423,423,1746145.671294454,5928824.526666441,0.038619998
424,424,1743323.226004889,5928874.117945386,0.273560362
425,425,1745616.97974548,5928816.956977456,0.125122069
426,426,1745691.472995901,5928814.942819369,0.184273885
427,427,1748357.88200166,5928748.032085621,-9999.0
428,428,1744470.956270782,5928817.875964827,0.10835446
429,429,1748117.522488343,5928752.003936259,1.941390031
430,430,1746791.513340811,5928760.67912027,-0.360714303
431,431,1746973.724390229,5928752.489050985,-0.324309592
432,432,1746994.662311478,5928741.601871532,-0.343807714
433,433,1748104.977975857,5928722.314183023,1.212862006
434,434,1743193.950556105,5928786.352718328,-0.960714332
435,435,1746078.958501303,5928745.45041757,0.15783544
436,436,1743169.73199502,5928776.790006571,-9999.0
437,437,1743321.558585582,5928776.805056926,0.20819347
438,438,1743177.898875833,5928766.281824715,-0.963799989
439,439,1747038.343269387,5928720.56815481,-0.494678802
440,440,1747106.458879309,5928689.937036504,-0.688331868
441,441,1748613.046697439,5928663.84140176,-0.56094443
442,442,1748642.866070129,5928667.481126877,-0.138960195
443,443,1748540.718595299,5928655.130900095,-9999.0
444,444,1748572.787318908,5928654.57291831,-0.960000034
445,445,1743300.697441391,5928734.83194265,0.087430559
446,446,1745889.284977576,5928705.631527637,-0.340657408
447,447,1746907.166895192,5928707.386323862,0.37559227
448,448,1746031.151139276,5928677.556454268,0.08375
449,449,1747044.48982378,5928661.975996942,0.451878346
450,450,1748360.1500995,5928638.481468262,-9999.0
451,451,1743128.211043928,5928725.792228902,-1.0
452,452,1746801.21761563,5928696.143689307,-0.481159983
453,453,1748051.309863113,5928633.523128298,0.124987179
454,454,1748572.267042174,5928624.674528847,-9999.0
455,455,1748673.483602999,5928633.214408697,0.042991342
456,456,1747142.987290088,5928662.194797457,-0.612434427
457,457,1748340.155309267,5928618.867555512,-0.558136401
458,458,1748411.750763705,5928617.497112671,-9999.0
459,459,1743112.27563181,5928698.002506235,-9999.0
460,460,1743273.343292601,5928678.157772169,0.186238094
461,461,1748419.074908169,5928577.493236624,-9999.0
462,462,1748587.75772684,5928574.559206871,-0.963761943
463,463,1751569.962954549,5928521.935984716,0.191375002
464,464,1743255.712276225,5928661.886537335,0.024007752
465,465,1748612.756691132,5928564.693636659,-0.737296304
466,466,1744432.857622968,5928641.597908488,-0.131470579
467,467,1748571.287929838,5928575.492664617,-9999.0
468,468,1748587.403830692,5928554.224665892,-0.992000043
469,469,1743246.98033915,5928643.196200458,0.032519231
470,470,1747263.889296442,5928643.347844918,-0.454153547
471,471,1751452.613060382,5928497.398548336,0.169648561
472,472,1744385.724016799,5928607.908149097,-0.296494844
473,473,1746792.773304178,5928577.126214284,-0.203905108
474,474,1751417.046472835,5928484.610109887,0.175194804
475,475,1743046.803310867,5928619.348967318,-0.986999989
476,476,1743237.91489132,5928616.603765723,0.154471696
477,477,1751408.736444222,5928474.950040864,0.152499999
478,478,1751575.527931156,5928482.066734791,-0.051964296
479,479,1751397.277009599,5928464.818849746,0.230408163
480,480,1746772.666106756,5928536.853098962,0.028187497
481,481,1748290.382012372,5928512.689264295,-0.250474575
482,482,1748610.12599481,5928525.516470814,-0.736611111
483,483,1751552.388879445,5928452.945724957,-0.161515137
484,484,1744372.001964659,5928570.235669253,-0.213891206
485,485,1744415.625423696,5928574.028353933,0.303285713
486,486,1746899.772159574,5928541.00019108,-0.304882565
487,487,1746973.123917632,5928528.106653248,-0.325106068
488,488,1748465.936741065,5928495.997204174,-9999.0
489,489,1747394.0489094,5928520.200047811,-0.377486162
490,490,1751376.288020861,5928439.901068249,0.148374558
491,491,1751524.71346698,5928433.678183589,-0.078711675
492,492,1744384.957246748,5928546.778476062,0.056875
493,493,1751512.074285461,5928423.270286531,-0.299142893
494,494,1751503.412619818,5928414.049431573,-0.322115424
495,495,1748577.757714302,5928483.219979043,-0.931681228
496,496,1747663.385057323,5928460.797125839,-0.598524999
497,497,1751491.053183924,5928396.733864057,-0.032530629
498,498,1751247.659045913,5928386.097150957,-0.036666669
499,499,1742980.565390177,5928528.889268534,-0.957461513
500,500,1743052.066388059,5928513.674299456,0.004554954
501,501,1747105.655981127,5928535.634341534,0.313310718
502,502,1748292.284942789,5928424.973631258,-9999.0
503,503,1751214.803578874,5928357.661022352,-0.112777763
504,504,1747125.594157243,5928407.527147684,0.415078228
505,505,1747424.418013118,5928479.076238898,-0.304175322
506,506,1742984.946050229,5928454.588827537,-0.022993937
507,507,1743017.413118938,5928485.586596529,0.03126476
508,508,1746981.990226127,5928383.096809575,-0.199622231
509,509,1742971.645297404,5928431.56132066,0.114707316
510,510,1746988.157972984,5928367.773968788,-0.2129
511,511,1751483.498091789,5928312.468267291,1.051259386
512,512,1747154.322389567,5928364.518372239,0.375500001
513,513,1748605.59403967,5928306.293419085,5.105571474
514,514,1742947.027691013,5928396.18253018,0.171000001
515,515,1751484.555387493,5928252.655211856,0.041249999
516,516,1748584.979314833,5928290.919355433,1.323936706
517,517,1751107.874367969,5928241.012003076,-0.084125004
518,518,1751096.679577059,5928230.800489151,0.158633094
519,519,1751084.05820251,5928220.680620324,0.1775
520,520,1751517.719659347,5928223.016386647,0.560789467
521,521,1746996.148180915,5928298.024148286,-0.11072222
522,522,1747193.671988612,5928300.496705947,0.254405703
523,523,1748557.937207954,5928255.824877579,2.842259246
524,524,1751075.713908304,5928211.081618014,0.156923075
525,525,1742903.209473681,5928335.128413216,0.141333331
526,526,1747226.246823661,5928252.385398955,0.192283467
