OID,FID_,X,Y,BCE_Ohiwa_
53,53,1959477.296205221,5788237.481630955,0.149423929
54,54,1960463.21620306,5788162.029768413,0.0510625
55,55,1959409.837819345,5788200.480201994,0.07577078
56,56,1959314.991005915,5788199.881098911,0.158169371
57,57,1959238.038691174,5788178.564144954,0.183503135
58,58,1960571.966973084,5788117.256406547,0.136600001
59,59,1960587.754443833,5788116.559065184,0.15351899
60,60,1959190.703379667,5788168.156563697,0.17214
61,61,1959205.915174389,5788167.487231747,0.185499997
62,62,1960642.569997992,5788104.14491477,0.213397437
63,63,1957576.044112086,5788150.00133183,0.695297986
64,64,1957676.988552924,5788134.839942622,0.643783712
65,65,1956824.289427185,5788142.765594686,0.649269238
66,66,1956839.79753372,5788136.446920187,0.540089741
67,67,1956976.031041132,5788222.982983739,0.040198235
68,68,1957360.142806342,5788098.612187264,-0.157825003
69,69,1956894.566627194,5788108.988353572,-0.221568632
70,70,1957461.537192259,5788122.615754236,0.798821536
71,71,1957351.37614113,5788079.011529594,1.091939915
72,72,1961163.949102167,5787911.217562383,0.216175004
73,73,1957335.152626864,5788069.729512106,0.2976625
74,74,1956892.683319516,5788079.094081063,-0.047051284
75,75,1957318.651250336,5788055.686542465,0.355307187
76,76,1957845.083696183,5788065.400482382,0.557599896
77,77,1957294.376015058,5788041.536908781,0.049766232
78,78,1961249.012704742,5787867.482257057,0.186374998
79,79,1957286.045802205,5788031.91016937,0.101899999
80,80,1961272.251977797,5787856.461149573,0.206354429
81,81,1956590.294877117,5788038.608539582,0.528351028
82,82,1956725.014685744,5788072.974449998,0.340177079
83,83,1957264.383141642,5788011.493303125,0.355895652
84,84,1957962.033330654,5787996.275531518,0.538318076
85,85,1961341.9692515,5787823.396971242,0.185649997
86,86,1956904.981470187,5787998.619329528,-0.055650001
87,87,1956912.438771549,5787988.301115449,-0.053589744
88,88,1956816.920052294,5787983.008219526,0.165075813
89,89,1958082.022110885,5787927.559333288,0.72061413
90,90,1956570.432076039,5788003.850902749,0.870747045
91,91,1956735.624444321,5787962.368023179,0.188015956
92,92,1957565.403597778,5787909.7631194,0.046974359
93,93,1957533.393514067,5787901.173287175,-0.027255755
94,94,1956673.961770996,5787936.047773652,0.7950903
95,95,1956961.973461098,5787941.692233092,0.0912161
96,96,1957430.07753106,5787902.639083753,0.078829453
97,97,1958200.489314401,5787868.000696022,-0.102287918
98,98,1958234.148512893,5787830.479844853,0.123475
99,99,1957389.698002154,5787857.6374652,0.759294119
100,100,1957027.966757041,5787867.228716825,-0.016635594
101,101,1957036.571944577,5787842.982122499,0.076499999
102,102,1957050.683363335,5787816.052119262,0.171053031
103,103,1957686.297136958,5787784.767737,0.069927272
104,104,1957078.271323766,5787801.91789967,-0.011859999
105,105,1957685.423060367,5787764.821503458,0.090196429
106,106,1957700.846632369,5787768.268529206,2.099321438
107,107,1965160.481434237,5787433.534883043,0.967693349
108,108,1965102.597395431,5787376.239624385,1.47697435
109,109,1957096.16605847,5787723.712069061,0.176314916
110,110,1965094.257917606,5787366.619348526,1.528569624
111,111,1965069.685823825,5787347.731444404,1.638076894
112,112,1961730.394180413,5787486.421938634,0.215012992
113,113,1965057.399635939,5787338.287755836,1.725311678
114,114,1961753.631752007,5787475.399160177,0.205649353
115,115,1965045.113711227,5787328.843914377,1.794899958
116,116,1965036.774190549,5787319.223757194,2.178874965
117,117,1965012.170112743,5787299.609068578,2.428811296
118,118,1958411.683052154,5787691.076943947,0.458270656
119,119,1958566.553715724,5787566.074633914,-0.07958334
120,120,1962059.25445247,5787411.88275825,-0.025544302
121,121,1962075.040766299,5787411.182438171,0.106099996
122,122,1962200.446054793,5787385.63193773,0.082999998
123,123,1962216.26461983,5787385.658015808,0.150018869
124,124,1964984.52923163,5787276.909499218,3.962110675
125,125,1962243.83795878,5787373.036885882,-0.038915888
126,126,1964954.719602724,5787252.940408312,3.676708831
127,127,1962286.385208861,5787361.831455071,0.066461537
128,128,1962302.17069163,5787361.129816863,0.329674999
129,129,1964946.380417416,5787243.320001978,4.559526378
130,130,1957747.976266058,5787552.084952617,-0.082979592
131,131,1958133.756475847,5787525.122877002,1.071700014
132,132,1964929.925168448,5787229.065889478,4.493555154
133,133,1964913.469879378,5787214.811686564,3.350077951
134,134,1958632.784222491,5787495.124456972,0.149578039
135,135,1958676.18222861,5787451.340977977,-0.211362505
136,136,1964876.166952522,5787176.50630796,2.737649999
137,137,1965207.716367526,5787160.090607584,0.048746987
138,138,1965120.577645633,5787155.444984892,0.166872483
139,139,1965140.140625869,5787154.706602857,0.0229
140,140,1965333.71763145,5787141.149756426,-9999.0
141,141,1965282.159202533,5787139.024916128,-0.049769912
142,142,1965360.42863233,5787131.893674096,0.059714285
143,143,1965381.670681392,5787129.949107156,0.110954546
144,144,1957019.170925598,5787599.107888312,0.241086899
145,145,1958457.81160758,5787430.957833299,0.5206625
146,146,1958024.734614967,5787529.441914017,0.54203689
147,147,1958135.1928323,5787365.159448664,3.720545468
148,148,1958713.435259763,5787385.243580832,-0.092003024
149,149,1965082.294482154,5787103.352443864,0.866905907
150,150,1965048.408871224,5787048.883710016,1.147538466
151,151,1958295.101423565,5787384.241438432,0.072139847
152,152,1958558.36909977,5787276.654627606,0.040207547
153,153,1965025.15656666,5787005.011726284,0.545207129
