OID,FID_,X,Y,BCE_Otago_
261,261,1422259.388786476,4927714.739577215,-9999.0
262,262,1422283.410434784,4927716.09347003,-9999.0
263,263,1422273.640511299,4927705.158907246,-9999.0
264,264,1422822.158458534,4927721.411460781,-9999.0
265,265,1423177.337197359,4927737.207011692,-9999.0
266,266,1422311.842592461,4927693.214843253,-9999.0
267,267,1422797.797693935,4927705.151873628,-9999.0
268,268,1422944.017705671,4927709.845108819,-9999.0
269,269,1422344.327554285,4927677.21566091,-9999.0
270,270,1423092.638487242,4927702.195160034,-9999.0
271,271,1423137.794955173,4927707.784539524,-9999.0
272,272,1422659.335257075,4927682.770962321,-9999.0
273,273,1422911.186211281,4927697.225441314,-9999.0
274,274,1422358.721773574,4927662.644635336,-9999.0
275,275,1422812.608943117,4927670.819736304,-9999.0
276,276,1422882.439068243,4927672.811364541,-9999.0
277,277,1423092.080759467,4927678.581004571,-9999.0
278,278,1422373.115926668,4927648.073585736,-9999.0
279,279,1422813.178354079,4927650.859116232,-9999.0
280,280,1422935.879113865,4927654.735322371,-9999.0
281,281,1423085.666281212,4927658.421491672,-9999.0
282,282,1422399.186652502,4927630.905671651,-9999.0
283,283,1423075.476080577,4927648.142825881,-0.994000018
284,284,1422946.71510906,4927634.690209962,-9999.0
285,285,1423026.068865828,4927722.807131939,-9999.0
286,286,1423065.285914198,4927637.86414822,-0.87733333
287,287,1422464.994110908,4927617.349763169,-9999.0
288,288,1422927.974467717,4927627.841877415,-9999.0
