OID,FID_,X,Y,BCE_Manuka
304,304,1758570.415068337,5910409.117892479,0.869625009
305,305,1758589.793286298,5910418.675660494,-0.080043858
306,306,1759507.247616793,5910392.042186685,0.457833328
307,307,1757104.065164201,5910432.510018657,-0.030465114
308,308,1757122.161846982,5910425.355305876,1.223725464
309,309,1758477.060977004,5910415.738575571,0.36649266
310,310,1759522.266022231,5910381.31080764,0.848499987
311,311,1749061.076554192,5910572.158667337,-0.696495314
312,312,1757138.11132636,5910416.003125276,-0.224230769
313,313,1758298.197856663,5910394.460597187,0.073999999
314,314,1758583.969717789,5910396.14241775,0.417488152
315,315,1758849.895393966,5910384.152835612,-0.003571429
316,316,1762410.197587406,5910316.568970843,0.141645572
317,317,1758601.857823615,5910378.619972127,0.30775
318,318,1758873.709730771,5910373.737039834,0.112586206
319,319,1759515.4669268,5910371.957018925,0.632641508
320,320,1756825.517873756,5910406.393837143,-0.523620697
321,321,1758857.680350357,5910363.865459722,0.905625
322,322,1758992.575841438,5910459.246858728,0.869605507
323,323,1759564.711672857,5910370.081336627,0.885167116
324,324,1759633.708173195,5910349.304765539,0.852249996
325,325,1756759.581134532,5910406.112865834,-0.169010572
326,326,1757164.609626893,5910389.597347183,-0.113333339
327,327,1758625.485909513,5910358.23865377,0.669874997
328,328,1758787.400027415,5910370.64521539,-0.03880829
329,329,1758881.306598736,5910358.438538448,0.237222225
330,330,1756841.244709784,5910381.428402648,0.049746838
331,331,1757191.607784982,5910404.442141072,-0.263512472
332,332,1757217.526746047,5910375.353743965,0.224062497
333,333,1758282.643894672,5910366.063587851,0.091747749
334,334,1758633.299894377,5910348.122573677,1.127874995
335,335,1758729.289426251,5910345.600912412,0.278518516
336,336,1759695.459980305,5910335.75506222,0.780982136
337,337,1756883.005273303,5910403.947328005,-0.012299728
338,338,1756907.624864104,5910366.772961318,1.324545443
339,339,1758666.275958881,5910353.253299954,0.129057971
340,340,1758669.114737098,5910337.483046119,0.415886079
341,341,1758745.236056497,5910342.420449004,0.72136364
342,342,1759713.148387752,5910317.900346165,0.795749985
343,343,1759525.794721542,5910352.994979738,0.873157896
344,344,1759553.175818162,5910317.849424808,1.054999948
345,345,1756851.030801442,5910359.117078741,0.165409836
346,346,1757584.711789805,5910337.746828483,1.393499973
347,347,1758884.741709213,5910313.158010061,0.577181802
348,348,1759564.549336709,5910305.41887236,1.120000005
349,349,1759755.034697498,5910299.923971498,0.795260654
350,350,1757226.986666407,5910340.135941797,0.148450704
351,351,1757908.535108096,5910321.758190578,-0.287312504
352,352,1759589.397292777,5910296.834860346,1.214588217
353,353,1759776.587683182,5910286.79555287,0.825875008
354,354,1748976.189781973,5910473.278757415,-0.629474982
355,355,1756944.483717174,5910329.469177643,-0.103090906
356,356,1757923.917326341,5910310.917807876,-0.254770637
357,357,1758872.468273313,5910298.783355566,0.764409939
358,358,1759632.395899781,5910279.539207486,1.349240504
359,359,1757664.158390665,5910306.361534194,0.846374991
360,360,1757896.163947436,5910302.04838018,0.78974999
361,361,1758217.40126182,5910327.067182405,-0.04954569
362,362,1758880.188533572,5910283.684103766,0.80974999
363,363,1758910.908599075,5910293.879363598,0.585429289
364,364,1759648.302612368,5910274.254957266,1.274312516
365,365,1759804.443915522,5910274.893669933,0.885665906
366,366,1756772.824963587,5910345.151327678,0.003135939
367,367,1756943.374077439,5910309.751030019,-0.003461538
368,368,1757263.964345313,5910303.81657106,0.840500001
369,369,1757272.236982702,5910337.19379685,0.098167073
370,370,1757826.611733168,5910316.698880436,0.056789392
371,371,1757911.97900251,5910291.784031837,0.931249994
372,372,1758183.98544928,5910286.718585269,0.451749989
373,373,1758888.002152489,5910273.567775887,1.128227849
374,374,1758908.002646203,5910273.193312169,0.779312508
375,375,1759664.021806674,5910259.004100678,1.624499999
376,376,1756447.763315222,5910308.931556751,0.043625011
377,377,1756688.319065115,5910308.952994449,-0.040943397
378,378,1756715.381639438,5910310.154543549,0.070766549
379,379,1757279.872346913,5910298.536808432,0.432484079
380,380,1757323.780912663,5910292.738004658,0.409874997
381,381,1757696.465633393,5910302.835662046,0.279912222
382,382,1759679.834703772,5910248.736500964,1.321500003
383,383,1756383.413267156,5910299.946412016,-0.640545464
384,384,1756411.441742814,5910318.187954606,-0.355145274
385,385,1756735.584892404,5910293.650779841,0.485624998
386,386,1756783.585790005,5910292.764174495,0.718124999
387,387,1757287.595455854,5910283.438748858,1.458860765
388,388,1757743.604565835,5910274.975343943,0.982374998
389,389,1757763.000850684,5910274.824988116,0.709368427
390,390,1757935.701241867,5910276.387742263,0.37475
391,391,1757960.397077269,5910279.569413224,-0.009168591
392,392,1759687.788117669,5910238.811556083,1.393717934
393,393,1759855.651486455,5910235.456423858,0.633417709
394,394,1756485.460185994,5910296.51190467,-0.160828514
395,395,1756898.680266998,5910278.687353612,0.401666666
396,396,1756927.496369644,5910285.119803799,0.197187502
397,397,1757047.982068246,5910322.440289182,-0.231579301
398,398,1757303.503405955,5910278.158940066,1.376312476
399,399,1757943.4231933,5910261.289046831,0.929250003
400,400,1757995.856965804,5910260.897256222,-0.071388889
401,401,1756539.646267721,5910277.911755027,-0.075140186
402,402,1756911.061933298,5910270.669983621,0.338545461
403,403,1757319.226591299,5910262.912564189,1.128125004
404,404,1757959.238007394,5910251.024720649,0.916500002
405,405,1760223.284081912,5910208.583583599,-0.073124998
406,406,1756383.578391805,5910274.694080764,-0.468240736
407,407,1756926.452312998,5910260.214275125,0.299259263
408,408,1757335.042190829,5910252.649386843,0.729624992
409,409,1757975.052783921,5910240.760363602,1.243499987
410,410,1759871.452639586,5910212.621964944,0.640808823
411,411,1760239.096338102,5910198.314974109,0.095714286
412,412,1757342.857456547,5910242.534578889,0.747179481
413,413,1757998.960424806,5910235.330315699,0.936437495
414,414,1758018.861449911,5910229.6242842,0.497207203
415,415,1760254.908316574,5910188.046206413,0.182250001
416,416,1748766.61550709,5910387.229549284,-0.076150004
417,417,1748818.292246303,5910394.226993118,-0.431508251
418,418,1756369.37139344,5910256.093530001,-0.48565217
419,419,1756616.726007153,5910278.367230397,0.161463711
420,420,1756942.509551204,5910240.178704626,0.39351852
421,421,1757350.672791336,5910232.419724267,1.311749994
422,422,1758085.015631427,5910256.987351895,-0.092930081
423,423,1756543.101085786,5910244.982797466,0.426396393
424,424,1756582.478790247,5910236.657793693,0.726125011
425,425,1757366.488208387,5910222.156523497,1.376750012
426,426,1759813.684604043,5910187.707612052,1.045518284
427,427,1762823.107045814,5910119.942485473,1.449062472
428,428,1756566.301167948,5910226.988921655,0.683083331
429,429,1756942.140939205,5910220.245654394,0.832181841
430,430,1760286.344407971,5910157.542059409,0.168607593
431,431,1762831.186712479,5910110.276117388,1.52692306
432,432,1756898.194984136,5910215.601821437,1.290000081
433,433,1757506.772730501,5910306.946678897,0.599932686
434,434,1760294.156448498,5910147.424058905,0.25126582
435,435,1762839.288254348,5910100.771478338,1.474523803
436,436,1762854.109071861,5910088.841122405,1.478481014
437,437,1760307.100462205,5910129.299279184,0.271224493
438,438,1762862.092699687,5910078.949784062,1.537972958
439,439,1760085.588970145,5910121.451108063,1.027820493
