OID,FID_,X,Y,BCE_Tauran
268,268,1860160.240825628,5849066.440159626,0.010285817
269,269,1860182.278881964,5848863.39450372,-0.132014551
270,270,1862074.414151629,5848778.268467317,-0.524057712
271,271,1859959.658871143,5848836.800729131,0.01065695
272,272,1860577.498969406,5848830.524762382,-0.214443402
273,273,1860110.9075769,5848800.165813378,0.099464287
274,274,1861305.505074321,5848779.04886993,-0.304546105
275,275,1859940.004141825,5848803.661249034,0.056145078
276,276,1860122.674007727,5848789.610825153,0.100363057
277,277,1860138.430215696,5848773.837500162,0.108389671
278,278,1860173.282790051,5848795.099540105,0.069247573
279,279,1860929.613806532,5849114.062939625,0.096126861
280,280,1860616.534534255,5848756.670178846,-0.199131837
281,281,1860641.729672899,5848733.659734314,-0.158214284
282,282,1860932.351133456,5848723.668090425,-0.041072726
283,283,1861352.548683954,5848716.196386446,-0.340470319
284,284,1862034.858353995,5848696.92358657,-0.713885701
285,285,1860983.094261263,5848712.980985431,-0.132709091
286,286,1861380.098088523,5848680.561205397,-0.40787272
287,287,1861400.223142333,5848680.305844938,-0.387095242
288,288,1861371.494841676,5848670.436224534,-0.413436358
289,289,1861419.183632571,5848669.3539596,-0.403381813
290,290,1862019.381235305,5848640.873577619,-0.328678902
291,291,1861036.848173719,5848669.519254284,-0.357957831
292,292,1861269.588994699,5848655.637484253,-0.365272886
293,293,1861978.602457878,5848621.964713763,-0.668594603
294,294,1860383.081884431,5848811.166766318,-0.154071844
295,295,1861235.505769976,5848635.204843758,-0.355407407
296,296,1861287.41435615,5848633.951850399,-0.332299068
297,297,1861326.502829293,5848637.233578986,-0.35556686
298,298,1861004.430491586,5848632.476798113,-0.334836363
299,299,1860433.468380819,5848640.906979206,-0.037316456
300,300,1861226.469041132,5848620.831306866,-0.350678904
301,301,1861596.402897511,5848608.689691607,-0.633012714
302,302,1861978.082012125,5848592.276575445,-0.242064227
303,303,1861413.509402576,5848596.206911211,-0.399378381
304,304,1861511.513179521,5848585.372004277,-0.168601964
305,305,1861951.45534581,5848573.908748609,-0.39869303
306,306,1861495.510149229,5848567.16147298,-0.540629631
307,307,1860342.73778624,5848583.350615657,0.120370373
308,308,1860636.892293587,5848573.93398165,-0.633000016
309,309,1864007.122977494,5848469.584912494,-0.713999987
310,310,1860680.271027724,5848562.244916844,-0.633000016
311,311,1860735.498795027,5848564.480274638,-0.633000016
312,312,1861173.593338799,5848554.974286128,-0.266139533
313,313,1860692.047416781,5848552.039559098,-0.633000016
314,314,1860771.187452703,5848549.975506141,-0.633000016
315,315,1861228.350041807,5848526.032952566,-0.180820755
316,316,1861271.460801885,5848524.302556265,-0.274574066
317,317,1861295.298237252,5848523.554022872,-0.228462957
318,318,1861335.027299555,5848522.306315116,-0.210636361
319,319,1861901.522470936,5848504.286720242,-0.584916682
320,320,1860438.485827009,5848581.183025527,-0.025723856
321,321,1861541.150757856,5848495.663108806,-0.569850018
322,322,1861440.483463662,5848509.46127464,-0.347025251
323,323,1861551.426342034,5848484.961947029,-0.571241371
324,324,1861882.035768016,5848459.992476738,-0.484787484
325,325,1861869.657471984,5848445.763703532,-0.448745456
326,326,1860073.334543127,5848491.358838256,0.187848607
327,327,1861856.941277192,5848426.062046732,-0.396089287
328,328,1863950.405530158,5848415.816065245,-0.713999987
329,329,1861827.526296785,5848357.508326061,-0.390603777
330,330,1860483.465468982,5848459.249005579,-0.01882586
331,331,1861774.506157003,5848328.653527989,-0.633000016
332,332,1860363.028095699,5848323.630467106,0.085757009
333,333,1859930.351246844,5848311.206098925,0.229244464
334,334,1861754.57913458,5848191.042666964,-0.3758724
335,335,1861788.417537384,5848207.447776027,-0.316067758
336,336,1860280.387918464,5848238.663663039,-0.179368974
337,337,1861278.460926305,5848186.667614915,-0.234850429
338,338,1861228.726871426,5848165.970052018,-0.532890902
339,339,1860417.34793891,5848171.863818266,-0.044981821
340,340,1862268.942318029,5848117.947037096,-0.713999987
341,341,1861252.549679076,5848119.937846771,-0.231354099
342,342,1861234.16302018,5848096.359331944,-0.200036364
