OID,FID_,X,Y,BCE_Tauran
422,422,1860854.422818181,5847399.738954365,-0.050381818
423,423,1861836.187627644,5847369.268076292,-0.07566981
424,424,1863659.550870335,5847326.053611645,-0.713999987
425,425,1860874.119929731,5847388.583073203,-0.045899084
426,426,1860885.735281546,5847378.590217017,-0.014670886
427,427,1862239.946948475,5847351.887503593,-0.403216321
428,428,1863674.563493028,5847297.886719348,-0.713999987
429,429,1861714.770371897,5847362.971105449,-0.365514233
430,430,1862259.698841416,5847320.412167144,-0.448782242
431,431,1863693.564013724,5847270.087150737,-0.685624193
432,432,1860543.176590869,5847359.389639422,-0.610000014
433,433,1861790.331479909,5847320.43728197,-0.200092596
434,434,1860815.608302356,5847437.439045893,-0.026610589
435,435,1861702.626239545,5847313.217852592,-0.356875005
436,436,1861682.728364849,5847294.261795116,-0.354861112
437,437,1860479.063957366,5847298.848598109,-0.529481474
438,438,1860893.775284018,5847269.274664159,0.040714286
439,439,1862319.556280718,5847218.157521172,-0.52946296
440,440,1860467.331409098,5847236.865450482,-0.610000014
441,441,1862334.187692044,5847177.777904903,-0.508369367
442,442,1863708.842335997,5847124.897488904,-0.714003131
443,443,1861851.480018372,5847161.010678417,-0.156789475
444,444,1862333.484056318,5847143.651377192,-0.511321427
445,445,1861673.77360329,5847154.454163889,-0.32981482
446,446,1861650.907279006,5847148.64429964,-0.372583003
447,447,1863707.496772425,5847073.529911054,-0.713999987
448,448,1862426.303678935,5847055.689110671,-0.466700431
449,449,1861792.869277351,5847070.342694323,-0.340389164
450,450,1861813.636613641,5847050.25771755,-0.428785715
451,451,1861920.611519575,5847047.357209533,-0.162581815
452,452,1860759.057882256,5847073.201953438,-0.610000014
453,453,1860363.31560985,5847075.62106749,-0.344746843
454,454,1861879.895824305,5847072.736356641,-0.241239541
455,455,1861753.703188775,5847022.582616541,-0.517477072
456,456,1862471.778478933,5847007.695837719,-0.448472719
457,457,1863719.07795754,5846954.918385597,-0.713999987
458,458,1860250.491466416,5847040.485834471,-0.266030845
459,459,1861863.983084746,5846989.172528731,-0.3621028
460,460,1861946.807895032,5846986.187383374,-0.213927279
461,461,1862499.218932427,5846959.167002862,-0.424504668
462,462,1860683.709867551,5847012.36463232,-0.327932179
463,463,1860166.494949367,5847011.926167658,-0.484974346
464,464,1860706.867663336,5846994.795252961,-0.281851854
465,465,1863749.975295403,5846899.050307048,0.735458334
466,466,1860200.770334409,5847007.370483831,0.013169494
467,467,1861865.868511214,5846953.028468501,-0.390963962
468,468,1863725.509830732,5846879.866815506,-0.713999987
469,469,1860165.399946797,5846982.226510634,-0.21451852
470,470,1860722.954791464,5846965.288373099,-0.268553457
471,471,1860657.96488011,5846956.826444701,-0.410499995
472,472,1860683.174930442,5846971.843219073,-0.314018838
473,473,1861340.640796564,5846944.135680288,-0.393312032
474,474,1861944.609791312,5846916.400120934,-0.233249998
475,475,1861882.408175271,5846921.858253262,-0.375209375
476,476,1861943.427825309,5846890.708950732,-0.283614677
477,477,1862066.170704714,5846892.191294018,0.061623809
478,478,1860136.78128734,5846945.641120873,-0.15637228
479,479,1860572.62336501,5846890.022117051,-0.41115741
480,480,1860595.848552683,5846894.011180134,-0.519788741
481,481,1862554.118834036,5846827.322840308,-0.419444431
482,482,1860097.272133651,5846901.573887422,-0.214597284
483,483,1860737.117284064,5846874.068416289,-0.315369644
484,484,1860901.25054531,5846859.175524931,0.268925003
485,485,1862101.513617397,5846847.205929503,0.040103061
486,486,1863713.98278426,5846785.425386982,-0.692798723
487,487,1860232.84351806,5846850.387997833,0.265759256
488,488,1860598.275002501,5846838.944692051,-0.261625005
489,489,1860669.7725082,5846836.703901954,-0.195071436
490,490,1861414.453329615,5846815.685881509,-0.385058582
491,491,1861938.940191287,5846819.408899759,-0.363642857
492,492,1863754.294755885,5846733.139638484,0.002384301
493,493,1860689.598946586,5846816.50048992,-0.284462266
494,494,1862207.836508408,5846771.458211657,0.085776596
495,495,1861081.318806569,5846806.497686482,0.756080188
496,496,1862297.387113074,5846755.58798519,0.082642858
497,497,1863733.214268859,5846712.533301565,-0.290635983
498,498,1860538.035446068,5846801.291556105,-0.397555552
499,499,1861999.151088787,5846760.103622044,-0.28828169
500,500,1862352.998023523,5846748.636067011,0.148860127
501,501,1863699.537259916,5846706.045989094,-0.70073816
502,502,1860247.171869568,5846800.042966627,0.160870373
503,503,1860311.055771552,5846798.043491259,0.085228071
504,504,1862400.032224537,5846732.390675736,0.122254545
505,505,1861331.586158135,5846760.97721926,0.109067093
506,506,1863754.431768882,5846682.824969986,0.117852458
507,507,1860295.592731864,5846784.338135636,0.10256693
508,508,1862059.401913118,5846714.488842527,-0.206432994
509,509,1862598.115115718,5846686.011811793,-0.50350981
510,510,1860250.800429051,5846758.50478919,0.098968627
511,511,1862296.367950447,5846710.572960332,-0.016782111
512,512,1862505.981224149,5846669.546345776,-0.052981481
513,513,1861125.359516787,5847105.92335618,0.029400592
514,514,1861511.954492546,5846696.345243325,-0.428102887
515,515,1862227.96954126,5846680.466325269,-0.048906566
