OID,FID_,X,Y,BCE_Poriru
189,189,1760162.916414926,5448360.304519249,-0.230000004
190,190,1757772.999589047,5448400.018717772,0.084033818
191,191,1758298.533624822,5448390.330185406,-0.230000004
192,192,1758468.275991922,5448381.653828417,-0.230000004
193,193,1760139.542571928,5448346.057229845,-0.230000004
194,194,1760170.019176508,5448344.974360305,-0.230000004
195,195,1760199.895126606,5448344.736004489,-0.230000004
196,196,1758625.668138411,5448376.411306042,-0.230000004
197,197,1758709.876309781,5448367.023865068,-0.230000004
198,198,1758158.945331737,5448368.976281079,-0.230000004
199,199,1758199.031576264,5448391.413610293,-0.230000004
200,200,1760169.282190641,5448325.45050598,-0.230000004
201,201,1758667.801275289,5448348.18878937,-0.230000004
202,202,1758694.4637367,5448352.391537357,-0.230000004
203,203,1760146.43174582,5448315.972844157,-0.230000004
204,204,1758637.40892393,5448338.870070907,-0.230000004
205,205,1758675.279216118,5448337.840981882,-0.230000004
206,206,1758684.679567626,5448327.65933465,-0.230000004
207,207,1757980.846598552,5448527.608291938,-0.210586825
208,208,1758327.672623256,5448325.623882364,-0.230000004
209,209,1758410.345673086,5448722.441480029,-0.230000004
210,210,1758148.406639761,5448336.79021251,-0.230000004
211,211,1758376.833819766,5448304.981129094,-0.230000004
212,212,1758334.569125657,5448295.541413392,-0.230000004
213,213,1758689.34995186,5448298.702846044,-0.230000004
214,214,1760077.226157933,5448257.620179683,-0.230000004
215,215,1756680.078444387,5448340.219424,-0.5
216,216,1758205.890438092,5448278.369603254,-0.230000004
217,217,1760084.643115346,5448237.502170621,-0.230000004
218,218,1756663.498743405,5448301.958633103,-0.5
219,219,1760070.406589843,5448226.718484254,-0.230000004
220,220,1758045.119550233,5448265.811629218,-0.230000004
221,221,1758084.080622246,5448280.786936673,-0.230000004
222,222,1758205.459123107,5448258.423463681,-0.230000004
223,223,1760042.744537039,5448208.862016469,-0.230000004
224,224,1756703.391521458,5448270.586780058,-0.5
225,225,1757473.404246943,5448253.326010555,-0.230000004
226,226,1758031.518098172,5448242.227255904,-0.230000004
227,227,1760022.673220557,5448178.990715328,-0.230000004
228,228,1757992.937115013,5448203.149639601,-0.230000004
229,229,1758016.613199898,5448213.606483332,-0.230000004
230,230,1760026.159040235,5448158.750877179,-0.230000004
231,231,1760640.695888415,5448157.432370176,0.057830189
232,232,1760010.853169568,5448149.107795084,-0.230000004
233,233,1759999.160013872,5448139.177803711,-0.230000004
234,234,1760610.37143851,5448125.992986212,-0.03797183
235,235,1760055.876658764,5448148.134292652,-0.230000004
236,236,1757867.544811378,5448168.269534929,-0.230000004
237,237,1760066.927687851,5448117.739690619,-0.230000004
238,238,1757968.970972459,5448157.987914848,-0.230000004
239,239,1760028.690053121,5448109.0140879,-0.230000004
240,240,1757442.343523732,5448155.220495289,-0.230000004
241,241,1757520.968963848,5448252.873376651,-0.228424566
242,242,1756803.973652118,5448163.275762675,0.19506192
243,243,1756784.360904166,5448149.120409681,-0.5
244,244,1757275.903617937,5448456.801809011,-0.215519035
245,245,1756436.762005993,5448136.398308454,-0.068264151
246,246,1756462.934551626,5448270.922634098,-0.491027682
247,247,1758357.212563829,5448095.873209199,-0.230000004
248,248,1757967.678910552,5448098.149497095,-0.230000004
249,249,1756443.88810308,5448116.706427336,-0.140339623
250,250,1756940.456746206,5448114.396497849,-0.262610235
251,251,1757277.727356736,5448103.608729883,-0.230000004
252,252,1760398.556737263,5448020.646165891,-0.212947366
253,253,1760634.322449524,5448052.613981658,0.019661017
254,254,1757235.550711744,5448079.779072262,-0.230000004
255,255,1757296.066257996,5448078.997848939,-0.230000004
256,256,1760434.289890318,5448012.88116971,0.111685392
257,257,1756541.403430151,5448074.294251228,-0.5
258,258,1757023.51410315,5448076.265370249,-0.230000004
259,259,1757116.817327984,5448097.579862549,-0.230000004
260,260,1757981.689577318,5448047.958350072,-0.230000004
261,261,1757992.791044659,5448032.739028411,-0.230000004
262,262,1757890.787219756,5448083.690386869,-0.229804279
263,263,1759173.417683468,5447997.960989056,-0.230000004
264,264,1756441.267837693,5448066.693207765,-0.5
265,265,1758614.903134378,5447989.928443219,-0.230000004
266,266,1759131.636116403,5447978.355699087,-0.230000004
267,267,1757404.285960658,5448010.777887679,-0.112999998
268,268,1758041.21971256,5447992.574576758,-0.230000004
269,269,1759120.111328619,5447968.979367128,-0.230000004
270,270,1759192.738706775,5447983.013515079,-0.230000004
271,271,1756964.045950038,5448063.08325879,-0.231806725
272,272,1757402.205783231,5448059.960761507,-0.220005361
273,273,1758519.959110964,5447962.053110976,-0.230000004
274,274,1758550.133611971,5447961.399196662,0.231832213
275,275,1759191.50176274,5447956.033300153,-9999.0
276,276,1759219.766854055,5447952.547914636,-0.229900001
277,277,1758666.546372791,5447961.883796623,-0.239266545
278,278,1758493.124280952,5447942.679025225,-0.230000004
279,279,1759100.363759459,5447929.51140778,-0.232891897
280,280,1759130.640073673,5447940.079516908,-0.220901522
281,281,1759253.449696585,5447937.944183921,-0.230000004
282,282,1756329.450644019,5447983.272686772,-0.5
283,283,1756909.3648956,5447966.215981772,-0.260800006
284,284,1758507.687999632,5447933.002889812,-0.160939399
285,285,1760153.058310696,5447897.639739857,-0.219342862
286,286,1756799.151404063,5447958.877463085,-0.491129634
287,287,1758473.941200715,5447928.127983473,-0.234947372
288,288,1759279.802547776,5447919.46392287,-0.230000004
289,289,1759313.175978893,5447936.761582235,-0.230000004
290,290,1758487.566330976,5447913.291931903,-0.107140635
291,291,1759075.368687312,5447912.227805925,-0.230000006
292,292,1759348.406837743,5447889.523685087,-0.230125003
293,293,1757921.430838695,5447953.585967605,-0.229732146
294,294,1759374.847162832,5447887.734920959,-0.227716274
295,295,1758227.653677522,5447888.767188721,-0.230000004
296,296,1758457.452761108,5447897.186949546,-0.175273477
297,297,1759009.383277037,5447883.971641152,-0.228134261
298,298,1759431.879788161,5447862.790676893,-0.237360907
299,299,1759965.519736145,5447842.51139629,-0.224843145
300,300,1758451.723460158,5447855.839203211,-0.218185184
301,301,1759827.162788305,5447825.926700659,-0.2326
302,302,1758420.494345739,5447828.207272999,-0.230999991
303,303,1758784.71140245,5447815.89494037,-0.230000004
304,304,1758713.362936845,5447845.103485719,-0.230002917
305,305,1758886.151622315,5447832.324474389,-0.230878888
306,306,1759764.903529255,5447787.4227147,-0.246333326
307,307,1757994.597888296,5447809.633729694,0.117644698
308,308,1758882.121788138,5447788.731929525,-0.255600002
309,309,1758214.693503176,5447793.921850677,-9999.0
310,310,1759606.791746969,5447761.795832953,-0.230033338
311,311,1758790.923384806,5447778.742626828,-0.382421415
312,312,1760079.234303462,5448438.086647592,-0.208657215
313,313,1758123.919058536,5447881.457360558,-0.224038341
314,314,1756148.541150784,5447806.279436878,-0.5
315,315,1756648.428684758,5447792.837479985,0.242771429
316,316,1756617.962739825,5447731.138575499,0.097361446
317,317,1756275.882239739,5447671.304774547,-0.5
318,318,1756161.668777489,5447623.855951518,-0.5
319,319,1755681.965018558,5447632.521242214,-0.150000006
320,320,1755765.945217252,5447617.471175444,-0.150000006
321,321,1755965.037740194,5447616.354031131,-0.5
322,322,1756183.872506223,5447603.426673227,-0.5
323,323,1755937.863923378,5447597.286673946,-0.5
324,324,1755979.734851568,5447602.014323405,-0.5
325,325,1756010.37521142,5447599.684949267,-0.5
326,326,1755830.709864933,5447586.262444499,-0.5
327,327,1755702.150076486,5447601.168147858,-0.150000006
328,328,1755991.538235053,5447583.118118199,-0.5
329,329,1755930.48309753,5447569.065256338,-0.5
330,330,1756016.007902456,5447517.210655703,-0.5
331,331,1756385.55655306,5447499.133393452,0.177657141
332,332,1756377.800248682,5447489.321600285,0.238410258
333,333,1755876.167360826,5447480.6585002,-0.5
334,334,1755980.398924774,5447458.2864607,-0.5
335,335,1755942.779046355,5447419.373067048,-0.5
336,336,1756120.847749937,5447415.717280842,-0.5
337,337,1756224.87137171,5447402.998892233,-0.5
338,338,1755960.963776774,5447398.653388049,-0.5
339,339,1756231.516476227,5447377.133416783,-0.5
340,340,1755934.070663903,5447384.507856615,-0.5
341,341,1756118.69388026,5447345.192475918,-0.5
342,342,1755825.282931566,5447487.201386771,-0.477444943
343,343,1756129.4563733,5447329.684525364,-0.5
344,344,1755820.843928913,5447212.065659457,-0.5
345,345,1755940.08684543,5447114.009458359,-0.5
346,346,1755928.441967707,5447099.135442507,-0.5
347,347,1755614.303418172,5447125.950871089,-0.5
348,348,1755527.840374547,5447088.386008738,-0.5
349,349,1755599.34516319,5447087.072901497,-0.5
350,350,1755656.259453478,5447076.260953645,-0.5
351,351,1755681.582700185,5447138.392072639,-0.5
352,352,1755544.849783716,5447008.41153683,-0.5
353,353,1755861.637128328,5447001.666944185,-0.5
354,354,1755461.925947849,5447004.978121059,-0.5
355,355,1755498.759802298,5447023.198256878,-0.5
356,356,1755673.161446731,5446995.288042367,-0.5
357,357,1756145.093204648,5446977.613984442,-0.254307691
358,358,1755601.34570878,5447042.83821731,-0.5
359,359,1756364.153046017,5447650.322764053,-0.42283792
360,360,1755393.317350716,5446972.241624047,-0.5
361,361,1755655.151155558,5446968.511342498,-0.5
362,362,1755352.786413954,5446959.558093977,-0.5
363,363,1755045.711492801,5446948.959959683,-0.5
364,364,1755439.715427876,5446967.95780747,-0.5
365,365,1755618.789788994,5446936.995472264,-0.5
366,366,1755559.830023255,5446958.972660401,-0.5
367,367,1755580.440860393,5446907.8786809,-0.5
368,368,1755358.283421879,5446903.00077573,-0.5
369,369,1754980.975071066,5446915.946142156,-0.5
370,370,1755097.255191289,5446888.729249552,-0.5
371,371,1755460.256481013,5446886.594111321,-0.5
372,372,1755164.759651991,5446876.800049316,-0.5
373,373,1755283.309772952,5446896.287745869,-0.5
374,374,1755140.048377347,5446872.995669087,-0.5
375,375,1754927.307976021,5446862.256088505,-0.5
376,376,1755194.505987185,5446856.213726603,-0.5
377,377,1755205.351710034,5446845.213503794,-0.5
378,378,1755277.260491675,5446844.479476554,-0.5
379,379,1754824.506786266,5446866.019779092,-0.5
380,380,1755356.800328635,5446833.189326864,-0.5
381,381,1755640.447531111,5446827.300810486,-0.5
382,382,1755865.353560733,5446821.990966722,-0.5
383,383,1755367.645783012,5446822.188860806,-0.5
384,384,1755736.708467077,5446804.776592332,-0.5
385,385,1755818.609716003,5446802.096514556,-0.5
386,386,1754903.005026488,5446817.599185621,-0.5
387,387,1756076.768228434,5446880.638559537,-0.5
388,388,1755034.84725515,5446799.735004733,-0.5
389,389,1755791.945305816,5447044.533311368,-0.5
390,390,1754700.024089884,5446786.011395017,-0.5
391,391,1754762.441645511,5446807.435262202,-0.5
392,392,1756012.148874306,5446757.274073505,-0.5
393,393,1754701.856642871,5446750.564831987,-0.5
394,394,1754613.673957038,5446714.776863272,-0.5
395,395,1754731.044054478,5446706.394252979,-0.5
396,396,1754639.670632624,5446701.299231938,-0.5
397,397,1754574.005833223,5446656.824011681,-0.5
398,398,1755952.633881697,5446691.0583817,-0.474145471
399,399,1754559.101296887,5446635.311677239,-0.5
400,400,1754535.714031947,5446596.867593819,-0.5
401,401,1755881.333693845,5446591.646257793,-0.5
402,402,1754579.430270911,5446599.710019904,-0.5
403,403,1755818.460142459,5446530.738797365,-0.5
404,404,1755828.124830459,5446499.862839186,-0.496894737
405,405,1754497.730258116,5446511.536230046,-0.5
406,406,1755774.773562818,5446491.356330621,-0.5
407,407,1755819.596395554,5446485.037116796,-0.459775001
408,408,1755745.509455522,5446453.73636819,-0.5
409,409,1755773.674328367,5446435.659196051,-0.488949152
410,410,1755757.101453331,5446417.947889403,-0.5
411,411,1755734.774171378,5446397.598428542,-0.499999992
