OID,FID_,X,Y,BCE_Opua_I
388,388,1697370.803982865,6095890.215871696,0.563720604
389,389,1695867.528180466,6095881.491426277,-0.785000026
390,390,1697362.236541849,6095860.555950453,1.638703199
391,391,1702740.472114552,6095803.365499657,-0.250846197
392,392,1695896.962946082,6095851.653495926,-0.277999999
393,393,1698473.035567986,6095782.226190612,-9999.0
394,394,1699551.443832618,6095761.140443671,0.866278046
395,395,1697357.147708767,6095789.697005699,-0.091363886
396,396,1696863.210554627,6095770.488160739,-0.86500001
397,397,1699348.970530511,6095749.647746714,-9999.0
398,398,1699412.748363251,6095796.461839453,-0.071162141
399,399,1695889.67039763,6095775.809151931,-0.168359001
400,400,1697377.725606018,6095754.869795299,0.364870125
401,401,1698529.799090256,6095742.476117837,-9999.0
402,402,1699420.338759557,6095732.706015266,-0.813666701
403,403,1699476.560503775,6095736.585122639,1.546000018
404,404,1697393.045076,6095743.179772604,4.294109008
405,405,1697401.411115412,6095733.778991181,3.263385239
406,406,1698562.261730348,6095722.193077547,-9999.0
407,407,1699526.330150017,6095711.608822112,-9999.0
408,408,1703153.800441346,6095670.673750562,1.72799558
409,409,1703170.192399165,6095670.673018147,3.480486414
410,410,1696901.633992541,6095733.631915407,-0.865662219
411,411,1703031.492398215,6095661.319243876,0.350030733
412,412,1703045.634400307,6095652.701274944,-9999.0
413,413,1703161.841465665,6095653.519088977,-0.142080033
414,414,1698602.78538043,6095691.857592422,-9999.0
415,415,1699684.236347527,6095790.13189528,-0.001474642
416,416,1698627.178636007,6095680.900163601,-9999.0
417,417,1698676.044111083,6095681.296704554,-9999.0
418,418,1699319.961275641,6095706.814371427,-9999.0
419,419,1703092.558385082,6095632.283575597,-9999.0
420,420,1698639.332689201,6095671.529613026,-9999.0
421,421,1703018.080121324,6095634.865196502,-0.199441904
422,422,1699455.20060526,6095696.152703057,0.138369284
423,423,1699817.481106655,6095650.369740813,-9999.0
424,424,1695889.807094185,6095671.281535185,-0.785000026
425,425,1699783.080552959,6095632.952337993,-9999.0
426,426,1703270.036370023,6095618.875222258,0.785810659
427,427,1703430.721763222,6095587.974812396,0.105362498
428,428,1695937.078575642,6095660.037107692,-0.785000026
