OID,FID_,X,Y,BCE_Tairua
226,226,1852000.560471617,5897057.060100707,0.611896439
227,227,1852570.32618817,5897003.484910378,0.050223302
228,228,1852563.481594503,5896987.148274029,-0.214377364
229,229,1852602.856118891,5896985.97170899,0.3125875
230,230,1851838.300842374,5897006.253391171,0.805390255
231,231,1852011.19228806,5896993.654502489,0.771812481
232,232,1851846.307841682,5896992.833596523,0.621999994
233,233,1851885.43409237,5896942.100303107,0.518999994
234,234,1851898.095831342,5896928.500860311,0.479960001
235,235,1851914.393801637,5896909.368144663,0.545428576
236,236,1851936.572916784,5896884.58330951,0.492336625
237,237,1851951.389451592,5896865.728474503,0.464462501
238,238,1851958.935016641,5896850.537157614,0.440335436
239,239,1851966.629389256,5896835.543098887,0.450243248
240,240,1851974.819634221,5896826.623997742,0.465479993
241,241,1852492.495147243,5896786.513262951,0.288586807
242,242,1852013.09981394,5896784.735147443,0.667739724
243,243,1851988.621395356,5896910.162277166,0.446825337
244,244,1852469.149290782,5896773.182265668,-0.014183333
245,245,1852059.837416347,5896752.942830732,-0.561607125
246,246,1852073.910746214,5896702.433691705,-0.556999981
247,247,1852066.20498239,5896692.68589383,-0.556199992
248,248,1852488.958202743,5896678.417508634,0.250077845
249,249,1852480.851446343,5896650.376381441,0.217575001
250,250,1852411.568527953,5896664.582169313,0.607618189
251,251,1852141.358036167,5896530.802315746,-0.55245002
