OID,FID_,X,Y,BCE_Tamaki
419,419,1767031.49068058,5911642.572937347,1.077658781
420,420,1767747.593272505,5911531.685213316,0.682118452
421,421,1767920.486112316,5911525.45417981,0.396540884
422,422,1767968.474583851,5911530.058821697,0.268878378
423,423,1766483.993049576,5911543.771765713,0.662958324
424,424,1766451.474370637,5911529.059396074,0.716588625
425,425,1766433.198859439,5911514.855915386,0.504157303
426,426,1767488.170263467,5911526.565673584,0.330515172
427,427,1768178.326189742,5911557.717128791,0.613635058
428,428,1766866.68639561,5911465.738629439,0.036153842
429,429,1766938.714886277,5911465.049735188,-0.886249994
430,430,1766839.924762449,5911461.048853029,0.172507042
431,431,1766946.520491863,5911454.925725978,-0.613625011
432,432,1768338.795396607,5911427.435333284,0.360878668
433,433,1765744.70506273,5911494.595530719,1.076003786
434,434,1767081.767659031,5911442.294676624,-0.641272749
435,435,1768366.748296405,5911413.306737515,0.485699377
436,436,1767107.246624683,5911428.973912717,0.584244605
437,437,1767233.988142997,5911419.356754633,0.001749996
438,438,1768409.692738282,5911395.532398551,0.536764705
439,439,1767249.794902316,5911409.074842032,0.16175
440,440,1765669.493818824,5911440.057975517,-0.002305295
441,441,1767257.016651947,5911398.962023839,0.353799999
442,442,1767863.905522016,5911465.930867102,1.000811011
443,443,1768416.507500394,5911372.530059157,0.521703703
444,444,1766662.156100498,5911511.998693369,0.672202346
445,445,1767824.534354244,5911357.851280448,3.403396278
446,446,1767837.604525232,5911361.77733386,0.896666686
447,447,1768424.835039005,5911347.717115209,3.963448256
448,448,1765432.344919133,5911384.763542997,1.070897417
449,449,1765424.088203501,5911375.049588623,-0.335375004
450,450,1767818.28553479,5911338.757007515,1.032135933
451,451,1765183.665527414,5911369.683821173,0.510897434
452,452,1765415.892576162,5911365.238832383,-0.907000008
453,453,1765151.206011338,5911364.841920282,0.510642205
454,454,1765199.659945655,5911359.47862913,0.446455696
455,455,1767217.6247928,5911313.792288298,0.398731343
456,456,1767223.592133842,5911289.743114314,0.680363637
457,457,1768438.325108425,5911321.453448595,1.160525948
458,458,1767194.451355196,5911287.332641152,0.839663605
459,459,1768198.918570316,5911379.590901386,0.829242852
460,460,1765334.131609105,5911277.097638488,0.252
461,461,1767198.004609544,5911245.016070222,0.589369373
462,462,1765901.253742602,5911216.181466212,-0.305249993
463,463,1765881.055730558,5911206.606320453,-0.259999998
464,464,1765856.857159755,5911197.108590551,-0.215625005
465,465,1765820.656544547,5911187.845192885,-0.31837501
466,466,1765988.119687613,5911203.98216066,0.072629038
467,467,1765796.45810782,5911178.347506252,-0.2919753
