OID,FID_,X,Y,BCE_Ohiwa_
337,337,1963339.857712273,5786025.889096442,-0.47376087
338,338,1962548.788444756,5786061.978461422,-0.726693929
339,339,1961486.195638898,5786084.445966295,0.089167884
340,340,1962630.868438669,5786037.449515749,0.257354019
341,341,1962645.190309234,5786016.826528172,0.21274
342,342,1962691.449735685,5786015.64179064,0.133813085
343,343,1963375.659442313,5785989.630864585,-0.726999998
344,344,1963173.03284795,5785963.574035919,-0.354833337
345,345,1963110.905730764,5785956.866995979,-0.207696206
346,346,1963835.213086376,5785913.873225296,-0.726999998
347,347,1963163.809047342,5785934.005405901,-0.135925919
348,348,1963171.412012661,5785923.465660014,-0.084922077
349,349,1962285.693132613,5785956.958515815,0.113251164
350,350,1963162.902564711,5785913.643211154,-0.173000005
351,351,1963944.363895179,5785879.024745096,-0.327282045
352,352,1965356.845427046,5785816.093667129,0.016472727
353,353,1963872.892790468,5785872.219862809,-0.726999998
354,354,1962286.203710194,5785932.847116766,0.101949581
355,355,1963982.932921978,5785857.317522829,0.856349999
356,356,1963891.732494034,5785851.393102248,-0.726999998
357,357,1959443.463374387,5786039.866433162,-0.085989478
358,358,1963343.2546627,5785875.841155834,-0.498071422
359,359,1963854.054531871,5785848.327996387,-0.53445632
360,360,1965408.442092218,5785768.312046601,0.346886139
361,361,1963365.819323011,5785849.853278332,-0.485456658
362,362,1963949.173392212,5785809.58644478,-0.726999998
363,363,1965420.452995404,5785747.30463161,0.388233218
364,364,1963906.022897648,5785805.912392843,-0.400656084
365,365,1963995.601323717,5785786.799804556,-0.726999998
366,366,1964319.006880263,5785772.570664419,-0.344867923
367,367,1965439.227738385,5785721.682996073,0.180553847
368,368,1963549.275027591,5785796.710260282,-0.726999998
369,369,1963806.867303899,5785810.209054489,-0.320624209
370,370,1964057.877330301,5785764.762949748,-0.726999998
371,371,1964641.67629551,5785738.166768651,-0.042672728
372,372,1963409.94409346,5785787.35641787,-0.726999998
373,373,1963962.651759426,5785772.713996372,-0.281848584
374,374,1964002.380446486,5785761.514286702,-0.305723044
375,375,1963776.252481899,5785751.927563024,-0.235140848
376,376,1964562.87346638,5785712.229593311,-0.362144661
377,377,1963495.181461369,5785749.155187277,-0.724836733
378,378,1963787.903156365,5785735.897745374,-0.012547171
379,379,1957221.528192965,5786016.3036208,-0.044602563
380,380,1963755.447048002,5785717.358778001,-0.690385965
381,381,1963921.890482954,5785712.068430052,0.248385094
382,382,1963507.594276996,5785708.629490923,-0.726999998
383,383,1957199.650208605,5785982.774770838,-0.169884621
384,384,1962641.088124189,5785737.412738358,-0.033945454
385,385,1963775.805316568,5785698.605580794,-0.051420478
386,386,1963734.006290294,5785683.546955116,-0.719270438
387,387,1962897.319762875,5785711.249101075,0.16016432
388,388,1964622.902743709,5785633.28255912,0.162675497
389,389,1959277.978434517,5785856.252588423,-0.648000002
390,390,1962868.546271407,5785692.113637111,0.207069799
391,391,1963760.737379,5785662.368602031,0.137523961
392,392,1961118.406502846,5785764.525821616,-0.18737221
393,393,1963390.446289332,5785643.897266659,-0.639863155
394,394,1961676.692058058,5785704.489156033,-0.185717609
395,395,1961106.779157907,5785720.326859874,-0.086742856
396,396,1961733.457637825,5785682.571772303,-0.070681529
397,397,1962076.256828509,5785665.980222656,-0.726999998
398,398,1963410.175437622,5785603.045809755,-0.485749998
399,399,1963709.897464898,5785589.895036857,-0.308357139
400,400,1961110.658076992,5785694.815323159,0.083642858
401,401,1961755.113232204,5785664.557613288,-0.090451391
