OID,FID_,X,Y,BCE_Mouter
451,451,1603416.053811534,5443725.179225712,0.210706669
452,452,1602912.348782787,5443717.087325634,-0.293888341
453,453,1602549.817056449,5443705.768517946,0.555714282
454,454,1602973.940819406,5443707.759353876,0.211222209
455,455,1603290.505522096,5443719.580037463,-0.101577736
456,456,1603428.547054487,5443705.964390188,0.038736842
457,457,1602707.062200287,5443702.557097156,-0.054269663
458,458,1601515.352883108,5443682.861467551,0.878142868
459,459,1602689.995087878,5443684.685336584,0.514224358
460,460,1603369.384736188,5443697.766714838,-0.244359292
461,461,1601520.567439786,5443675.959216842,0.967499988
462,462,1602731.450334665,5443681.367494697,-0.419627635
463,463,1603065.577080874,5443675.474170821,-9999.0
464,464,1603482.403438915,5443675.996376775,-0.272786519
465,465,1602514.181936579,5443675.651042719,0.93382033
466,466,1601596.979566879,5443657.572434182,0.079705883
467,467,1601904.778434739,5443656.129408323,1.031962264
468,468,1602994.368573701,5443656.140538376,-9999.0
469,469,1603065.568710129,5443655.529948647,-0.243000003
470,470,1602703.959830081,5443645.905160117,0.501962255
471,471,1601633.455943315,5443636.250902137,-0.638333335
472,472,1602696.267365641,5443635.731386025,0.147948048
473,473,1602950.440869646,5443635.633130619,-9999.0
474,474,1603155.847417922,5443635.751778464,-0.466020397
475,475,1603451.943618437,5443667.524508649,-0.562295526
476,476,1601656.063456455,5443626.273699289,0.681423078
477,477,1602625.0638107,5443626.366264334,0.65877227
478,478,1602685.385445053,5443625.097821494,-0.016401956
479,479,1603025.557585676,5443643.987713164,-9999.0
480,480,1602778.052886817,5443837.363150532,-0.532789176
481,481,1602982.649392817,5443614.947069949,-0.26787234
482,482,1603184.498669846,5443616.463805493,-0.005768467
483,483,1603371.438672491,5443622.02656398,-9999.0
484,484,1601590.028457921,5443606.673476784,0.720558137
485,485,1601609.303054266,5443602.90131312,3.094666666
486,486,1601675.449962904,5443606.701601977,0.674116508
487,487,1602993.950458856,5443605.699086927,-0.620809525
488,488,1601886.471092958,5443596.678034844,1.249067992
