OID,FID_,X,Y,BCE_Te_Pun
367,367,1697167.093754981,6109635.474028772,4.193126664
368,368,1697248.309186983,6109631.415354759,-0.952965498
369,369,1697380.001076121,6109625.672857104,0.24937037
370,370,1695004.744904426,6109654.606847805,0.312179915
371,371,1697196.856561407,6109623.506765391,3.728596592
372,372,1689402.039086764,6109687.120814573,1.588948901
373,373,1695015.108777267,6109630.230990042,0.104897438
374,374,1695035.468353687,6109629.905681522,-0.840765441
375,375,1697216.127288999,6109606.77767801,1.118374989
376,376,1697330.638545268,6109628.042186539,-0.181311273
377,377,1689377.273799585,6109677.320498164,2.312529067
378,378,1689368.857827518,6109667.624746433,2.092674981
379,379,1695023.535178639,6109616.754359692,-0.227645677
380,380,1697379.49221511,6109593.847851246,0.171808619
381,381,1695055.611321726,6109599.802800539,-0.803554205
382,382,1697225.579388353,6109582.525894541,0.735641475
383,383,1689384.860534242,6109647.743889708,1.182035105
384,384,1693206.255328792,6109609.046268996,-9999.0
385,385,1695558.733102155,6109584.548191058,-0.516745208
386,386,1696311.527436438,6109576.579794662,-0.412724554
387,387,1697395.883533692,6109565.196158419,-0.315428547
388,388,1695646.868309902,6109607.611703981,0.128373702
389,389,1696213.231054378,6109567.659849763,-0.077775003
390,390,1696261.108272628,6109588.167273081,-0.36107039
391,391,1696275.011495795,6109568.1838038,1.955533356
392,392,1697223.523269656,6109559.189095126,4.156524059
393,393,1689336.036595116,6109627.752273647,2.141968184
394,394,1689450.123765261,6109627.172626405,1.023087711
395,395,1693173.320184173,6109589.457274723,-0.561857189
396,396,1689328.216557374,6109617.566066558,2.193926455
397,397,1693189.515679152,6109579.406979731,2.420285689
398,398,1696294.897659777,6109557.42339806,0.576473964
399,399,1697271.625693906,6109545.110673442,1.631405279
400,400,1689433.562210844,6109607.408679263,1.233745488
401,401,1695043.582280132,6109580.157988622,1.324635918
402,402,1695510.182935547,6109560.738361845,-0.43290954
403,403,1696315.403223834,6109542.189180511,0.84539409
