OID,FID_,X,Y,BCE_Akaroa
346,346,1596608.186404618,5152063.904196463,-9999.0
347,347,1595573.42716528,5152053.693760091,-0.921352937
348,348,1595559.935838015,5152043.833058243,-9999.0
349,349,1593706.156305321,5152051.849772423,-0.011682552
350,350,1596372.365567568,5152035.014987371,-0.905586957
351,351,1597203.840773158,5152031.274473274,0.350439995
352,352,1593618.334512711,5152015.286438351,-0.226677748
353,353,1595519.788084347,5152013.662999525,-0.945000002
354,354,1596146.782542437,5152024.469614315,-9999.0
355,355,1597138.884998288,5152033.275689494,-0.098737334
356,356,1596463.577422079,5152022.725873092,-0.565793016
357,357,1596560.168828898,5152020.636578796,-0.654562914
358,358,1596622.819006142,5152003.116118823,-0.959390248
359,359,1596979.407068563,5152380.95610262,-0.615583247
360,360,1595501.78814073,5151994.516394651,-9999.0
361,361,1596197.667940887,5151997.713406489,-0.934199984
362,362,1596305.572732569,5152010.917527816,-0.403135169
363,363,1597146.267345242,5151990.39123878,0.227295358
364,364,1595480.615608823,5151973.561598342,-9999.0
365,365,1596929.719686682,5151982.560746145,-0.268420399
366,366,1593569.519561895,5151968.922145038,0.48479418
367,367,1597027.759392406,5151964.207656645,-0.046207729
368,368,1597079.262153152,5151959.499875346,0.082787611
369,369,1595458.698851245,5151940.542904801,-9999.0
370,370,1593502.840060537,5151914.845041936,0.81577996
371,371,1593471.556032056,5151902.461392811,0.296638307
372,372,1593451.104202867,5151893.922770631,0.106452392
373,373,1595443.530338089,5151889.833607615,-0.739277811
374,374,1593410.362597607,5151871.606700239,-0.114604837
375,375,1593394.183323358,5151854.915764019,-0.454704538
376,376,1595426.134910474,5151859.118113835,-0.553176459
377,377,1593356.265097927,5151830.295511758,-0.665346174
378,378,1593334.391445385,5151810.437341467,-0.471717284
379,379,1595418.470874869,5151806.836275684,-0.455958033
380,380,1593326.891923412,5151756.928298181,-0.27698913
381,381,1593357.511817468,5151763.970262333,-0.757182686
382,382,1595365.325589477,5151753.688711634,-0.753333333
383,383,1593334.43353627,5151697.075574998,-0.070785714
384,384,1593410.32290719,5151697.151066728,-0.964338731
385,385,1593457.326536965,5151672.255625559,-0.396454534
386,386,1595349.3936347,5151701.643316184,0.359319217
387,387,1595364.09585005,5151656.039121279,-0.137073528
388,388,1593507.953290002,5151637.386664302,-9999.0
389,389,1593515.228275177,5151588.601390876,-0.470247478
390,390,1593583.952481416,5151522.728083059,-9999.0
391,391,1593583.981646344,5151492.447223793,-0.445727284
392,392,1593690.783866996,5151513.283905949,-0.562399226
393,393,1593782.733760863,5151492.258963892,-9999.0
394,394,1595618.371109108,5151508.415395081,-0.282311208
395,395,1593598.963207439,5151484.191555951,-0.610185173
396,396,1593775.515066927,5151483.002978091,-9999.0
397,397,1593850.205808271,5151468.608018419,-0.603622205
