OID,FID_,X,Y,BCE_Akaroa
398,398,1595594.638743983,5151471.105148564,-9999.0
399,399,1595577.43071401,5151455.611148038,-0.618210547
400,400,1595553.463976262,5151444.520185235,-9999.0
401,401,1595545.367042774,5151388.29832583,0.049389836
402,402,1595551.833844606,5151356.339984311,0.266839614
403,403,1593941.831060337,5151386.952426583,-0.512206886
404,404,1593959.992810019,5151283.638524551,-0.19527866
405,405,1595562.502836071,5151272.701661675,-0.106569063
406,406,1593945.471285341,5151208.069587721,0.649529391
407,407,1595537.086697902,5151221.393097928,-0.451995053
408,408,1595486.354650785,5151162.114361021,-0.44696924
409,409,1593906.148805602,5151128.653105469,-9999.0
410,410,1595441.417811069,5151095.199811571,-0.058226359
411,411,1593907.999297034,5151055.421714493,-9999.0
412,412,1593913.253646391,5151024.201249483,-9999.0
413,413,1593907.100496164,5151014.573168957,-9999.0
414,414,1595533.800424618,5151004.659943323,-0.59635716
415,415,1595553.617951872,5150995.360306518,-9999.0
416,416,1593933.123465497,5150951.741282541,-9999.0
417,417,1593949.478420736,5150924.467036553,-9999.0
418,418,1593969.375307352,5150907.953364039,-9999.0
419,419,1593976.065404234,5150871.286516237,-9999.0
420,420,1593978.858638023,5150830.648734189,-9999.0
421,421,1594021.733914644,5150775.089277492,-9999.0
422,422,1593457.90000028,5150763.70205069,-0.679857171
423,423,1593321.096107021,5150744.379417495,0.47158904
424,424,1593366.895795026,5150749.285273808,-0.533274179
425,425,1595732.309084071,5150740.010562571,-0.781089564
426,426,1593508.59567879,5150714.178286972,3.090069763
427,427,1593364.352651529,5150684.468349011,-9999.0
428,428,1594003.760444658,5150690.379721795,-9999.0
429,429,1595777.578205647,5150685.344394556,-0.932999998
430,430,1593379.073282688,5150669.751512239,-0.413624968
431,431,1593973.631919187,5150671.541467569,-0.553270475
432,432,1593393.288184981,5150654.566931755,1.025999972
433,433,1593573.497474618,5150654.002152879,1.772017524
434,434,1593404.137707943,5150644.600954503,-9999.0
435,435,1593609.50193553,5150633.629645957,2.574365871
436,436,1595808.317304535,5150650.515047074,-0.660386795
437,437,1593618.584826075,5150614.34682237,0.445743127
438,438,1593860.351978416,5150622.3472447,-9999.0
439,439,1595841.246705179,5150614.580733116,0.019999988
440,440,1593423.080041043,5150604.871219448,-9999.0
441,441,1593831.258438839,5150599.758753886,-0.303720019
442,442,1595846.961787503,5150594.844893975,-0.017500021
443,443,1597093.249701327,5150587.372587164,-0.099685715
444,444,1593775.697501497,5150580.811585991,-0.530629827
445,445,1593556.359861107,5150555.543989883,-9999.0
446,446,1595834.482503393,5150557.701510387,-9999.0
447,447,1593465.66503918,5150539.905956417,-0.371000037
448,448,1596927.224674918,5150535.257690386,-0.349938779
