OID,FID_,X,Y,BCE_Raglan
489,489,1768058.454110422,5817950.621162516,0.168763635
490,490,1768042.236832239,5817931.734356853,0.174675001
491,491,1769730.076304527,5817905.064222854,0.716141702
492,492,1769727.146976641,5817887.452426767,0.819652775
493,493,1769759.78410342,5817887.438597023,2.984779652
494,494,1769768.342870078,5817867.358148803,5.294428553
495,495,1769774.735497566,5817856.938093699,4.321400034
496,496,1769782.800992338,5817847.92443839,3.369162798
497,497,1767978.735042816,5817862.471513175,5.028368448
498,498,1769821.371094939,5817827.395508852,3.033173903
499,499,1769852.768305255,5817824.060527301,0.925099998
500,500,1769662.635382555,5817808.970276051,0.326019234
501,501,1769892.375786096,5817805.705772826,2.967124991
502,502,1767961.824030937,5817832.177210411,-9999.0
503,503,1769654.189571839,5817798.756500259,0.207072727
504,504,1769908.4282011,5817795.414038511,-9999.0
505,505,1769542.807315039,5817771.549037895,-0.024425924
506,506,1769598.51411096,5817770.401679535,0.472056603
507,507,1767896.965425093,5817795.087783914,0.624675001
508,508,1767938.150755787,5817796.242448184,-0.091159383
509,509,1769550.514714643,5817756.375056838,0.968766238
510,510,1769578.835364962,5817765.458075322,1.673150326
511,511,1767833.361113577,5817781.425954277,0.394383113
512,512,1767857.589471342,5817776.462367199,0.120294393
513,513,1767896.57373411,5817775.878625533,-0.117219997
514,514,1769606.14926482,5817741.044119876,3.502947374
515,515,1769621.456712288,5817739.077730656,0.784279975
516,516,1769614.351765796,5817731.966215942,4.114750028
517,517,1769629.178797384,5817729.673329408,0.862975005
518,518,1773015.350411579,5817649.464198173,0.711962269
519,519,1767787.620386261,5817737.882391136,0.528260863
520,520,1773022.844025222,5817629.361788008,0.742636368
521,521,1772895.407510929,5817592.148398499,1.008301869
522,522,1769413.004332597,5817655.559477277,5.84800005
523,523,1769524.981430059,5817657.617495072,2.232547312
524,524,1772808.161692776,5817584.007215416,0.794666668
525,525,1769532.382640385,5817641.916604763,3.407161274
526,526,1769366.018128271,5817635.367290528,0.73695
527,527,1769540.324988911,5817632.158373536,3.366452064
528,528,1772950.661725359,5817561.767772075,1.305999991
529,529,1773108.414329845,5817557.756027288,0.834999988
530,530,1769418.348698048,5817670.987675667,1.071981131
531,531,1769944.613843753,5817614.875544569,1.342975593
532,532,1772966.419353075,5817552.522600428,1.238660028
533,533,1769349.783674352,5817615.756566793,0.826925006
