OID,FID_,X,Y,BCE_New_Ri
494,494,1245267.609886355,4842048.360991205,0.331024153
495,495,1239274.245049188,4841805.468607146,0.589827586
496,496,1245082.64002578,4842017.486113175,0.523671436
497,497,1245158.540365153,4842020.479432395,-0.243253874
498,498,1245093.599452286,4841978.63603818,0.636493315
499,499,1245180.912627932,4841993.206149839,-0.220912409
500,500,1245258.793338265,4842002.089661484,0.48786624
501,501,1245561.273007976,4841995.18464891,0.164385718
502,502,1245592.811443567,4842020.719050665,0.483611767
503,503,1245266.433468759,4841969.967781556,0.641708024
504,504,1245279.417072834,4841957.971608201,0.753240743
505,505,1245659.759207043,4841980.579961486,0.14256471
506,506,1245203.554394751,4841960.964909373,-0.185834319
507,507,1245225.329865691,4841945.940771376,-0.017916665
508,508,1245300.676292829,4841949.012255187,0.276235291
509,509,1245614.677426764,4841982.002853306,-0.211276622
510,510,1245684.011286891,4841967.640013265,-9999.0
511,511,1245218.851038671,4841936.074645245,-0.216272722
512,512,1245122.127765288,4841920.166321853,0.438724995
513,513,1245244.522085001,4841917.40756679,-0.13446808
514,514,1245673.547487547,4841950.788426517,-0.004797156
515,515,1245255.11883595,4841907.427686858,-0.129544119
516,516,1245271.643152074,4841895.819581343,-0.072285018
517,517,1245158.896364743,4841896.778603652,0.546664253
518,518,1239311.358200695,4841611.057704009,0.420258334
519,519,1239345.00726511,4841510.216360331,0.507666672
520,520,1245153.872935367,4841851.407335031,0.540805548
521,521,1244600.265285809,4841808.91351358,-0.36556522
522,522,1245162.115278366,4841841.888233023,0.653602945
523,523,1245299.628598747,4841862.384514073,-0.259485722
524,524,1245352.025904041,4841853.608923412,-0.235757895
525,525,1245387.073221922,4841838.465559978,-0.324697166
526,526,1245415.49598187,4841826.698879232,-0.294404412
527,527,1245367.218863876,4841821.990529501,0.213908772
528,528,1245400.02424205,4841806.118692395,0.289744791
529,529,1245433.829200285,4841813.360762097,-0.216893008
530,530,1245551.679632193,4841804.634965589,0.175507243
