OID,FID_,X,Y,BCE_Waihi_
101,101,1905914.180030078,5814142.798475525,0.240774997
102,102,1906169.715982419,5814138.258374568,0.213924052
103,103,1906890.258785593,5814096.473927734,0.178209303
104,104,1906773.034102529,5814103.538159304,0.414856726
105,105,1905896.20299982,5814127.102340344,0.19372842
106,106,1906884.22330589,5814070.626492888,0.181610172
107,107,1906078.631914113,5814066.883679365,0.365833337
108,108,1906145.886956755,5814079.88507716,0.345709362
109,109,1906140.014764256,5814034.550727149,0.334632912
110,110,1906636.902654587,5814053.417674835,0.20272393
111,111,1906131.821443007,5814019.877982568,0.720631577
112,112,1906168.542664937,5814020.176267034,0.227936443
113,113,1906724.599920246,5813982.100172231,0.128686274
114,114,1906130.615889066,5813994.960288391,0.731230772
115,115,1906288.548668775,5813979.098761525,0.224424889
116,116,1906194.294585653,5813984.932580304,0.244466667
117,117,1906224.267615773,5813973.976238963,0.244136508
118,118,1906311.280618772,5813963.736550295,0.221651163
119,119,1907661.559152717,5813907.087893442,0.189
120,120,1906109.156162957,5813967.693754289,0.547951807
121,121,1906259.608489375,5813956.57488805,0.585131131
122,122,1905937.110298687,5814133.792165514,0.260998039
123,123,1906469.112523441,5813932.436498113,0.187025318
124,124,1906520.623317281,5813921.11798776,0.109886794
125,125,1906729.693526361,5813905.653324548,0.035
126,126,1906394.67666978,5813933.442385118,0.640255907
127,127,1906135.749116241,5813919.881704197,0.389799998
128,128,1906157.821913052,5813893.301216721,0.470199998
129,129,1906141.994990394,5813874.716766377,0.37435
130,130,1906157.546945084,5813859.160662315,0.471374999
131,131,1906516.5538837,5813856.787224149,0.080973189
132,132,1906543.896127175,5813841.366417321,0.28372806
133,133,1906140.696684237,5813839.817496753,0.37506329
134,134,1906573.866492871,5813824.800889336,0.076903768
135,135,1906156.434049816,5813829.246998263,0.424687499
136,136,1906486.431573661,5813820.872764018,0.423178124
137,137,1906607.127108744,5813807.47450973,0.08479747
138,138,1906311.625434019,5813874.788325221,0.308403897
139,139,1906590.232589273,5813810.568302405,0.075000003
140,140,1906440.539928588,5813803.694506645,0.535563031
141,141,1905832.606427617,5813878.207197895,0.293344249
142,142,1905979.986126976,5813780.892106252,0.104000002
143,143,1905940.040579804,5813772.392300951,0.522462504
144,144,1905999.402992959,5813770.18504101,0.123051283
145,145,1906162.030603786,5813774.120961555,0.900510096
146,146,1906609.455713659,5813743.33470633,0.074841466
147,147,1905921.987420268,5813762.697801435,0.537867799
148,148,1906028.620521988,5813756.617072379,0.141610065
149,149,1905753.11292271,5813754.377352471,0.313936912
150,150,1906049.737458692,5813738.358210076,0.175325
151,151,1906204.486042909,5813748.350232526,0.141249412
152,152,1906521.265500261,5813716.494622791,0.075000003
153,153,1906072.740497321,5813717.532622959,0.227392406
154,154,1906095.537199138,5813706.69965142,0.29984616
155,155,1906151.518664993,5813704.61651116,0.533402599
156,156,1906127.032047693,5813685.55801023,0.318316456
