OID,FID_,X,Y,BCE_Whitfo
193,193,1774821.727339651,5911976.918347066,0.644192952
194,194,1777642.691258157,5911905.938784244,1.063375001
195,195,1777905.912707424,5911884.906728009,1.778918917
196,196,1777514.013306852,5911877.988889058,1.149411805
197,197,1777505.817832387,5911868.91605186,1.149499948
198,198,1777947.304441,5911928.763926035,1.4705689
199,199,1774705.731995055,5911944.502795092,2.103118455
200,200,1772745.924663799,5912370.398154446,0.861721058
201,201,1775044.639790164,5911710.814519856,0.683214293
202,202,1777429.423538801,5911661.117028545,0.963375001
203,203,1777551.442974663,5912327.755558136,0.999834152
204,204,1777492.542574645,5911643.767376783,1.220147776
205,205,1777466.645598414,5911634.112278015,1.281176507
206,206,1774998.558783104,5911673.864674439,0.800609312
207,207,1774979.44545766,5911647.14513532,0.880312479
208,208,1774971.51346493,5911622.380949531,0.924313744
209,209,1774978.726621626,5911612.261187822,0.948624974
210,210,1774914.505370937,5911603.61339571,0.880999987
211,211,1774957.599361584,5911602.725544577,0.94807409
212,212,1774886.234360743,5911568.446160172,0.464221747
213,213,1774875.862744773,5911541.259370867,0.706932767
214,214,1774776.673136376,5911526.884510156,0.738245617
215,215,1774856.849511718,5911525.032527139,0.793749987
216,216,1774848.64236521,5911515.230490827,0.898249999
217,217,1774685.313515102,5911687.384233542,0.855793244
218,218,1774759.975984263,5911511.505624277,1.089636361
219,219,1774832.433457648,5911505.593099311,0.78341773
220,220,1774728.545152998,5911504.732624161,1.168132304
221,221,1774650.04390714,5911492.820124454,1.124005515
222,222,1774772.442914524,5911487.470414138,0.906981121
223,223,1774808.017308055,5911486.153840096,0.745875011
224,224,1774615.56265578,5911470.171880537,0.986124989
225,225,1774794.407292334,5911473.139309191,0.770759488
226,226,1774767.407491093,5911457.803750596,0.816078435
227,227,1774783.396203089,5911456.747576036,0.833374991
228,228,1774606.963659873,5911457.052945149,1.168684224
229,229,1774630.998996991,5911450.113578039,0.93446428
230,230,1774871.497702401,5911450.585834871,1.02244093
231,231,1774718.971328362,5911438.131467459,1.029625008
232,232,1774741.731582353,5911445.387886794,1.243392841
233,233,1775159.654848221,5911429.051633751,0.852745078
234,234,1775158.660152317,5911409.13001589,0.796624994
235,235,1774855.032205351,5911410.967460187,0.871363629
236,236,1774838.343259343,5911395.991234996,0.821929813
237,237,1774688.673742098,5911406.374966102,0.801339624
238,238,1774829.970755131,5911385.991162426,0.79099999
239,239,1775139.896994894,5911383.481510212,0.90089744
240,240,1775125.845614556,5911370.649698887,1.286470583
241,241,1775141.595218922,5911329.71348992,0.955094346
242,242,1775156.431756859,5911329.407421597,0.872692304
243,243,1774789.087092608,5911346.938381434,0.718458986
244,244,1775124.81451876,5911321.474426084,1.360178581
245,245,1775172.978678928,5911319.296205611,0.858363629
246,246,1775099.301980314,5911312.982989863,1.199312018
247,247,1775192.573005174,5911303.96471202,0.954018976
248,248,1775081.373275562,5911284.423923242,1.051416619
249,249,1775244.005620242,5911277.744913966,0.937750003
250,250,1774531.817071504,5911282.645439229,0.817777778
251,251,1775055.76060524,5911271.657304049,1.037987392
252,252,1775251.816570494,5911268.339663984,0.927499982
253,253,1774508.40271411,5911267.806912543,1.091957549
254,254,1774470.371976888,5911249.136410521,0.724579702
255,255,1774859.675128944,5911239.827820844,0.643872667
256,256,1775250.821289775,5911227.950073974,0.860892872
257,257,1774450.610849449,5911234.258045341,0.907624997
258,258,1774803.367841508,5911220.971347033,0.66048738
259,259,1774418.194875076,5911214.982012642,0.834875004
260,260,1774479.987144389,5911338.946863853,0.925632067
261,261,1774766.264377048,5911207.82409687,0.580312503
262,262,1775033.734606301,5911202.313973467,0.944727265
263,263,1775587.026855394,5911129.844693174,0.698606492
264,264,1775619.062870708,5911104.474775862,0.83997487
265,265,1775608.344159002,5911075.187309119,0.84773381
266,266,1775583.749293577,5911061.332344838,0.780625011
267,267,1775567.540270828,5911051.696192363,0.768000006
268,268,1775559.332619851,5911041.894848246,0.668500004
