OID,FID_,X,Y,BCE_Waimea
403,403,1608078.809770459,5431455.475160236,1.165803916
404,404,1608732.455994898,5431469.484184086,-0.858730775
405,405,1608564.249081991,5431445.152147075,-9999.0
406,406,1608946.205880381,5431435.489437332,0.540951449
407,407,1608964.517391253,5431430.41268858,0.747368706
408,408,1608756.345717943,5431419.992702469,-9999.0
409,409,1607512.10811033,5431413.073480711,-0.888027274
410,410,1608372.323845831,5431390.527778107,-0.466015623
411,411,1608409.955112798,5431400.456711275,-0.921366309
412,412,1608430.068875386,5431911.142166751,-0.575729636
413,413,1608631.033977997,5431410.850893266,-0.856161002
414,414,1608711.604161568,5431382.237290789,0.445157791
415,415,1608787.069581854,5431382.656565153,-9999.0
416,416,1607405.868529676,5431367.225990604,-0.132339999
417,417,1607569.436220382,5431383.070396061,-0.934485653
418,418,1609004.055309981,5431382.117590393,1.152312743
419,419,1609908.67867868,5431485.842995345,-0.108264395
420,420,1607616.527921923,5431357.036196,-0.97277779
421,421,1607375.037337183,5431352.026154484,0.132597012
422,422,1609974.800441741,5431344.493473678,0.198492748
423,423,1608590.459467892,5431340.411898891,0.08116521
424,424,1608630.326468464,5431339.663539791,0.074716667
425,425,1608654.450264686,5431356.191650189,0.028589945
426,426,1608767.662497108,5431335.79542367,0.284169996
427,427,1608797.773889785,5431324.540214249,-0.840243259
428,428,1608966.483762829,5431324.795213653,-9999.0
429,429,1607717.50940788,5431316.663959923,0.685259281
430,430,1608767.638462276,5431315.850811532,0.587207925
431,431,1608688.076838642,5431305.597377974,0.119000003
432,432,1609200.286823352,5431302.095017332,0.527894738
433,433,1607725.169027537,5431301.492849481,0.856717092
434,434,1608429.041143511,5431296.306330545,-0.071257429
435,435,1608546.629336158,5431360.632712864,-0.796609418
436,436,1608963.261702854,5431301.806357506,-9999.0
437,437,1607740.200823656,5431286.518393716,0.972174977
438,438,1607755.248502735,5431286.502369329,1.015194428
439,439,1608587.804291739,5431298.681903159,-0.498045821
440,440,1609177.102633228,5431285.052327832,0.44511765
441,441,1608549.001870898,5431275.640651985,-0.465822045
442,442,1608785.850900528,5431275.563000627,0.433509435
443,443,1608823.306239089,5431311.678859741,-9999.0
444,444,1608567.251089148,5431265.646866115,-0.855102052
445,445,1608628.476247543,5431266.467187069,0.574898295
446,446,1609216.333038473,5431269.258665632,-0.214586809
447,447,1607755.221927938,5431261.571598859,1.214323148
448,448,1608712.142341364,5431316.370148825,0.529849971
449,449,1608948.137787629,5431255.797124986,-9999.0
450,450,1609380.194892509,5431244.904022548,0.1315
451,451,1607774.010150846,5431241.606915893,1.283256256
452,452,1608567.215860166,5431235.729944665,-0.486804365
453,453,1608669.018632069,5431240.903900023,-0.085050014
454,454,1608961.859251988,5431360.936079296,-0.310185705
455,455,1607529.319758696,5431227.110293846,-0.21913462
456,456,1608830.933356994,5431225.646809539,-9999.0
457,457,1609146.932046489,5431225.256382883,-9999.0
458,458,1609515.748770557,5431224.578822607,0.736504349
459,459,1608590.464373479,5431215.962398897,0.130239996
460,460,1608639.614225906,5431216.280754683,-0.775702966
461,461,1608807.722664782,5431227.590202711,0.621047617
462,462,1607529.299117823,5431207.165679415,-0.263403848
463,463,1607928.361499218,5431206.33271964,1.124115389
464,464,1608695.074370865,5431209.472318132,0.622307037
465,465,1607792.776907367,5431201.697559089,1.133353706
466,466,1608608.672740853,5431196.457190195,0.139634621
467,467,1608892.938449439,5431232.276413007,-0.850672361
468,468,1608998.935900576,5431207.740929752,-9999.0
469,469,1608650.315251262,5431185.974516606,-0.03962745
470,470,1609018.965495416,5431175.145504884,-0.934000015
471,471,1609467.79492159,5431172.743854959,1.255857127
472,472,1608955.551117881,5431166.037095828,0.373386141
473,473,1607815.305312657,5431161.784115798,1.172365227
474,474,1607529.237194757,5431147.331832375,-0.044826923
475,475,1608868.454998793,5431145.822583402,-0.940875016
476,476,1608970.505536508,5431150.170727101,0.476159203
477,477,1609093.016145561,5431167.840563485,-0.880269882
478,478,1609470.350669916,5431145.063972096,0.511520001
479,479,1608631.995800781,5431136.511218688,-9999.0
480,480,1608659.645893756,5431135.286556961,-0.315066055
481,481,1609119.775806949,5431135.335037478,-0.960222217
