OID,FID_,X,Y,BCE_Mouter
174,174,1603340.694687805,5443096.342322958,2.351000024
175,175,1602649.486475055,5443070.959155011,1.391777642
176,176,1602688.004356184,5443021.879498962,1.439698111
177,177,1602729.51745527,5442999.671721633,1.389761191
178,178,1603577.763801095,5442986.949933398,1.35834246
179,179,1602300.016868223,5442977.106459474,1.007649988
180,180,1602767.358065835,5442960.924786762,1.369521969
181,181,1603636.111630243,5442921.907755933,0.892724554
182,182,1602298.666351542,5442897.930587086,0.938705868
183,183,1603544.976941444,5442885.399631713,0.204163563
184,184,1602287.940176381,5442826.224054456,1.128144083
185,185,1602522.619177853,5442748.274779662,2.909285713
186,186,1602597.083733471,5442788.086088827,0.645843409
187,187,1603273.41364888,5442626.158387913,1.460184208
188,188,1602672.915700499,5442608.980436211,0.995831771
189,189,1602740.915655898,5442519.041649111,1.045000019
190,190,1603258.6881114,5442452.05728647,1.424948244
191,191,1602267.409359237,5442703.94395359,1.128920129
192,192,1602758.402350131,5442458.643616832,1.083999952
193,193,1603829.541450856,5442430.255934736,3.08573741
194,194,1603111.19709392,5442375.136151915,1.363047481
195,195,1603117.990861229,5442339.423685068,1.207346687
196,196,1603125.325476121,5442329.253288217,1.293914243
197,197,1603861.339601748,5442340.783675176,2.197477964
198,198,1602823.562752322,5442349.700754616,0.944816668
199,199,1603046.230413706,5442297.888060327,1.36606543
200,200,1603133.438870355,5442310.938687818,1.367811095
201,201,1604153.855409959,5442298.171801286,1.357954921
202,202,1604179.313312083,5442297.966731603,1.393677583
203,203,1603125.593445737,5442288.757748697,1.846428555
204,204,1603914.441837235,5442298.758986108,3.159982531
205,205,1604025.118695768,5442292.134125317,2.841023605
206,206,1604129.605871794,5442295.480830004,1.536749992
207,207,1602902.049929589,5442213.155173624,0.766250022
208,208,1602909.123120587,5442202.439598071,0.83171429
209,209,1603218.459661141,5441874.74599801,0.900000036
210,210,1603241.872762163,5441855.479372508,-9999.0
211,211,1603256.221571273,5441844.948270117,1.015333295
212,212,1603284.439146318,5441830.529338787,1.097123277
213,213,1603341.335297938,5441731.998679142,2.080473115
214,214,1603366.223767554,5441709.527147202,2.847681853
215,215,1604063.500103515,5441647.057423751,1.222000003
216,216,1603337.34099723,5441666.742765067,0.898956293
217,217,1603524.13449757,5441531.577829663,3.042083323
218,218,1603434.162832569,5441485.852193946,0.907715546
219,219,1603705.518393585,5441332.373989895,0.685048771
220,220,1603747.713269793,5441287.830056179,1.019199008
