OID,FID_,X,Y,BCE_Pareng
1779,1779,1595609.420699862,6177627.948324102,-0.745000005
1780,1780,1595452.47839013,6177617.911445836,-0.378709094
1781,1781,1595601.013900264,6177617.778827677,-0.745000005
1782,1782,1588049.097195636,6177604.917901218,-0.35438459
1783,1783,1589394.532578854,6177602.999795353,-0.401743376
1784,1784,1590795.60167095,6177603.564336326,-0.047018181
1785,1785,1589386.132536202,6177592.824686214,-0.385304839
1786,1786,1590534.778223455,6177620.510949944,-0.628664872
1787,1787,1590727.013653488,6177622.849241719,-0.119488906
1788,1788,1590893.966536633,6177598.839733033,-0.189855854
1789,1789,1595609.263552519,6177602.840896277,-0.745000005
1790,1790,1589052.320538126,6177582.475250915,-0.654999971
1791,1791,1589110.662474602,6177586.90376195,-0.12766666
1792,1792,1590865.677521195,6177589.419740144,-0.121788233
1793,1793,1590999.44188408,6177602.392630723,-0.635666639
1794,1794,1595468.594416981,6177592.24290416,-0.412754385
1795,1795,1589407.420140333,6177584.416382031,-0.471242381
1796,1796,1590448.184706097,6177577.715669991,-0.654999971
1797,1797,1590926.405104402,6177594.008414354,-0.362295321
1798,1798,1589052.344062484,6177562.552782075,-0.654999971
1799,1799,1589084.782363432,6177571.776622868,-0.352341211
1800,1800,1591960.103147629,6177565.530280573,-0.654999971
1801,1801,1588485.962135251,6177552.151510934,-0.465398707
1802,1802,1588580.614673767,6177600.338821532,-0.646433253
1803,1803,1590190.254691328,6177554.446584475,-0.654999971
1804,1804,1588694.882546792,6177544.958274824,-0.509404635
1805,1805,1590222.804007799,6177545.144951305,-0.654999971
1806,1806,1595624.85726603,6177541.437169692,-0.745000005
1807,1807,1588573.854278509,6177522.79597417,-0.316486723
1808,1808,1588652.629757016,6177522.227185125,-0.654999971
1809,1809,1588673.229928131,6177527.233000487,-0.654999971
1810,1810,1589012.546904552,6177526.786399961,-0.538142826
1811,1811,1588564.716511486,6177516.664364757,-0.232999995
1812,1812,1589463.380162596,6177515.358649977,-0.447926004
1813,1813,1591014.546038963,6177515.43713057,-0.0479823
1814,1814,1591051.207876321,6177514.163396238,-0.061384614
1815,1815,1595510.224663876,6177518.327285097,-0.745000005
1816,1816,1588985.249667678,6177513.270949446,-0.528472945
1817,1817,1590212.245670187,6177509.191873965,-0.654999971
1818,1818,1588627.926629623,6177502.274469336,-0.467133313
1819,1819,1589534.44192441,6177493.585063591,-0.654999971
1820,1820,1589514.446248834,6177483.978171578,-0.65383183
1821,1821,1589793.317670176,6177483.708136776,-0.654999971
1822,1822,1590189.638737082,6177488.688584247,-0.654999971
1823,1823,1590948.873311354,6177536.071450221,-0.05284935
1824,1824,1591933.175326975,6177490.797604153,-0.654999971
1825,1825,1590139.481366359,6177478.407318923,-0.654999971
1826,1826,1590215.06638,6177474.78284513,-0.654999971
1827,1827,1590107.489738637,6177469.106828131,-0.654999971
1828,1828,1590250.589247264,6177497.847577492,-0.58733728
1829,1829,1591016.124540474,6177475.15195914,-0.544923635
1830,1830,1591841.927737229,6177465.814656652,-0.273107158
1831,1831,1595691.582542038,6177468.607180924,-0.745000005
1832,1832,1589509.923214023,6177458.488698759,-0.493168079
1833,1833,1589748.103417918,6177463.574438398,-0.649210252
1834,1834,1589975.626284935,6177454.371084869,-0.654999971
1835,1835,1591183.582341683,6177446.126822419,-0.459370277
1836,1836,1594783.120339327,6177450.99773718,-0.595000029
1837,1837,1590200.041789767,6177433.787336513,-0.654999971
1838,1838,1591078.241000599,6177437.551893489,-0.422602664
1839,1839,1591909.090781876,6177459.675321781,-0.654999971
1840,1840,1595715.629128709,6177430.686523863,-0.745000005
1841,1841,1589963.147667759,6177404.407865753,-0.47833928
1842,1842,1589684.595846421,6177402.348669508,-0.632396914
1843,1843,1591364.96731771,6177403.436307245,-0.0371875
1844,1844,1594806.158362149,6177398.801743618,-0.595000029
1845,1845,1595730.533659808,6177404.37654826,-0.745000005
1846,1846,1590111.594368586,6177366.10765046,-0.399772861
1847,1847,1591900.314239851,6177366.253442592,-0.654999971
1848,1848,1594513.874181781,6177377.487654673,-0.595000029
1849,1849,1594826.187099328,6177358.591056611,-0.595000029
1850,1850,1591888.447377408,6177357.777311845,-0.654999971
1851,1851,1591250.357852303,6177384.778878233,-0.118196995
1852,1852,1589548.580856888,6177319.183844454,-0.331915748
1853,1853,1591900.188544314,6177316.651405351,-0.654999971
1854,1854,1595719.301950956,6177308.633509035,-0.745000005
1855,1855,1595757.595023954,6177309.257899935,-0.745000005
1856,1856,1595914.198757415,6177309.328242053,-0.745000005
1857,1857,1596169.877163674,6177314.21373244,-0.745000005
1858,1858,1595889.092741142,6177303.563168657,-0.745000005
1859,1859,1589685.545045185,6177294.722354624,-0.654999971
