OID,FID_,X,Y,BCE_Rangau
167,167,1625108.246387974,6136593.328056617,-9999.0
168,168,1625240.43962214,6136592.879834393,-9999.0
169,169,1626642.455502511,6136604.752898199,-9999.0
170,170,1628345.781697496,6136573.443434944,-9999.0
171,171,1628370.399684132,6136573.367094106,-9999.0
172,172,1628399.718855228,6136573.65225424,-9999.0
173,173,1628497.42281351,6136578.0568974,-9999.0
174,174,1628174.116762623,6136571.659328369,-9999.0
175,175,1628386.749828656,6136553.392397479,-9999.0
176,176,1628514.125667508,6136557.77280628,-9999.0
177,177,1628198.149285529,6136543.80962677,-9999.0
178,178,1628538.666980179,6136533.139901306,-9999.0
179,179,1625091.585544248,6136556.799788394,-9999.0
180,180,1625260.191450322,6136532.677440636,-9999.0
181,181,1626761.879240356,6136528.406029478,-9999.0
182,182,1628616.422415249,6136522.382027704,-9999.0
183,183,1626342.661325235,6136546.151101281,-9999.0
184,184,1628350.297576216,6136514.033728803,-9999.0
185,185,1628194.479661458,6136517.451124545,-9999.0
186,186,1628369.755276216,6136487.918854035,-9999.0
187,187,1628119.969573214,6136484.283908324,-9999.0
188,188,1628212.49713137,6136480.082526686,-9999.0
189,189,1628542.048485118,6136477.420729614,-9999.0
190,190,1628555.197478316,6136457.716760051,-9999.0
191,191,1625020.197307267,6136460.107068408,-9999.0
192,192,1628443.850823379,6136443.633182319,-9999.0
193,193,1628231.008089755,6136461.477841979,-9999.0
194,194,1624929.172703043,6136546.945536157,-0.350320344
195,195,1624842.77560288,6136423.903464084,-9999.0
196,196,1628410.568217349,6136418.058279762,-9999.0
197,197,1628466.140575944,6136484.294960335,-9999.0
198,198,1628123.86664063,6136404.570694036,-9999.0
199,199,1628292.516940147,6136404.6309047,-9999.0
200,200,1628472.27751463,6136408.781547128,-9999.0
201,201,1628569.62890963,6136412.833682934,-9999.0
202,202,1628533.960073919,6136393.54253755,-9999.0
203,203,1628431.95433813,6136384.274455192,-9999.0
204,204,1628542.470106378,6136383.145398443,-9999.0
205,205,1628484.63196769,6136363.81038171,-9999.0
206,206,1626392.311446221,6136367.147491799,-9999.0
207,207,1627338.671511232,6136363.617983866,-9999.0
208,208,1628246.113467384,6136385.800600695,-9999.0
209,209,1628296.185180061,6136369.952742246,-9999.0
210,210,1628017.369720272,6136830.866172529,-9999.0
211,211,1624818.979003871,6136364.446351466,-0.29690716
212,212,1625144.760399151,6136333.756579818,-9999.0
213,213,1626743.58194244,6136393.430731944,-9999.0
214,214,1628476.30206663,6136323.988393667,-9999.0
215,215,1624832.914362874,6136324.64684662,-9999.0
216,216,1624867.947080437,6136330.339912403,-9999.0
217,217,1628588.884718522,6136330.896904424,-9999.0
218,218,1626383.159660118,6136298.52813217,-9999.0
219,219,1626529.808963821,6136290.663146921,-9999.0
220,220,1626640.253207898,6136284.728584027,-9999.0
221,221,1628493.619291788,6136298.676239379,-9999.0
222,222,1628492.52736278,6136264.16594615,-9999.0
223,223,1624702.456865244,6136270.911702685,-9999.0
224,224,1626500.608236254,6136265.634732484,-9999.0
225,225,1628361.388063257,6136259.388347519,-9999.0
226,226,1628324.846577298,6136245.139109313,-9999.0
227,227,1628365.844177556,6136235.050034625,-9999.0
228,228,1629062.158550644,6136240.755512271,-9999.0
229,229,1625087.382182994,6136233.886075559,-9999.0
230,230,1628434.963414803,6136224.497199931,-9999.0
231,231,1628482.215398734,6136235.090211227,-9999.0
232,232,1626537.167469619,6136231.685094752,-9999.0
233,233,1628516.622999401,6136218.488482571,-9999.0
234,234,1628613.940621612,6136243.258345161,-9999.0
235,235,1629058.563725669,6136212.574678862,-9999.0
236,236,1624804.233364699,6136242.673548847,-9999.0
237,237,1625095.197735188,6136214.349320536,-9999.0
238,238,1628656.360756874,6136173.996084956,-9999.0
239,239,1624700.92467022,6136199.138126445,-9999.0
240,240,1624738.741933221,6136175.849050468,-9999.0
241,241,1624840.714163823,6136175.196421008,-9999.0
242,242,1624857.125402397,6136175.151821009,-9999.0
