OID,FID_,X,Y,BCE_Mahura
148,148,1752975.646111032,5967246.717337607,0.409562512
149,149,1751666.206379883,5967259.815328392,1.020999985
150,150,1752834.359157415,5967229.278211888,0.593999993
151,151,1753003.480368077,5967226.287308259,0.523855405
152,152,1753035.22288897,5967165.912882519,1.240178587
153,153,1753050.742340452,5967165.638194157,4.448805969
154,154,1753176.947502773,5967013.871501608,1.048666668
155,155,1753971.907636548,5966870.156434222,0.143025643
156,156,1753953.272543669,5966853.302419285,-0.867666701
157,157,1753939.162956421,5966840.832998695,-0.822400033
158,158,1753947.011144081,5966830.757729748,-0.841363674
159,159,1753922.524564347,5966811.222716411,-0.863583306
160,160,1752186.572186424,5966812.048095087,0.656231708
161,161,1752308.344018392,5966814.238265058,1.559261725
162,162,1752166.264332908,5966802.436803746,0.773235293
163,163,1753921.542957599,5966771.60877567,0.429194444
164,164,1754895.983031156,5966733.840126001,-9999.0
165,165,1751964.255572919,5966776.284905541,-0.569272742
166,166,1752057.023397227,5966774.452599618,0.505754707
167,167,1754975.198329521,5966722.275894213,-9999.0
168,168,1752024.107029933,5966765.213583471,0.686089741
169,169,1754920.491738772,5966725.452105506,-9999.0
170,170,1754995.395360271,5966711.815053684,-9999.0
171,171,1751915.587699468,5966757.202767805,-0.491249969
172,172,1755015.710634219,5966701.034890764,-9999.0
173,173,1751524.652916594,5966752.590345242,3.779482683
174,174,1751553.015919412,5966743.427572263,0.74382352
175,175,1755015.772577613,5966682.032014895,-9999.0
176,176,1753220.791119883,5967307.390827872,0.719904163
177,177,1751399.827875394,5966726.375389499,0.774727275
178,178,1753904.112199967,5966681.955593502,0.891150013
179,179,1754790.110831207,5966665.828932311,-9999.0
180,180,1751331.565111789,5966714.019841413,0.440946747
181,181,1753919.685737759,5966651.771814308,0.841674992
182,182,1751350.884950492,5966667.219004523,0.306382984
183,183,1751398.614696783,5966666.38326591,0.64078836
184,184,1751325.964862088,5966657.68654728,0.508033461
185,185,1753967.293103967,5966611.048700152,0.836300009
186,186,1754667.111111684,5966608.790100788,0.871658157
187,187,1753983.087213728,5966604.162082881,0.797947375
188,188,1751255.413945776,5966675.241336135,1.944910056
189,189,1753999.149449246,5966590.543592135,0.673202543
190,190,1754833.525723808,5966643.210968105,1.18818608
191,191,1754014.958870961,5966584.037842643,0.67835664
192,192,1751201.849337129,5966623.306350663,-0.010775509
193,193,1751283.008824703,5966632.087889614,0.483184185
194,194,1754054.838005371,5966569.484984825,1.332089747
195,195,1751188.2083721,5966610.980222187,-0.004117656
196,196,1754071.092098532,5966559.355179474,0.689274993
197,197,1751212.179642793,5966599.86539339,0.657500006
198,198,1751236.811458474,5966607.326394376,0.553827158
199,199,1751807.924786409,5966589.625692607,0.817017546
200,200,1751833.184298777,5966606.463769349,0.618958337
201,201,1754091.046474345,5966549.03067236,0.673625004
202,202,1751187.847095509,5966590.322281979,0.692394955
203,203,1753917.636197907,5966631.018124967,0.609119509
204,204,1754070.723927698,5966538.697141197,0.41956364
205,205,1754111.000803788,5966538.706121255,0.665375002
206,206,1754094.717595711,5966529.027525119,0.386041669
207,207,1754126.928699074,5966528.45330694,0.755063293
208,208,1754150.909324529,5966518.056872024,1.051625008
209,209,1754166.837136567,5966507.803981109,0.794125015
210,210,1754130.510884939,5966503.467300576,0.434968948
211,211,1754182.764911514,5966497.551059472,0.732531624
212,212,1754222.850870044,5966486.867150431,0.706333332
213,213,1751637.418345417,5966512.868453988,0.683333345
214,214,1751701.984475217,5966511.542587177,0.395864978
215,215,1751789.475930547,5966537.590972794,0.626808827
216,216,1751669.528786887,5966493.933625941,0.498271842
217,217,1751865.736409485,5966964.899298119,0.722626154
218,218,1754493.940972869,5966399.406115179,0.780217426
219,219,1754610.054719725,5966090.857086485,0.393013703
220,220,1754625.340296457,5966021.108440666,0.349874995
221,221,1752893.759110002,5966042.144199179,1.03263156
222,222,1754614.226686957,5966001.753378753,0.277513712
223,223,1754719.470610009,5965879.859405299,0.600722887
224,224,1754747.47484645,5965869.389149585,0.607151885
225,225,1754775.479018417,5965858.918798921,-9999.0
226,226,1754807.509208374,5965848.376246874,-9999.0
227,227,1754635.917490486,5965711.883445276,0.598499997
228,228,1754619.635136557,5965702.205863096,0.551750005
229,229,1754595.010122354,5965688.414697153,0.553866664
230,230,1754746.468754896,5965794.176121463,0.628707019
231,231,1754554.327873503,5965653.529531054,0.273417771
232,232,1754538.045723969,5965643.851800969,0.247424999
233,233,1754521.763611677,5965634.174041275,0.300624998
234,234,1754464.687451967,5965595.318795892,-0.261825005
235,235,1753149.930551793,5965489.12318051,0.208875003
236,236,1752311.141076383,5965424.197201749,1.269749989
