OID,FID_,X,Y,BCE_Coroma
247,247,1817657.058179579,5925427.053783529,0.484975014
248,248,1818081.355980542,5925416.218029858,-0.932156861
249,249,1823468.906637085,5925266.811127762,1.381949969
250,250,1817596.424710027,5925408.653051167,-0.931213836
251,251,1818089.447675955,5925396.062877978,-0.719938269
252,252,1823505.395146296,5925264.39760953,1.291122356
253,253,1823492.235691778,5925216.327396925,0.97648214
254,254,1823507.684717922,5925215.922599762,1.029600007
255,255,1818072.558660204,5925346.740629048,-0.562530265
256,256,1823556.235241181,5925199.754974513,0.983474647
257,257,1818047.453739981,5925322.330950652,-0.829372672
258,258,1823575.137959645,5925171.379390924,1.335857136
259,259,1817541.426014989,5925360.188871123,-0.838104111
260,260,1818031.038388984,5925307.789317973,-0.90475
261,261,1823220.820015575,5925313.876849348,0.651532306
262,262,1817499.175913202,5925314.085414582,-0.96115859
263,263,1818014.113604494,5925273.312886783,-0.953112499
264,264,1817484.912869644,5925281.76397447,-0.963
265,265,1817468.355610261,5925262.308631476,-0.963
266,266,1823464.144104581,5925107.343739575,0.811428572
267,267,1817449.057323753,5925239.527940017,-0.940460581
268,268,1817435.40024992,5925228.239906779,-0.932074534
269,269,1817417.371677673,5925181.821432221,-0.744062346
270,270,1817399.261655105,5925134.823118017,-0.782880125
271,271,1822699.352457435,5924987.904101138,-0.529327291
272,272,1817369.572060328,5925104.371768304,-0.423640933
273,273,1817366.56960664,5925045.475190496,-0.281822787
274,274,1823498.731631849,5924887.285714418,1.240452055
275,275,1817358.299220787,5925035.711753258,0.157775006
276,276,1823410.206636518,5924869.569710008,0.710800016
277,277,1817256.903976159,5925008.377403202,-0.67616949
278,278,1823476.098545211,5924848.126617976,0.976314041
279,279,1823489.283356403,5924861.321011883,0.992333347
280,280,1823449.505108256,5924838.616724459,0.804368426
281,281,1823465.627960894,5924838.087722417,0.929128203
282,282,1823456.978561684,5924829.909189874,0.818461539
283,283,1823351.820080623,5925013.429530436,0.732325794
284,284,1823416.917529583,5924819.521371543,0.77324998
285,285,1823440.188738559,5924822.950102409,0.795923073
286,286,1817217.188080753,5924984.997661052,-0.642599516
287,287,1816987.523107907,5924965.360228769,-0.871197529
288,288,1816979.271534521,5924956.323600663,-0.963
289,289,1823415.014019224,5924793.630388226,0.765656421
290,290,1823399.903235075,5924755.488933809,0.78753957
291,291,1823242.921048425,5924771.588494127,0.819056794
292,292,1823277.769640089,5924713.445628282,0.627654555
293,293,1823370.462346357,5924719.950821281,1.245006978
294,294,1823341.11635485,5924681.86351447,0.976563613
295,295,1823356.161769053,5924691.872798511,1.03196232
296,296,1823348.644507304,5924671.984943532,1.117014705
297,297,1823246.990924864,5924662.307877014,0.676759952
298,298,1823324.455305313,5924640.113657857,0.851645629
299,299,1823030.741551914,5924600.598359169,0.873809108
300,300,1823006.424832562,5924590.671176618,0.48347059
301,301,1823017.497444928,5924570.436812665,0.251708856
302,302,1823052.673292256,5924567.089950022,1.078336897
303,303,1823189.536840794,5924589.855191087,0.94365892
304,304,1823028.231830986,5924544.907139384,0.27663539
305,305,1822931.732076917,5924526.679269632,0.680048972
306,306,1823024.210205314,5924520.388857896,1.250849992
307,307,1823015.932500083,5924510.632164158,0.974799996
308,308,1822972.062289173,5924501.312097904,0.891996499
309,309,1822878.695298526,5924481.951146609,0.570312348
310,310,1822877.186484885,5924419.500454415,0.529506326
311,311,1822868.93138229,5924399.767245597,1.27765254
312,312,1822884.551133692,5924394.371799814,0.739104154
313,313,1822873.288725379,5924359.179579898,0.655565534
314,314,1822862.427449181,5924315.154206946,0.598773855
315,315,1822849.492123947,5924280.581507916,0.503503138
316,316,1822856.473361139,5924265.806211257,0.585468747
317,317,1822841.409531836,5924255.856478889,0.451679244
318,318,1822847.29547371,5924236.172383326,0.417629038
319,319,1822831.897655348,5924221.194529738,0.370287502
320,320,1822838.120102919,5924206.553366193,0.52986
321,321,1822823.100546597,5924191.500987235,0.346784811
322,322,1822828.94884308,5924176.957847028,0.394552634
323,323,1822814.303489371,5924161.807437246,0.358652174
324,324,1822812.264793536,5924127.432982896,0.634616671
325,325,1822802.43730514,5924113.844595254,0.454969515
326,326,1821178.340041609,5924136.012949613,-0.581968233
327,327,1822784.612097925,5924086.152402687,0.566609995
328,328,1821168.654811112,5924110.619347226,-0.636111094
329,329,1822772.33371266,5924068.149501873,0.345055552
330,330,1822762.723937866,5924051.286407786,0.286117653
331,331,1820604.553796584,5924014.988828225,-0.899999976
332,332,1820580.406235882,5924005.437659971,0.127797492
333,333,1821149.441454317,5923990.772504688,-0.838790102
334,334,1820539.832171304,5923987.266186229,-0.500113184
335,335,1822659.873429407,5923926.322980892,-9999.0
336,336,1820545.241508891,5923966.323525541,0.376650011
337,337,1821131.798408896,5923964.900514197,-0.461468217
338,338,1821452.639010629,5923933.158974368,-0.732107123
339,339,1821099.55509522,5923932.575972902,-0.085800006
340,340,1821091.026212614,5923923.245868162,-0.017114759
341,341,1821059.006917146,5923903.27462036,-0.533124977
342,342,1821042.459634298,5923883.754935079,-0.616271582
343,343,1820912.85481266,5923857.190698934,-0.06892592
344,344,1821009.271574836,5923856.106993031,-0.267596479
345,345,1820941.234467928,5923846.481258873,-0.523836457
346,346,1820977.059979688,5923846.896537153,-0.20532989
347,347,1820955.748702514,5923840.880957824,-9999.0
348,348,1821738.498705073,5923815.810322315,-0.883481458
349,349,1821786.590564628,5923814.559492652,-0.899999976
350,350,1821714.193583165,5923806.467990471,-0.751797446
351,351,1821730.224182697,5923806.051122337,-0.278424988
352,352,1821805.125555994,5923805.292955937,-0.776186417
353,353,1821617.396488634,5923792.021173165,-0.630999984
354,354,1822491.109124531,5923889.802617134,0.440314696
355,355,1821657.30910084,5923778.023860157,0.068450004
356,356,1821581.743276612,5923774.305813833,0.262333329
357,357,1822412.502659946,5923704.832572894,0.852009811
358,358,1822273.779404676,5923687.911214895,0.573508408
359,359,1822246.178948465,5923592.927905996,0.562912278
360,360,1822270.067796672,5923592.506451961,0.957556947
361,361,1817772.769173255,5923698.591887536,-0.591678555
362,362,1819556.701059308,5923652.838729392,-0.143449985
363,363,1819600.627397804,5923651.908939905,-0.899999976
364,364,1820666.249331684,5923624.093061945,1.353277782
365,365,1822261.792820673,5923582.747746206,0.931400011
366,366,1819520.376565983,5923643.799780328,-0.457827137
367,367,1819536.349649917,5923643.539682354,0.501837838
368,368,1817780.274990171,5923678.452193454,-0.707607823
369,369,1822248.087704145,5923569.807575213,0.693887959
370,370,1819487.803084356,5923624.690361646,-0.226849976
371,371,1819616.043605045,5923621.387733283,-0.899999976
372,372,1822228.952918445,5923553.680510734,0.643737481
373,373,1817788.365257597,5923658.297354045,-0.708874991
374,374,1818902.805907509,5923639.801908704,-0.275967584
375,375,1819471.516432065,5923615.135433358,-0.899999976
376,376,1822212.66295069,5923544.130679084,0.607774999
377,377,1817796.125748349,5923648.125016076,-0.855100014
378,378,1822196.373020557,5923534.580817894,0.684650018
379,379,1819462.403821453,5923595.421609168,-0.758235272
380,380,1818212.237906316,5923617.738168729,-0.209446406
381,381,1822165.755681867,5923518.72572019,1.067512827
382,382,1817699.766668228,5923620.663978537,-0.025039979
383,383,1818284.401818276,5923610.702249112,-0.899999976
384,384,1819454.460521649,5923575.677370605,-0.164296291
385,385,1819630.633210308,5923571.342351324,-0.899999976
386,386,1818208.822052102,5923601.572840128,-0.825499987
387,387,1818348.075450251,5923596.551578319,-0.888249977
388,388,1820648.279913967,5923535.091256311,-0.490690895
389,389,1818195.043042884,5923588.751156321,-0.850531272
390,390,1818299.902478537,5923590.737408484,-0.899999976
391,391,1819638.291281229,5923550.995322633,-0.899999976
392,392,1822007.46533714,5923605.441800363,0.483418236
393,393,1818690.461672506,5923571.052670779,-0.423861536
394,394,1819429.645512593,5923546.393810036,0.052350012
395,395,1817810.754943717,5923592.894086876,-0.825236394
396,396,1818659.699298753,5923546.227552205,0.21442499
397,397,1817696.845852154,5923560.894249074,-0.892808487
398,398,1817817.878562513,5923557.802837756,-0.817900006
399,399,1818587.481963593,5923539.39176096,0.454333333
400,400,1818611.224910089,5923542.625103577,0.385314736
401,401,1817833.399044456,5923537.457958119,-0.672569619
402,402,1817848.919318034,5923517.113348232,-0.028974998
403,403,1819034.963862592,5923486.925145622,-0.671874998
404,404,1819379.365519307,5923478.309940062,0.02148572
405,405,1817879.917469008,5923501.222659317,-0.447341557
406,406,1819066.155272732,5923446.025735762,-0.779049973
407,407,1819354.707223747,5923439.169630375,0.031878061
408,408,1819635.150654041,5923435.73467085,0.124655736
409,409,1819338.560221837,5923428.846162353,-0.643607121
410,410,1819642.967730505,5923421.210045495,-0.764374979
411,411,1819650.882336168,5923410.830607379,-0.899999976
412,412,1817542.802162545,5923457.586365742,-0.898200023
413,413,1817581.916012211,5923447.170449489,0.01731035
414,414,1817603.232282137,5923453.00392573,-0.481746623
415,415,1819145.003924873,5923393.401089899,-0.312584914
416,416,1819160.706645011,5923373.977651539,-0.201944442
417,417,1819305.186482216,5923371.004534202,-0.371733318
418,418,1819208.372105527,5923362.576652844,-0.341762494
419,419,1819295.966756478,5923361.121299114,-0.457539675
420,420,1820193.417973867,5923307.267752891,0.668629627
421,421,1820177.131050084,5923297.713912424,-0.000574994
422,422,1820288.822431606,5923274.88013974,-0.136849984
423,423,1820432.887885477,5923271.443086805,0.418486488
