OID,FID_,X,Y,BCE_Opua_I
243,243,1697037.754057621,6096804.884897875,-9999.0
244,244,1696721.282561928,6096811.954491852,5.913499832
245,245,1696980.503343754,6096800.518269386,-0.36389168
246,246,1697005.558607084,6096795.267052785,-9999.0
247,247,1697067.81382286,6096806.506431299,-0.700234197
248,248,1697094.681181294,6096794.512984281,0.025435608
249,249,1697111.023198774,6096794.337148999,0.097684512
250,250,1698532.942807921,6096778.719913534,1.05929999
251,251,1697045.54799493,6096785.077316576,-0.077625721
252,252,1698516.49182767,6096768.935442184,0.702280009
253,253,1696763.839409597,6096788.169573074,1.288828355
254,254,1698532.725076305,6096758.794017024,-0.84660005
255,255,1702409.876069093,6096715.629287267,-0.47479732
256,256,1697152.283043992,6096786.578781351,-0.349386998
257,257,1702397.506455992,6096705.805304875,-0.414388889
258,258,1695959.542916161,6096840.53657858,0.712154364
259,259,1696015.889261659,6096766.988372045,1.736398408
260,260,1696788.330425194,6096768.433989585,0.410678682
261,261,1696615.623127605,6096815.139051339,1.112783532
262,262,1696800.900878298,6096748.621783704,0.41953334
263,263,1696808.804549783,6096738.218123921,0.629843432
264,264,1696816.577525892,6096727.879144667,0.482083344
265,265,1697485.921072738,6096700.617751249,-0.654982487
266,266,1701882.056549015,6096651.85324455,-9999.0
267,267,1696841.283835814,6096688.881944742,0.937024208
268,268,1696838.629975517,6096755.2404501,-0.150061277
269,269,1698525.97871667,6096686.136956866,0.118279952
270,270,1702413.031569835,6096583.151568449,-9999.0
271,271,1697913.291427989,6096622.216436168,0.552864343
272,272,1696920.043389878,6096631.430961709,0.589828433
273,273,1697640.194181565,6096608.863671398,-0.129125
274,274,1697730.86057204,6096618.334209089,0.543674732
275,275,1697803.615651489,6096607.502673405,0.478607144
276,276,1698466.058999672,6096599.633652116,2.442905429
277,277,1696966.159269562,6096606.371685987,0.58530234
278,278,1696986.425747644,6096591.207672762,0.703333585
279,279,1697002.660296879,6096581.06902719,0.797730054
280,280,1697955.232448916,6096578.230759428,-0.019661324
281,281,1697010.616900031,6096561.055194999,0.760788728
282,282,1697982.88802227,6096545.568406998,-0.332849997
283,283,1697991.113271099,6096535.310502429,-0.33093842
284,284,1696985.622658491,6096516.48518012,0.699615376
285,285,1697631.112597795,6096509.524487853,-0.730743584
286,286,1696969.263514293,6096497.129179428,0.690293332
287,287,1697647.238437082,6096489.421717087,-0.385075005
288,288,1697671.534990779,6096469.230418351,-0.230888879
289,289,1698561.483671393,6096399.042020595,-9999.0
290,290,1698568.957675868,6096389.722728375,-0.46763162
291,291,1698479.2711055,6096494.552365756,-0.284983837
292,292,1698291.425102133,6096362.857521183,-0.37418603
293,293,1698316.231507445,6096359.264807633,-0.513950808
294,294,1698242.184310021,6096343.465369496,0.055090909
295,295,1698291.208048291,6096342.93148703,-0.755624995
296,296,1698332.061165747,6096342.486381454,-0.869519477
297,297,1698256.696157243,6096325.371797597,-0.304402913
298,298,1698541.592516115,6096323.593428765,0.150425744
299,299,1699471.534465549,6096300.104223165,-9999.0
