FID,X,Y,BCE_Manukau_Harbour_System_MHS__Seagrass
250,1753800.302283617435023,5910873.833284623920918,0.418809517000000
251,1759314.916699769906700,5910775.616289665922523,0.304717641000000
252,1759268.442707829643041,5910981.022960800677538,0.249415522000000
253,1759591.247165874578059,5910773.821442332118750,
254,1757057.815796466777101,5910836.269037007354200,
255,1760897.344569308916107,5910734.420432740822434,-0.867399988000000
256,1749545.388770190766081,5910930.558386315591633,-0.858250006000000
257,1754384.221549444599077,5910861.558918165042996,-0.509932695000000
258,1755688.732441671192646,5910821.581934197805822,
259,1759292.340393800055608,5910758.349742384627461,0.176026315000000
260,1751134.827820107573643,5910900.723353194072843,-0.187383377000000
261,1753736.958780473796651,5910864.007128354161978,0.283141211000000
262,1756808.635451512411237,5910790.997620192356408,
263,1756837.639427533606067,5910800.661213877610862,
264,1759065.160328265512362,5910743.825656488537788,0.708823031000000
265,1759212.797561297891662,5910736.072791622020304,0.178031254000000
266,1749510.817563572665676,5910900.053156311623752,-0.854230768000000
267,1752771.886678392766044,5910849.765419012866914,
268,1753066.564037211006507,5910844.465716133825481,0.103372032000000
269,1755768.189915606519207,5910790.214646632783115,
270,1756938.488292682915926,5910796.775474224239588,
271,1761608.647854653419927,5910681.026874736882746,-0.144107140000000
272,1755776.323157202219591,5910779.693107068538666,
273,1759190.599397098645568,5910722.542604143731296,0.246594237000000
274,1762602.817542128730565,5910662.381462404504418,0.315869144000000
275,1753735.683082713978365,5910807.329937648028135,-0.032407407000000
276,1755633.074003512738273,5910763.322251729667187,
277,1755703.427451502531767,5910780.660410045646131,
278,1760535.993920004693791,5910671.471206015907228,-0.947454583000000
279,1749454.799941431730986,5910862.922132492996752,-0.752217945000000
280,1749954.022378547117114,5910854.478234938345850,-0.935140945000000
281,1749985.444301346316934,5910854.282874654047191,-0.917916688000000
282,1759064.435209163231775,5910689.003949820995331,1.093921556000000
283,1753078.517312301089987,5910801.748909189365804,-0.350206342000000
284,1755739.784559624269605,5910746.216308426111937,
285,1749435.695354344323277,5910845.179654227569699,-0.795295247000000
286,1753656.746823237277567,5910787.112500515766442,-0.233137995000000
287,1755863.505523524945602,5910733.169731931760907,
288,1755955.695466684643179,5910727.335447598248720,
289,1753484.160745629575104,5910760.777699471451342,-0.318504347000000
290,1756131.523919285507873,5910714.133198196999729,
291,1756155.525501099880785,5910713.691676896065474,
292,1753567.542481697164476,5910768.886277248151600,-0.434238723000000
293,1753702.304652688326314,5910752.334970862604678,-0.297735858000000
294,1755517.145057924324647,5910715.734128702431917,-0.326420558000000
295,1755595.428519429406151,5910715.617673508822918,-0.895191483000000
296,1755934.737538876011968,5910707.397803204134107,
297,1762459.780534010380507,5910584.811740773729980,0.375508474000000
298,1762555.925295728258789,5910611.082740040495992,0.395383938000000
299,1753090.752258531982079,5910761.381164653226733,
300,1753442.437164710368961,5910737.695022895000875,
301,1753829.156906428979710,5910750.856445474550128,0.125749718000000
302,1751525.691419380484149,5910775.431062810122967,-0.672396345000000
303,1753749.091236337786540,5910728.036686860024929,-0.438597549000000
304,1755142.322780665941536,5910701.978578141890466,
305,1755431.117273645475507,5910707.293988492339849,-0.511503059000000
306,1759050.645354357780889,5910646.483386314474046,0.270550001000000
307,1749395.302160024875775,5910798.908240112476051,-0.608325156000000
308,1753734.216332874028012,5910717.427682348527014,-0.471683544000000
309,1759054.450287639861926,5910614.416122449561954,0.289556963000000
310,1753221.777211811160669,5910705.527149275876582,-0.681499979000000
311,1753312.818356414558366,5910703.708730282261968,-0.159312774000000
312,1753409.155072126537561,5910705.185476679354906,-0.587833319000000
313,1753773.699680808465928,5910696.974213822744787,-0.496909088000000
314,1753867.310194577090442,5910701.824987770058215,0.340656248000000
315,1754333.978703809203580,5910691.589244675822556,-0.939999938000000
316,1753142.927606097888201,5910698.947181733325124,
317,1753202.078957657795399,5910697.723980949260294,
318,1753259.557220321847126,5910697.867805097252131,-0.793929193000000
319,1753339.962645766558126,5910699.861505123786628,
320,1753386.154721103142947,5910694.044035318307579,-0.567212109000000
321,1753669.995466137304902,5910695.652413102798164,-0.750946146000000
322,1760470.485769563587382,5910589.990594492293894,-0.916699181000000
323,1759023.435504137771204,5910588.023335007950664,0.237446803000000
324,1753714.381824753247201,5910680.858258876949549,-0.733196324000000
325,1753765.405693035805598,5910671.998908640816808,-0.682995830000000
326,1753882.369370348053053,5910665.126094562932849,0.056036697000000
327,1755253.235803357325494,5910640.131668026559055,-0.836249986000000
328,1759013.765453612897545,5910570.866709058173001,0.358533336000000
329,1750212.309260378591716,5910733.826364362612367,-0.577644970000000
330,1751944.327222606400028,5910697.095650884322822,
331,1755252.871206311043352,5910620.198684607632458,-0.756785737000000
332,1750220.456857765559107,5910700.785331972874701,-0.570185193000000
333,1753812.618241371121258,5910636.450612510554492,-0.789418173000000
334,1753904.150037108454853,5910638.043226861394942,0.152070123000000
335,1751914.232635021908209,5910663.019923472777009,
336,1751940.353094568476081,5910660.202570581808686,
337,1753580.749775361968204,5910630.679513034410775,
338,1753864.350098031805828,5910630.638464787043631,-0.519088394000000
339,1749940.093045955523849,5910685.803558857180178,-0.894181837000000
340,1753900.261039431672543,5910614.922451119869947,-0.346018509000000
341,1753931.858200393384323,5910613.384959537535906,0.238641789000000
342,1762427.982078630710021,5910504.935677387751639,0.318673392000000
343,1751917.437278678175062,5910641.212208307348192,
344,1753566.818270833231509,5910612.867936039343476,
345,1753609.529380246531218,5910613.295855435542762,
346,1759001.990542443236336,5910540.372358952648938,0.524782606000000
347,1749215.310612972127274,5910673.766589627601206,-0.729999989000000
348,1758247.125846276991069,5910515.415008967742324,0.620298507000000
349,1749940.306136451428756,5910655.690039554610848,-0.887818223000000
350,1753595.706167662050575,5910590.529961337335408,
351,1753640.331548238405958,5910592.704760774038732,
352,1762424.291311319218948,5910425.620884127914906,0.352946441000000
353,1750842.206555604003370,5910643.966746087186038,-0.267025906000000
354,1752579.306384545518085,5910588.922700320370495,
355,1753619.346400307258591,5910570.162669113837183,
356,1755808.026824961882085,5910530.650141006335616,-0.188971959000000
357,1762095.891195377334952,5910411.958064975216985,0.325641024000000
358,1762440.274890008615330,5910405.918200500309467,0.306558454000000
359,1749129.256947603076696,5910638.578811514191329,-0.626602159000000
360,1753683.416514216456562,5910563.816732956096530,
361,1753939.347044100752100,5910554.179837461560965,-0.067032259000000
362,1759003.335946918465197,5910498.374107930809259,0.927857156000000
363,1762267.936079300707206,5910424.828674766235054,0.433733289000000
364,1750223.459622467868030,5910611.389340746216476,-0.645046734000000
365,1753317.822573022684082,5910558.252970423549414,
366,1753372.418586126761511,5910555.227534511126578,
367,1753909.500318425940350,5910572.712208019569516,-0.412955040000000
368,1750171.537486855406314,5910630.653707421384752,-0.649131046000000
369,1755714.883948670001701,5910502.066942263394594,-0.034285714000000
370,1762563.933886555721983,5910373.446000824682415,0.228571435000000
371,1750076.420786326285452,5910770.894501211121678,-0.730791158000000
372,1750388.318618771852925,5910598.369351072236896,-0.560479730000000
373,1753414.786455856868997,5910543.387196308933198,
374,1753466.619615935487673,5910533.046623125672340,
375,1753924.762434615055099,5910530.198731023818254,-0.340004980000000
376,1749914.331792900105938,5910586.563447761349380,-0.916545441000000
377,1750142.581325022270903,5910594.407193428836763,-0.692300013000000
378,1750523.790640020975843,5910576.315611219033599,-0.634037274000000
379,1752642.412605651188642,5910537.939668489620090,
380,1753402.437286949250847,5910524.237163523212075,
381,1762489.663860184373334,5910392.700353403575718,0.240294429000000
382,1749101.860568188829347,5910590.120381175540388,-0.659466651000000
