OID,FID_,X,Y,BCE_Wellin
75,75,1753699.807108389,5427016.565636388,-9999.0
76,76,1753734.014146796,5426991.675164016,-9999.0
77,77,1751012.834193395,5426992.627116594,-9999.0
78,78,1756640.157152373,5426870.12279667,-0.291188131
79,79,1756634.5962053,5426825.276736735,0.317519246
80,80,1756725.176471191,5426817.815009361,-0.330761906
81,81,1752535.375069877,5426896.99308213,-0.585333308
82,82,1753749.386999057,5426874.017715727,-9999.0
83,83,1753797.95169577,5426779.961687992,-0.01148548
84,84,1753773.099010086,5426750.234073209,0.343353874
85,85,1753720.071134055,5426687.974422714,-0.613333305
86,86,1753699.858939255,5426658.607756326,1.670000076
87,87,1753450.734959653,5426509.191625703,-0.200812472
88,88,1753442.279482335,5426369.032836733,0.114125011
89,89,1753427.458979759,5426358.813347857,0.335000026
90,90,1753418.873598349,5426329.615965787,-0.733333309
91,91,1753401.51486333,5426312.74260327,-0.75999999
92,92,1753379.492465931,5426208.806148976,-9999.0
93,93,1751197.27998603,5426202.402153387,-9999.0
94,94,1753355.277553553,5426140.966572865,-0.273483848
95,95,1751208.816372786,5426086.691613539,-9999.0
96,96,1753348.101864955,5426047.076251719,-0.228771403
97,97,1753327.484199158,5425979.961802474,-0.153187473
98,98,1751033.680947918,5425950.016610024,-9999.0
99,99,1750988.71709121,5425900.623698785,-0.017523779
100,100,1750940.301587064,5425881.377118092,-9999.0
101,101,1750697.41084328,5425718.072765339,0.061333358
102,102,1750712.367544219,5425716.992903939,-0.167000031
103,103,1753352.119627479,5425662.513463949,-9999.0
104,104,1753351.148936121,5425642.578367775,-9999.0
105,105,1753388.338784482,5425572.0547914,-9999.0
106,106,1753461.005152375,5425500.569082233,-9999.0
107,107,1750604.259633809,5425511.469845414,-9999.0
108,108,1753437.717029309,5425416.821387315,-9999.0
109,109,1753389.923353042,5425392.846852104,0.119000025
110,110,1753338.509849085,5425373.422055752,-9999.0
111,111,1753308.422732638,5425317.664947949,0.649950031
112,112,1753291.524797156,5425301.258884705,-9999.0
113,113,1753240.703310939,5425186.737501741,-9999.0
114,114,1750579.744787361,5425180.877987961,-0.039999973
115,115,1753242.630682011,5425116.253477743,-9999.0
116,116,1753221.892228779,5425085.361948302,-9999.0
117,117,1753217.549767286,5424990.175419292,0.577517262
118,118,1753234.075303734,5424881.747893816,-9999.0
