OID,FID_,X,Y,BCE_Waitem
272,272,1749402.556573085,5930234.96253759,0.64567901
273,273,1742995.502044915,5930335.373155721,0.871999981
274,274,1749386.34490996,5930225.276888541,0.756249999
275,275,1749795.385105099,5930223.098519148,0.548385084
276,276,1742971.267523494,5930325.082757628,0.795499993
277,277,1743011.372400312,5930325.13867179,0.829000014
278,278,1743091.420581246,5930321.921112035,0.291612897
279,279,1745669.527997243,5930279.497420734,-0.360275227
280,280,1745780.116066781,5930284.828042791,0.635330192
281,281,1745898.058781326,5930275.597434335,0.036625003
282,282,1745914.108445003,5930276.050207324,0.189999999
283,283,1749378.151954769,5930215.450992686,0.766962017
284,284,1749493.415931136,5930222.078369245,0.174194759
285,285,1745841.745852143,5930265.863155687,-0.006041677
286,286,1745869.823413586,5930266.110641198,0.13515625
287,287,1745954.018883882,5930264.672514684,0.013445381
288,288,1749369.95901804,5930205.625089424,0.573749996
289,289,1742882.729500227,5930306.626710146,-0.462499981
290,290,1743115.852656916,5930302.724386089,0.578085111
291,291,1745829.566183667,5930257.179492116,0.407913048
292,292,1748754.861141418,5930238.608810816,1.243557385
293,293,1749546.282494023,5930197.555281072,-0.037368423
294,294,1749802.966866161,5930198.042589659,0.686541658
295,295,1743123.119566589,5930292.633819853,0.688500004
296,296,1745798.735105637,5930255.295556422,0.041833906
297,297,1745975.643944851,5930251.582184871,0.528333334
298,298,1749345.641704637,5930191.096467648,0.647751005
299,299,1749594.132550211,5930181.763829418,-0.483750006
300,300,1742787.816498519,5930309.712576822,0.121203983
301,301,1743130.983320646,5930283.260137167,0.825576947
302,302,1742866.240660756,5930276.980750825,0.636835442
303,303,1743074.515894128,5930273.711566146,0.976491234
304,304,1743090.552980395,5930273.442949207,0.919444451
305,305,1743146.841247689,5930272.29870466,0.809499989
306,306,1745664.669157757,5930229.735484995,-0.264124963
307,307,1745784.25046772,5930231.181538254,0.235767791
308,308,1745932.201716734,5930233.986705149,0.554930815
309,309,1748783.795338183,5930190.848157669,4.924473744
310,310,1749810.286404509,5930158.037446626,0.755500018
311,311,1742726.320111291,5930272.345290441,1.232041903
312,312,1743022.715332152,5930270.19443963,0.932588227
313,313,1743161.425139486,5930261.345603562,0.743024692
314,314,1745882.286776735,5930216.792843375,0.619187498
315,315,1749152.597871483,5930160.303944399,-0.108462957
316,316,1749625.67799577,5930160.672604984,0.409473685
317,317,1742899.529949918,5930277.803153808,-0.149309581
318,318,1742986.031091898,5930281.259331538,0.724535394
319,319,1743087.642411105,5930253.621706561,3.285196385
320,320,1743130.458014477,5930251.908694351,2.313333311
321,321,1743190.603256498,5930251.277146231,4.96361702
322,322,1743210.643260966,5930250.564777001,-9999.0
323,323,1745847.445451253,5930207.587557803,0.505421693
324,324,1745954.536176133,5930212.573042005,2.372790711
325,325,1745996.594574105,5930215.806666712,0.657308409
326,326,1748800.227723356,5930162.31389907,-9999.0
327,327,1748819.840146586,5930207.985790851,0.067707373
328,328,1749096.280901252,5930150.590875351,0.248799999
