OID,FID_,X,Y,BCE_Kawhia
245,245,1767252.21892837,5786040.588801493,0.445403572
246,246,1760492.633473259,5786167.168619299,0.794480517
247,247,1761773.743066184,5786137.441981466,0.768622633
248,248,1762056.993686602,5786131.191817412,3.215343929
249,249,1767309.372201485,5786029.507815923,1.83304789
250,250,1762013.510623197,5786122.122853838,0.883946645
251,251,1760492.142800287,5786142.247804406,0.840400001
252,252,1767254.778522984,5786011.275237452,0.568512494
253,253,1762482.033150079,5786115.665225008,0.201606846
254,254,1761737.211808264,5786097.485777738,0.75787273
255,255,1761728.942934109,5786078.120820849,0.703716975
256,256,1762034.194833104,5786097.922562577,2.12263234
257,257,1766851.530357107,5785964.898149626,0.557518513
258,258,1762020.072688803,5786042.529355425,3.274829834
259,259,1760490.670766226,5786067.485366568,0.67996732
260,260,1761710.284732192,5786054.264694889,0.943976566
261,261,1762397.83114424,5786045.214893539,0.026330016
262,262,1761687.997847208,5786025.532846217,0.850605042
263,263,1762314.773652009,5786006.434445088,0.14990566
264,264,1765970.915529035,5785933.121250237,0.495797104
265,265,1765960.407382406,5785923.048022416,0.47696153
266,266,1766629.458195202,5785989.63318073,0.37657888
267,267,1761671.6734354,5785989.506533954,0.566499998
268,268,1766509.366124448,5785898.586497504,0.446684874
269,269,1760473.631857629,5786003.00160094,0.962746827
270,270,1766454.749241103,5785885.610198504,0.638733341
271,271,1760464.783502012,5785983.231300253,1.107444429
272,272,1761652.822702565,5785963.027851605,0.39657838
273,273,1766437.054564891,5785863.095693206,1.795534655
274,274,1762254.71468828,5785969.570162405,0.297212567
275,275,1765951.010174281,5785878.510100787,2.561260312
276,276,1762206.699425056,5785924.35667879,0.094991872
277,277,1766430.92866184,5785838.659618647,0.479913795
278,278,1760454.096930124,5785945.21521158,0.835409871
279,279,1766411.782504824,5785819.105168972,0.417238708
280,280,1761620.174620368,5785910.539811855,0.001646486
281,281,1762190.702755529,5785897.461325704,-0.040260356
282,282,1766880.121544563,5785799.557075433,0.941591305
283,283,1765934.157837668,5785838.783151145,0.579239469
284,284,1760440.33963061,5785913.90729467,0.81714103
285,285,1762174.212308955,5785876.852653611,0.217731959
286,286,1766336.213783085,5785793.293306894,0.553315212
287,287,1760439.176277247,5785884.013615048,0.590180008
288,288,1760431.673305871,5785874.189115296,0.621924999
289,289,1761953.16849218,5785849.084269536,3.136935894
290,290,1762153.868938113,5785845.094144523,0.667475003
291,291,1761936.478643464,5785824.693268658,0.728090902
292,292,1762134.048726802,5785824.942198467,0.044452295
293,293,1760423.301358665,5785849.423430185,0.585833328
294,294,1760416.66362138,5785829.570760245,0.575768862
295,295,1761942.352790796,5785794.498084988,2.458160024
296,296,1762113.569395541,5785801.020468619,0.455818176
297,297,1765900.400092739,5785714.846097928,0.384818175
298,298,1766270.704106646,5785744.265724446,1.177148801
299,299,1760404.09396848,5785808.250672447,0.541525003
300,300,1762093.721727784,5785778.139422696,0.27740741
301,301,1766254.813728964,5785687.471371063,0.425345464
302,302,1766631.60486224,5785709.478235937,1.293582597
303,303,1760406.838100944,5785784.928115018,0.482259998
304,304,1766611.175844073,5785675.209798046,0.932044821
305,305,1762076.477997773,5785746.339183769,-0.249787045
306,306,1766600.612510534,5785640.000313833,0.656156865
307,307,1762060.599524924,5785722.50327678,-0.418396211
308,308,1760377.918238027,5785761.763418518,0.506064319
309,309,1765872.213438048,5785671.280967616,0.828096123
310,310,1760357.643456747,5785726.270910216,0.452892863
311,311,1766465.829013766,5785603.591243129,0.495275008
312,312,1766526.985963078,5785609.662354162,0.70334347
