OID,FID_,X,Y,BCE_Whitia
194,194,1838135.33390413,5918525.272722912,-0.380799991
195,195,1840738.366285384,5918457.406364843,-0.663281098
196,196,1839863.904729599,5918473.034099977,-0.112263445
197,197,1841178.890674764,5918429.659869993,-0.386295586
198,198,1838845.200228253,5918501.443911256,-0.025580344
199,199,1838947.099477291,5918487.049969825,-0.218805554
200,200,1840216.864837682,5918417.543806385,-0.40806305
201,201,1840256.598686249,5918433.121535,-0.256567177
202,202,1840256.205108464,5918405.872827392,-0.478975017
203,203,1839813.494945206,5918420.900952672,-0.165446151
204,204,1840187.668574966,5918398.032310564,-0.444421053
205,205,1840203.570596872,5918387.406122098,-0.132506322
206,206,1840219.493560289,5918394.818296706,-0.282030508
207,207,1840147.191554198,5918378.29343271,-0.404941181
208,208,1840195.278259678,5918377.664021949,-0.12255
209,209,1840369.263436318,5918375.305355425,-0.710970958
210,210,1840186.98594086,5918367.921914542,-0.300499996
211,211,1839743.262353534,5918377.997611647,-0.176966031
212,212,1838818.00928514,5918400.270492712,-0.200776472
213,213,1840087.512394124,5918360.149988553,-0.366747786
214,214,1840173.634465124,5918354.017102703,-0.280318182
215,215,1838945.023513956,5918372.949561202,0.077470591
216,216,1839715.562871403,5918356.871913885,-0.231732082
217,217,1840066.713683617,5918342.594294409,-0.261381583
218,218,1840903.038385861,5918308.555663773,-0.519524285
219,219,1839672.877318304,5918332.533384398,-0.208387495
220,220,1840043.524925364,5918328.418882472,-0.2987
221,221,1840156.755367032,5918324.784946435,-0.191615743
222,222,1840810.182692176,5918291.5226567,-0.675235284
223,223,1839656.736126772,5918317.756438758,-0.281870215
224,224,1839996.806000618,5918308.159624462,-0.345931813
225,225,1840135.159368257,5918307.033575473,-0.002253917
226,226,1840729.762471309,5918282.755208891,-0.636700006
227,227,1838910.30622289,5918326.233225713,-0.030219517
228,228,1838142.206454848,5918361.114711726,0.069842891
229,229,1838789.968888238,5918317.445344113,-0.23418
230,230,1838875.444574677,5918317.881458585,-0.121906433
231,231,1839612.539750197,5918294.714874345,-0.264020404
232,232,1839919.510985516,5918265.001081554,-0.325380005
233,233,1839955.330806154,5918284.949313931,-0.293863453
234,234,1840079.749809354,5918261.210193706,-0.173524997
235,235,1840047.445503465,5918252.872660035,0.191862746
236,236,1838767.602811872,5918278.168777089,-0.147031578
237,237,1839574.641142002,5918260.478708579,-0.288889117
238,238,1839894.307327603,5918252.219579318,-0.340468679
239,239,1840311.342414249,5918234.923656322,-0.627000007
240,240,1839548.429773786,5918249.152942928,-0.296570181
241,241,1839994.358085342,5918233.105751716,0.188740738
242,242,1838876.616655004,5918255.577655477,-0.051914289
243,243,1840379.467002954,5918213.430880757,-0.626605496
244,244,1839857.15979614,5918225.899299196,-0.268117638
245,245,1839832.479656724,5918209.083007485,-0.223633328
246,246,1839965.769615598,5918209.555954642,0.025608694
247,247,1840269.828223214,5918204.316287224,-0.70979518
248,248,1838855.997761844,5918226.492466379,-0.077483337
249,249,1839953.623289218,5918195.28498675,-0.034640348
250,250,1838724.173391527,5918218.984973961,-0.128527777
251,251,1839512.235343124,5918200.889665675,-0.295869964
252,252,1839797.117530678,5918189.373648819,-0.209700005
253,253,1840386.351747338,5918173.331924305,-0.63503742
254,254,1840397.81395314,5918162.246175988,-0.638107153
255,255,1840666.167874331,5918145.472000143,-0.631853242
256,256,1838706.22584597,5918190.106207994,-0.222600001
257,257,1838826.797814252,5918193.899927277,0.287495494
258,258,1839485.565269374,5918167.886281988,-0.289300004
259,259,1839924.290227704,5918156.058187197,-0.196090907
260,260,1840345.453025557,5918144.558577858,-0.722407398
261,261,1840283.957681297,5918130.181156606,-0.687818204
262,262,1840310.874212944,5918127.388306146,-0.696704342
263,263,1840396.36532386,5918122.785255563,-0.647428581
264,264,1838809.511644219,5918158.062776689,0.119774197
265,265,1839901.496007109,5918116.59503236,-0.196843757
266,266,1840123.154410733,5918100.569452924,-0.412309093
267,267,1840624.270839812,5918096.191319153,-0.645553018
268,268,1839752.178239272,5918125.694414807,-0.199773751
269,269,1839768.534080632,5918068.356419591,0.285600003
270,270,1839872.234003196,5918073.081642083,-0.063632311
271,271,1840578.641437483,5918047.80183821,-0.65796299
272,272,1838599.290923255,5918093.345183159,0.133607839
273,273,1840233.898352893,5918047.563692068,-0.484185193
274,274,1838736.686642133,5918070.005007649,0.441316322
275,275,1839781.325902825,5918040.757380718,-0.024075471
276,276,1839444.962880715,5918044.23321696,-0.333098956
277,277,1838686.496506749,5918033.104524395,-0.141999997
278,278,1839426.78166693,5918006.630228932,-0.345999986
279,279,1838645.430931193,5918024.48797805,-0.143761901
280,280,1838258.455513173,5917995.826415152,-0.28189361
281,281,1838560.115926403,5917997.533445785,-0.150808821
282,282,1839423.470839947,5917962.272825719,-0.332733808
283,283,1840815.458167037,5917911.212799266,-0.098913583
284,284,1838362.646996673,5917983.541038783,-0.234145347
285,285,1838456.297512899,5917973.722832483,-0.168538458
286,286,1838505.852756548,5917980.85681322,-0.143999994
287,287,1840823.186717479,5917901.017932586,-0.215225003
288,288,1840833.063439351,5917863.137016738,-0.275648223
289,289,1840332.689324601,5917855.228139957,-0.603618201
290,290,1840845.384886763,5917835.544613148,-0.164556963
291,291,1840323.271298116,5917805.613458753,-0.601509095
292,292,1840431.715088563,5917807.337120133,-0.65095925
293,293,1840169.604094331,5917781.945700894,-0.553058045
294,294,1840289.821990413,5917756.677355041,-0.596872731
295,295,1840853.701705662,5917762.466140421,-0.27111737
296,296,1840264.998656735,5917717.473733199,-0.599571446
297,297,1840226.401622374,5917751.743534356,-0.576189134
298,298,1840215.195492417,5917668.999101635,-0.59048149
299,299,1840843.408421818,5917671.080562266,-0.363702183
300,300,1840826.327273571,5917611.755397515,-0.225000009
301,301,1840363.065808627,5917682.19793243,-0.638539584
