OID,FID_,X,Y,BCE_Coroma
169,169,1822518.398544891,5925445.695663335,-0.899999976
170,170,1818053.801156076,5925546.583630472,-0.963
171,171,1818172.854211392,5925543.539958194,-0.963
172,172,1818064.957479474,5925536.324577213,-0.963
173,173,1818545.264188071,5925527.641896223,-0.962463601
174,174,1822464.87260159,5925442.063319433,-0.899999976
175,175,1818076.345404215,5925511.098945253,-0.963
176,176,1818571.56172386,5925496.80103867,-0.134846155
177,177,1822467.852767159,5925383.654283786,-0.899999976
178,178,1818062.195823928,5925486.652807419,-0.891079999
179,179,1822452.694175391,5925372.964735646,-0.899999976
180,180,1822392.6534618,5925355.367102661,-0.899999976
181,181,1818651.561956971,5925441.517143065,-0.963
182,182,1817668.918547522,5925426.635736115,1.102255324
183,183,1817709.253422281,5925424.366513038,0.178340671
184,184,1817748.019161643,5925426.792333682,-0.547248255
185,185,1818621.874203298,5925424.902617779,-0.83910765
186,186,1822453.061865962,5925323.89459053,-0.899999976
187,187,1817857.220508816,5925411.969839343,-0.963
188,188,1818097.464806513,5925395.85763854,-0.962703703
189,189,1818075.792194004,5925355.459725911,-0.024333348
190,190,1817896.243774287,5925359.081931613,-0.587218744
191,191,1818088.174037138,5925346.224646721,-0.936299999
192,192,1817747.652830453,5925345.533356785,-0.963
193,193,1818063.914412243,5925328.218807946,-0.963
194,194,1818039.055186313,5925307.583900259,-0.963
195,195,1817507.305097367,5925314.272264272,-0.947673075
196,196,1817926.569563594,5925300.483894718,0.014443037
197,197,1817934.331451382,5925290.311554042,-0.488075
198,198,1817949.855169514,5925269.966848545,-0.082699999
199,199,1817997.953872114,5925268.738048001,-0.913962343
200,200,1817456.404326399,5925257.35788456,-0.771822369
201,201,1822419.76851428,5925137.6801662,-0.899999976
202,202,1817385.143406792,5925144.740647738,1.173624989
203,203,1822411.410437175,5925033.195617571,-0.899999976
204,204,1822387.258395857,5925010.805898747,-0.899999976
205,205,1823100.760795446,5924987.387525667,0.101148149
206,206,1817396.405485596,5925114.532202587,-0.963
207,207,1817384.728045466,5925094.881415688,-0.963
208,208,1817867.844558676,5925062.819783767,-0.963
209,209,1822387.511713961,5924935.991124795,-0.899999976
210,210,1817335.333239547,5925018.669646347,-0.845874868
211,211,1817830.594557911,5925003.915450978,-0.963
212,212,1822693.077234452,5924878.73088027,-0.920709106
213,213,1822449.578663921,5924906.61491295,-0.899999976
214,214,1817271.575711662,5924995.508086343,-0.963
215,215,1823229.213320957,5924844.182531522,0.248275
216,216,1817248.771802662,5924976.970013573,-0.963
217,217,1817190.801624148,5924963.145006495,-0.52231496
218,218,1816944.733050103,5924963.005358168,0.204360409
219,219,1817071.212710022,5924969.204640147,-0.867167342
220,220,1822590.613964569,5924810.99996779,-0.899999976
221,221,1822396.767138456,5924766.385898227,-0.899999976
222,222,1822368.606988997,5924756.9444043,-0.899999976
223,223,1823067.262451681,5924639.157889863,0.313799998
224,224,1822345.837930703,5924652.80658129,-0.899999976
225,225,1822830.92418569,5925089.179343731,-0.356873512
226,226,1822500.4620693,5924583.940226912,-0.899999976
227,227,1822904.00932517,5924592.550854374,0.012954832
228,228,1822436.073584849,5924575.645385566,-0.899999976
229,229,1817592.103791384,5924657.437991084,-0.963
230,230,1822438.365200614,5924515.940319519,-0.899999976
231,231,1822466.444231667,5924488.063928189,-0.899999976
232,232,1822556.263762359,5924437.289827202,-0.899999976
233,233,1822548.014523984,5924408.146723611,-0.899999976
234,234,1822491.356604185,5924394.864739501,-0.899999976
235,235,1822650.276532295,5924358.943002575,-0.685018184
236,236,1822606.880516181,5924342.360856682,-0.870169798
237,237,1822484.990081539,5924341.423873886,-0.899999976
238,238,1822702.406940702,5924278.303795522,-0.44817688
239,239,1822478.581044433,5924237.82021087,-0.899999976
240,240,1818502.882750463,5924318.454971772,-0.899999976
241,241,1822634.686172374,5924212.044998417,-0.669724761
