OID,FID_,X,Y,BCE_Kaipar
287,287,1707676.139006822,6002128.241571669,1.164160338
288,288,1710101.950580204,6002098.495260228,1.444741924
289,289,1712793.593497602,6002063.631385648,1.310315324
290,290,1713675.611740497,6002054.003596372,1.628260571
291,291,1709624.770095078,6002089.540319851,0.11561084
292,292,1714111.553740637,6002016.979894251,1.620600009
293,293,1723133.978558978,6001900.00741201,0.221719292
294,294,1723327.698370698,6001901.495433942,1.249088515
295,295,1709716.520199782,6002096.953068459,0.512568313
296,296,1709729.620032397,6002068.2932748,1.497974975
297,297,1709790.688168698,6002068.110814051,1.432109077
298,298,1709810.305353748,6002067.481717331,1.466910739
299,299,1709971.997306513,6002065.450053298,1.468218138
300,300,1714003.495250321,6002017.333913602,1.510656714
301,301,1723344.58531348,6001893.369794721,1.397895398
302,302,1709664.652634705,6002058.940921243,4.353622625
303,303,1709713.341146866,6002061.077943375,2.021945908
304,304,1709750.145657443,6002064.873323774,1.470223062
305,305,1710133.715294845,6002052.521128167,3.021259231
306,306,1709770.455742303,6002049.056123369,1.687847473
307,307,1709810.055128398,6002047.55266754,1.484285714
308,308,1723303.825472337,6001869.041119514,3.988535204
309,309,1723335.777100075,6001868.423243593,4.957888846
310,310,1709620.46627748,6002045.080997435,2.275967007
311,311,1709785.98184103,6002042.911107264,1.442707031
312,312,1713037.160704375,6001996.387975605,1.402053578
313,313,1713399.667020884,6001991.553133242,1.444924973
314,314,1713460.66481998,6002004.140845193,1.471465568
315,315,1713496.823398696,6001990.116387528,1.532709065
316,316,1723264.057043116,6001885.029638797,1.334049593
317,317,1709794.008305328,6002027.86964873,1.481363668
318,318,1712792.693911201,6001993.879444272,1.626866056
319,319,1713391.433756764,6001981.718347471,1.429048227
320,320,1723149.767140175,6001849.549398953,-0.649054547
321,321,1709591.396948824,6002020.397108284,1.115000004
322,322,1709801.862339722,6002017.682675918,1.498038475
323,323,1710247.98652861,6002327.81859096,1.272888529
324,324,1713383.501394923,6001971.569515515,1.396647856
325,325,1713415.397767289,6001971.642501549,1.503535705
326,326,1723218.256782774,6001843.802262485,0.350425002
327,327,1723246.236076718,6001838.684696127,4.166066665
328,328,1707780.332397431,6002032.535616866,1.338392803
329,329,1709521.141302414,6002015.385784223,0.757253882
330,330,1713043.66735801,6001976.254183616,0.471373979
331,331,1713664.235772085,6001966.405584184,1.64183519
332,332,1723127.378739264,6001848.370683762,-0.007793563
333,333,1713068.189114113,6001997.911022625,0.902919945
334,334,1713376.527570478,6001951.742127175,1.518104168
335,335,1713690.764798516,6001947.933456955,1.897339995
336,336,1713639.11844977,6002036.31190208,1.668267686
337,337,1713896.01165696,6001940.566413066,1.56099999
338,338,1722902.334670764,6001818.470889746,-0.325999975
339,339,1723184.699178525,6001865.929852062,-0.155027472
340,340,1723237.402491569,6001819.211376279,2.878624985
341,341,1709817.993921043,6001999.581400678,1.52530883
342,342,1713097.130894203,6001948.940906191,1.489047625
343,343,1713698.139770133,6001938.59802701,1.921037685
344,344,1713754.722271086,6001937.135521222,2.072850016
345,345,1713887.493959801,6001931.051610608,1.497666717
346,346,1714341.568302476,6001936.456904881,0.812123189
347,347,1709833.704410988,6001982.406699693,1.500569602
348,348,1709866.097258484,6001977.08614058,1.521000051
349,349,1713059.160685935,6001936.39010789,-9999.0
350,350,1713442.579931755,6001944.231470942,0.724703291
351,351,1714231.42101307,6001921.156841578,-0.686178572
352,352,1723025.699071172,6001800.055185195,0.365000003
353,353,1709841.983931339,6001967.856366424,1.505842837
354,354,1709886.451318585,6001967.247127871,1.530212929
355,355,1709967.296380813,6001966.230943758,1.563981644
356,356,1714271.201742925,6001906.005340157,1.51333336
357,357,1709850.333742796,6001958.744592054,1.519807667
358,358,1709930.476235593,6001959.582753695,1.550078289
