OID,FID_,X,Y,BCE_Manaia
71,71,1820025.761704882,5919611.137467199,0.710633333
72,72,1817389.295788512,5919648.935962056,-9999.0
73,73,1820281.394289321,5919351.320236712,0.698699975
74,74,1820369.969508117,5919838.314417058,0.648531123
75,75,1820558.600585145,5919394.247924113,-9999.0
76,76,1820322.543235204,5919314.005861606,0.322222219
77,77,1820337.958241294,5919283.885195279,-0.537650013
78,78,1820357.985702587,5919283.366846415,-0.520125795
79,79,1820289.763381842,5919280.145201228,0.279600007
80,80,1820244.809238039,5919266.559532549,0.664351994
81,81,1820269.085458308,5919255.747829296,1.126587504
82,82,1820200.315594484,5919237.373367636,0.696309096
83,83,1820213.730800218,5919248.09600784,0.687787885
84,84,1820167.763275207,5919232.86445076,0.838866073
85,85,1820239.763572203,5919206.631246889,0.811375005
86,86,1820277.598359255,5919126.058937841,0.986145447
87,87,1820291.658001049,5919122.86384364,1.079028489
88,88,1820300.497622251,5919075.393351711,0.954237512
89,89,1815772.911780059,5919131.508955899,-0.898354407
90,90,1815748.514890011,5919124.866067138,-0.175628543
91,91,1815780.085667477,5919121.353150794,-0.866874977
92,92,1815788.175120879,5919101.200053625,-0.541325008
93,93,1815795.940429299,5919091.038319817,-0.405200018
94,94,1815926.209784266,5919083.254276454,-0.899999976
95,95,1817870.430262257,5919028.215735584,0.093062501
96,96,1817934.515388578,5919026.575246642,-0.441734189
97,97,1815823.629216629,5919084.427324801,-0.544314599
98,98,1815939.618320348,5919067.438061094,-0.575518964
99,99,1815963.397227035,5919056.86086125,-0.899999976
100,100,1817845.748080525,5919018.431909192,0.433287355
101,101,1820145.692990302,5918986.482954684,0.950636797
102,102,1817995.856180738,5919003.38688396,-0.251230963
103,103,1817829.42589522,5918999.083594716,-0.426267433
104,104,1816006.696612003,5919025.840258418,-0.792674977
105,105,1818057.368203527,5918997.472257374,-0.178329749
106,106,1816018.459568061,5919015.567836049,-0.786227831
107,107,1816090.572934553,5919014.464862932,-0.899999976
108,108,1816182.257244909,5918993.534025878,-0.792694813
109,109,1818100.695779559,5918942.526081518,1.715430355
110,110,1817771.953577048,5918941.047001567,0.421379752
111,111,1818112.018839114,5918931.677372708,1.56111319
112,112,1817755.559915466,5918931.70820616,0.633385717
113,113,1820183.187919053,5918859.109185018,1.087313295
114,114,1820206.3728681,5918857.659948396,1.117399964
115,115,1816243.625115316,5918943.211837769,-0.651486219
