OID,FID_,X,Y,BCE_Croisi
239,239,1662322.388981788,5455638.478226652,-0.884500007
240,240,1662903.701518064,5455627.947709429,-0.716857195
241,241,1663827.193458107,5455623.999710019,-0.958750017
242,242,1663812.001675112,5455613.430338311,-9999.0
243,243,1663834.655964602,5455613.961945508,-0.131028575
244,244,1661046.631447589,5455653.224297629,-0.348375053
245,245,1662259.316750486,5455624.213044919,-0.146386663
246,246,1661095.294967539,5455618.089678114,-9999.0
247,247,1661128.69734322,5455637.609059598,0.480052768
248,248,1662943.002469902,5455600.573665845,-0.890882348
249,249,1662956.659723285,5455597.319307082,-0.915000021
250,250,1663103.792848807,5455596.562165366,-9999.0
251,251,1663821.530498376,5455601.350503724,-0.122356017
252,252,1661156.064427518,5455617.087653073,-0.095766668
253,253,1663798.223224143,5455589.174259955,-0.660476958
254,254,1661117.121688501,5455597.227033133,-9999.0
255,255,1661195.83561219,5455596.221491412,-9999.0
256,256,1663018.45736005,5455580.741735701,-0.279134028
257,257,1663072.081239705,5455580.139816627,-9999.0
258,258,1661124.037354354,5455587.196658855,-9999.0
259,259,1661134.875140262,5455576.552476611,-9999.0
260,260,1661195.66914954,5455576.277425809,-0.373810789
261,261,1663785.462906988,5455560.430683629,-0.390329005
262,262,1661176.715739851,5455566.811851827,0.997270276
263,263,1661040.595811133,5455558.178157128,-9999.0
264,264,1661055.694262829,5455558.052441099,-9999.0
265,265,1661214.378664064,5455556.524769891,-0.85600004
266,266,1661236.475878041,5455556.340243298,-9999.0
267,267,1663757.121174944,5455539.601409629,-0.708852088
268,268,1661078.80598492,5455542.175300682,-9999.0
269,269,1663721.591208986,5455522.429853263,-0.432470585
270,270,1661151.352249257,5455541.351454376,-9999.0
271,271,1661134.034798128,5455518.635684404,-9999.0
272,272,1661221.411030902,5455528.661786478,0.250338448
273,273,1663697.728657928,5455495.479256354,-0.869642862
274,274,1660927.85761444,5455611.524820217,-9999.0
275,275,1663682.536095308,5455485.641834497,-0.804299943
276,276,1661093.642947455,5455497.695453553,-9999.0
277,277,1663638.682039264,5455480.922645934,-0.791759968
278,278,1661115.656855193,5455487.539258071,-9999.0
279,279,1663610.034548248,5455449.374641397,-0.584857151
280,280,1663599.036408717,5455406.471362457,-0.924900037
281,281,1663583.143329162,5455389.06295032,-0.584705914
282,282,1663545.448335155,5455347.20878379,-0.657769224
283,283,1663562.6928526,5455354.279182766,-0.184261524
284,284,1663537.812874206,5455337.302166811,-0.19526321
285,285,1663530.177433658,5455327.395541962,-0.377916645
286,286,1663522.45561022,5455307.516863821,0.283763634
287,287,1663514.647433757,5455277.666131552,-0.189866666
288,288,1663507.012084761,5455267.759482722,-0.64383335
289,289,1663506.102712498,5455222.907547586,-0.339690006
290,290,1663482.250300743,5455201.298686072,-0.575600522
291,291,1663457.167018863,5455178.435953904,-0.096862054
292,292,1650187.910995543,5455277.298542214,-0.574666631
293,293,1650235.291617082,5455270.259115896,-9999.0
294,294,1663445.757421909,5455168.561914344,-0.582910714
295,295,1650263.914593067,5455256.97493019,-0.560889811
296,296,1650295.569126534,5455253.3694977,-9999.0
297,297,1650312.653442861,5455240.539959758,-9999.0
298,298,1650257.5962569,5455220.243885974,1.015102045
299,299,1650355.584279327,5455220.504771505,-9999.0
300,300,1663407.258812439,5455099.289961293,-9999.0
301,301,1663429.731568544,5455134.210753665,-0.159195433
302,302,1650363.078472815,5455190.331355736,-9999.0
303,303,1663414.871912878,5455089.04679483,0.122949366
304,304,1663407.236889819,5455079.140042943,0.239800017
305,305,1650375.568332572,5455176.948908256,-0.955600011
306,306,1663361.44898123,5455039.849285264,-9999.0
307,307,1663393.27427302,5455052.812013639,-0.29160472
308,308,1663346.179200737,5455020.035663625,-9999.0
309,309,1650395.450902767,5455131.261188862,-0.915597673
310,310,1650377.408248792,5455100.685129247,0.634499997
311,311,1663330.629619065,5454970.312993439,0.016472989
312,312,1650411.356653316,5455075.316062356,-0.832478214
313,313,1662636.155806917,5454956.122857073,-0.533600049
314,314,1663281.200765664,5454966.385856558,-0.485269017
315,315,1662737.934216448,5454940.293324552,-0.143470632
316,316,1662768.12865312,5454940.034830049,0.190658409
317,317,1662798.280375677,5454934.790206868,-9999.0
318,318,1663119.096070799,5454932.034817616,-9999.0
319,319,1662726.483306325,5454925.432150586,-0.614800042
320,320,1662818.541966225,5454920.654708603,-0.710600007
321,321,1663186.996678305,5454927.175785892,-9999.0
322,322,1650426.502357109,5455025.595026019,-0.621409662
323,323,1662627.39988327,5454905.561232701,1.02054899
324,324,1662680.565239009,5454930.904889982,-0.742310345
325,325,1663064.074603555,5454908.737543276,-0.913999915
326,326,1663095.572367886,5454912.927007149,-9999.0
327,327,1662838.81137444,5454899.675523738,-9999.0
328,328,1662877.198573587,5454894.222569268,-9999.0
329,329,1650440.946621712,5454982.445923019,-0.699778335
330,330,1662948.824291129,5454883.635045212,-0.647318206
331,331,1663015.385718781,5454897.062729777,-0.218815078
332,332,1662670.729093438,5454879.369401634,-0.206907437
333,333,1650459.530317764,5454945.342372949,-0.653457509
