OID,FID_,X,Y,BCE_Houhor
165,165,1613707.286208775,6146104.811071235,0.501789214
166,166,1612669.387562594,6146081.853262029,-9999.0
167,167,1613696.026190542,6146080.582296704,-0.018600021
168,168,1612653.363304361,6146062.15622899,-9999.0
169,169,1613687.783095002,6146061.399144411,-9999.0
170,170,1612618.425217247,6146134.382120719,0.671847497
171,171,1612677.385716442,6146047.18042718,0.311857119
172,172,1613568.549511304,6146056.135890502,-9999.0
173,173,1612586.450730317,6146026.813151337,-9999.0
174,174,1613572.105891782,6146011.034384143,-9999.0
175,175,1613572.076415803,6145991.110975222,-9999.0
176,176,1613572.046939689,6145971.18756571,-9999.0
177,177,1613662.807338773,6145951.333678012,-9999.0
178,178,1613671.365879177,6145926.376224329,-9999.0
179,179,1613654.685722738,6145904.640769407,-9999.0
180,180,1613670.26642746,6145886.315493664,-0.071040039
181,181,1613621.770681757,6145861.534860754,-9999.0
182,182,1613638.125129589,6145811.701916614,-9999.0
183,183,1612079.675790349,6145596.105066839,0.143333333
184,184,1612414.346218803,6145762.163227304,0.180649939
