OID,FID_,X,Y,BCE_Mangon
510,510,1649702.498475315,6125249.533760427,0.846651437
511,511,1649513.963657652,6125245.579168038,1.01745002
512,512,1650736.921363259,6125332.36711497,0.69176095
513,513,1650963.971382121,6125244.390958018,1.698087048
514,514,1650989.181628383,6125226.75145329,1.896556611
515,515,1650997.664339765,6125218.308147851,1.946360651
516,516,1651046.497683509,6125216.468005379,4.742825558
517,517,1651095.293237029,6125217.050888827,4.566723947
518,518,1649522.024259431,6125220.629233799,1.071881258
519,519,1649124.180012823,6125230.473554723,1.153013381
520,520,1649155.7985607,6125204.182758497,0.948391069
521,521,1649530.111896772,6125200.660372013,0.992487482
522,522,1649813.277458488,6125194.715717427,1.056616269
523,523,1649891.241276912,6125194.602587536,1.006682112
524,524,1650636.541045879,6125190.324556879,0.980926053
525,525,1650824.876803891,6125188.752045872,2.028964965
526,526,1649964.248057241,6125183.550335498,0.967758611
527,527,1650744.671765247,6125178.30820121,2.001059431
528,528,1650781.222173693,6125197.880045547,1.784716363
529,529,1650833.188165833,6125179.266945439,2.3637278
530,530,1649135.791132586,6125187.414642955,1.170509149
