OID,FID_,X,Y,BCE_Ruatan
39,39,1571977.153284908,5500904.248932675,1.295175655
40,40,1571583.747070797,5500869.153858776,0.588199996
41,41,1571520.382230272,5500798.739528632,0.526351148
42,42,1571500.781492068,5500778.730080044,0.499093751
43,43,1571485.427150057,5500759.092288006,0.368485713
44,44,1572233.960582398,5500762.505799731,0.935725496
45,45,1571430.03042668,5500692.226844107,0.883171701
46,46,1571387.071786998,5500659.000629694,0.979800001
47,47,1571364.362959329,5500638.970441637,0.946857144
48,48,1571347.142233544,5500621.713848275,0.945706461
49,49,1571306.650866146,5500567.701170688,0.947765403
50,50,1571196.366739687,5500436.828082259,0.975135578
51,51,1572191.004287141,5500919.093130446,1.591537426
52,52,1572733.39697662,5500125.603724573,1.551885729
53,53,1572730.936096504,5500106.054895376,0.774880737
54,54,1572748.732449892,5500085.774396092,1.135937507
55,55,1572755.262100278,5500075.691585884,1.28286
56,56,1572607.816526901,5500450.077457179,1.527537709
57,57,1572931.293504091,5500006.670120899,1.338052608
58,58,1572209.924947195,5499974.094934282,0.907800003
59,59,1572380.801194325,5499974.731564635,1.082617399
60,60,1572952.238463198,5500149.902139262,1.502901109
61,61,1572772.392588248,5499846.547753565,0.789599993
62,62,1570955.184925866,5500074.368230592,1.341746434
63,63,1570779.869220194,5499798.723637944,0.802528982
64,64,1572797.968194711,5499794.299010079,0.777972568
65,65,1570794.547420736,5499774.657143631,0.865338223
66,66,1570805.647046332,5499749.54742145,0.908075469
67,67,1572816.177118236,5499757.471208625,0.741427208
68,68,1572839.274696256,5499730.551730199,0.712549425
69,69,1572858.526522265,5499710.015724877,0.745818176
70,70,1572879.25929407,5499697.36746974,0.820574996
71,71,1572898.281175246,5499687.465425595,0.888688355
72,72,1570930.647242657,5499584.086311583,1.110795544
73,73,1570696.8903993,5499646.018536112,1.212441407
74,74,1570616.423448792,5499519.151547751,1.475102143
75,75,1570400.46245254,5499508.426802082,0.203093338
76,76,1570651.722572461,5499502.495196027,0.868992774
77,77,1570554.232300302,5499466.899825492,0.85551051
78,78,1570706.163245363,5499463.063042138,0.995185415
79,79,1570634.237492697,5499431.644245128,0.499243075
80,80,1570880.576153541,5499466.09898446,1.241531537
81,81,1572981.305983434,5499378.771623739,0.754548376
82,82,1570723.870322779,5499320.136144192,0.951102578
83,83,1570256.216277543,5499385.884212544,1.397887577
84,84,1570800.694173632,5499231.184563294,0.85795523
85,85,1570819.425917155,5499181.026119265,0.637893332
86,86,1570770.574674574,5499091.295868702,0.488307701
87,87,1570167.13091979,5499132.020872025,1.445656057
88,88,1572146.013505096,5498747.577490043,-0.366722218
89,89,1572139.49490555,5498693.935423901,-0.175565398
90,90,1572113.026425703,5498618.333143811,-0.115059603
91,91,1572200.708223829,5498571.831504322,-0.169203119
92,92,1572173.926083629,5498538.659234483,-0.109499997
93,93,1572145.397033557,5498540.00696782,0.083994351
94,94,1572131.688462314,5498517.772232276,0.080698112
95,95,1572432.847176876,5498382.240223822,-0.072724965
96,96,1571821.772256814,5498148.069966834,0.538320758
97,97,1572095.450857103,5498099.041038137,0.01842857
98,98,1572330.820992091,5498099.921125552,0.572712501
99,99,1572686.521435115,5498107.115299176,-0.078653354
100,100,1572638.375740216,5498086.102759929,0.00296
101,101,1572252.562321907,5498099.435003865,0.710957155
102,102,1572619.467796072,5498066.090273914,-0.000265218
103,103,1572095.747660433,5498019.999451247,0.3500625
104,104,1571306.170461685,5498664.139952878,1.192245075
105,105,1571906.050894595,5497988.64171589,0.023199997
106,106,1571919.447217039,5498089.746907328,1.041181681
107,107,1571887.146474535,5497968.279235884,-0.004603961
