OID,FID_,X,Y,BCE_Patter
225,225,1224901.351961419,4794091.343761953,-9999.0
226,226,1225016.580826564,4794058.237629093,-9999.0
227,227,1230429.594810381,4794396.178172046,-9999.0
228,228,1217005.429232899,4793547.217795323,-9999.0
229,229,1219319.736974245,4793688.072287619,-9999.0
230,230,1219837.383021457,4793718.276851113,-9999.0
231,231,1224018.353418977,4793993.107823309,-9999.0
232,232,1224532.728687418,4794008.679135189,-9999.0
233,233,1225038.597751325,4794039.758469214,-9999.0
234,234,1230426.447850054,4794376.680066122,-9999.0
235,235,1219300.288219911,4793667.127261005,-9999.0
236,236,1219399.675407367,4793673.135613739,-9999.0
237,237,1219420.196382261,4793674.445842845,-9999.0
238,238,1221454.864187901,4793804.474074902,-9999.0
239,239,1217025.5339885,4793525.054006065,-9999.0
240,240,1219431.541580894,4793667.026363309,-9999.0
241,241,1219280.546561314,4793647.653406187,-9999.0
242,242,1219449.759635799,4793659.632256605,-9999.0
243,243,1219821.477634635,4793680.213844519,-9999.0
244,244,1223281.022193929,4793911.070573859,-9999.0
245,245,1224021.451558846,4793946.154623451,-9999.0
246,246,1221426.549369086,4793778.198796471,-9999.0
247,247,1224031.29104103,4793936.357961417,-9999.0
248,248,1224514.546699391,4793972.052750447,-9999.0
249,249,1225090.410406624,4794023.658692111,-9999.0
250,250,1219466.888387591,4793642.354634213,-9999.0
251,251,1219812.211431489,4793660.044941791,-9999.0
252,252,1223878.301845999,4793936.99593926,-9999.0
253,253,1224042.950141883,4793926.852203879,-9999.0
254,254,1225005.196853536,4794002.563914078,-9999.0
255,255,1223250.302010494,4793878.749467894,-9999.0
256,256,1224053.953553453,4793918.125977637,-9999.0
257,257,1223234.052068689,4793856.601766529,-9999.0
258,258,1224954.387444421,4793965.085367117,-9999.0
259,259,1230375.728488083,4794303.433420601,-9999.0
260,260,1219799.118648861,4793636.174616626,-9999.0
261,261,1223224.422430546,4793845.973260489,-9999.0
262,262,1223946.178706317,4793913.163201105,-9999.0
263,263,1224853.402118539,4793954.72324582,-9999.0
264,264,1219777.440773179,4793616.877249864,-9999.0
265,265,1223218.087641323,4793835.350767153,-9999.0
266,266,1224830.336966648,4793944.755058872,-9999.0
267,267,1224845.933482143,4793939.943489217,-9999.0
268,268,1224982.591012474,4793947.48932276,-9999.0
269,269,1224791.854193153,4793924.932196858,-9999.0
270,270,1224903.218220338,4793943.242615994,-9999.0
271,271,1217058.125863413,4793450.676276432,-9999.0
272,272,1220237.067019785,4793626.350284542,-9999.0
273,273,1224131.292511918,4793872.437286908,-9999.0
274,274,1224259.549760303,4793879.546560283,-9999.0
275,275,1224953.09261329,4793937.024570078,-9999.0
276,276,1230278.943574963,4794256.78702279,-9999.0
277,277,1219718.535625147,4793593.070367328,-9999.0
278,278,1220313.381973848,4793628.212316519,-9999.0
279,279,1224724.958425695,4793900.54867707,-9999.0
280,280,1224759.658436096,4793902.733089092,-9999.0
281,281,1219396.925445024,4793596.257667901,-9999.0
282,282,1224219.599491613,4793858.387778888,-9999.0
283,283,1224293.406412955,4793865.461912447,-9999.0
284,284,1219572.446954931,4793554.483979527,-9999.0
285,285,1219610.128188536,4793557.201922831,-9999.0
286,286,1219656.082427404,4793560.114857906,-9999.0
287,287,1219720.226716018,4793564.070523825,-9999.0
288,288,1220519.488671465,4793614.26471432,-9999.0
289,289,1221011.982210612,4793645.598265817,-9999.0
290,290,1224007.62733868,4793857.626483766,-9999.0
291,291,1224665.348495831,4793884.649790259,-9999.0
292,292,1219556.146186633,4793533.017482698,-9999.0
293,293,1220565.701609096,4793597.539189383,-9999.0
294,294,1220585.740945312,4793598.441430942,-9999.0
295,295,1222641.991252961,4793728.604924225,-9999.0
296,296,1223189.506694084,4793789.351668662,-9999.0
297,297,1219535.67699524,4793525.930853298,-9999.0
298,298,1220158.866836445,4793561.233762178,-9999.0
299,299,1220435.068189193,4793579.108020428,-9999.0
300,300,1220596.636427939,4793589.114562791,-9999.0
301,301,1226069.07826061,4793992.26260719,-9999.0
302,302,1220992.237277331,4793611.874967123,-9999.0
303,303,1222536.454050089,4793702.249304624,-9999.0
304,304,1223175.858372638,4793742.906974304,-9999.0
305,305,1219587.965221779,4793505.821511935,-9999.0
306,306,1224059.022277906,4793788.453055042,-9999.0
307,307,1224635.02730125,4793832.003120782,-9999.0
308,308,1222759.644078062,4793697.064790121,-9999.0
309,309,1223170.158060278,4793722.373370134,-9999.0
310,310,1224627.307255298,4793814.349979866,-9999.0
311,311,1221337.177335819,4793677.858958669,-9999.0
312,312,1224149.05063343,4793774.315717706,-9999.0
313,313,1224266.599743066,4793785.506294091,-9999.0
314,314,1224539.08899854,4793798.668062308,-9999.0
315,315,1224617.275312797,4793803.886791305,-9999.0
316,316,1220242.725807383,4793519.67406539,-9999.0
317,317,1221263.022251023,4793581.760577353,-9999.0
318,318,1224138.654461733,4793763.978142157,-9999.0
319,319,1224290.030753175,4793773.307913821,-9999.0
320,320,1224568.019430423,4793804.765950986,-9999.0
321,321,1224601.011076081,4793793.82769934,-9999.0
322,322,1222732.640039071,4793726.39478738,-9999.0
323,323,1224273.90329056,4793763.171203084,-9999.0
324,324,1224505.992600081,4793776.615236646,-9999.0
325,325,1220655.857933193,4793522.817070196,-9999.0
326,326,1222513.584096731,4793641.40040083,-9999.0
327,327,1224100.36452677,4793753.691549215,-9999.0
328,328,1224291.97385798,4793753.54443655,-9999.0
329,329,1220663.387832914,4793513.892249295,-9999.0
330,330,1220293.430191016,4793483.177026412,-9999.0
331,331,1220695.20545572,4793506.707473967,-9999.0
