OID,FID_,X,Y,BCE_Raglan
122,122,1764485.766635973,5815030.74310362,-0.634208954
123,123,1764540.678984384,5815030.745111809,0.286528301
124,124,1763488.305855689,5815021.85672741,-9999.0
125,125,1764164.810605967,5814998.999083708,-9999.0
126,126,1764515.956018385,5815118.35446116,-0.310491675
127,127,1764129.612399199,5814992.404112855,-9999.0
128,128,1763424.262830606,5814983.206550881,-9999.0
129,129,1763392.503031673,5814963.250909245,-0.449296849
130,130,1764371.429421192,5814986.330078471,-0.597352251
131,131,1763360.421920113,5814941.290568694,-0.266344236
132,132,1764370.864120594,5814913.251308946,-0.658073178
133,133,1773526.674836243,5814729.202034359,-0.647428564
134,134,1763098.164703393,5814899.965174302,-0.619923044
135,135,1762505.089692394,5814899.473948006,-9999.0
136,136,1762993.095730689,5814891.730905741,-0.680482766
137,137,1763030.743267131,5814891.680116858,-0.904999961
138,138,1762481.122951229,5814890.359749,-9999.0
139,139,1764152.592328622,5814877.490768173,-0.528749042
140,140,1766470.774026099,5814823.068436831,-0.570498048
141,141,1764086.258305154,5814850.402600212,-9999.0
142,142,1762434.068612863,5814872.678131169,-9999.0
143,143,1764134.900916203,5814843.71538332,0.491873685
144,144,1764070.041749839,5814830.782119828,-0.815571417
145,145,1764234.221856643,5814856.427727479,-0.651147268
146,146,1764383.566834917,5814859.406998829,1.427184694
147,147,1764095.616311672,5814826.496176219,0.213737806
148,148,1762402.970521994,5814856.320065686,0.291963852
149,149,1764045.915811346,5814811.319320906,-0.850230735
150,150,1764378.113725004,5814809.995183588,2.283384622
151,151,1762206.599924919,5814835.109766443,1.784999967
152,152,1762384.734547834,5814834.302596388,-9999.0
153,153,1764071.790782718,5814807.26493518,0.227382611
154,154,1764025.744706935,5814791.777608142,-0.773256387
155,155,1764195.245654482,5814841.330383869,0.983609719
156,156,1764344.444487935,5814789.838542503,1.522555587
157,157,1764005.573697248,5814772.235854253,-0.908666631
158,158,1764345.678841105,5814765.449004621,-9999.0
159,159,1762285.091410954,5814824.275574155,1.402955698
160,160,1762304.839792882,5814795.264242426,-9999.0
161,161,1764019.103811278,5814771.967844045,-0.490428573
162,162,1762284.883814008,5814786.413430326,-9999.0
163,163,1764236.38515259,5814764.077485744,1.174300681
164,164,1764255.855039379,5814781.077885672,0.493311772
165,165,1762231.860761794,5814777.48056875,0.116066986
166,166,1763985.204098913,5814742.726070377,-0.723053304
167,167,1764010.055785327,5814755.215840688,-0.193282067
168,168,1764358.99317566,5814740.193037136,-0.50749998
169,169,1763964.834642057,5814713.216244792,-0.852901598
170,170,1764274.017431166,5814742.19447518,-9999.0
171,171,1764361.764714943,5814687.855230355,0.53658574
172,172,1767974.406623603,5814624.696140687,-0.302981428
173,173,1763951.620176776,5814690.210105741,-0.393385413
174,174,1766664.945463106,5814630.98896299,0.083938757
175,175,1767947.03493182,5814602.295213948,-0.347715591
176,176,1767728.734059908,5814597.659581431,-0.497500002
177,177,1764382.841753777,5814654.791131482,2.748173311
178,178,1763938.346696136,5814654.590403931,-0.051069756
179,179,1767941.600417568,5814577.579541049,-0.112736367
180,180,1764280.014917401,5814647.096952097,-0.942214261
181,181,1764390.41552782,5814639.255636562,1.698548156
182,182,1763892.439921845,5814624.911345115,-9999.0
183,183,1764287.327054361,5814617.035057945,-0.964199972
184,184,1764405.582380294,5814595.455862982,-0.342796317
185,185,1764444.696247878,5814591.968337012,0.762270832
186,186,1763816.829969277,5814569.857734077,-0.975222203
187,187,1763573.94943742,5814561.654390631,-9999.0
188,188,1763810.811904773,5814769.011261662,-9999.0
189,189,1763880.072727945,5814558.8031824,0.352616727
190,190,1767532.779685464,5814486.758200839,-9999.0
191,191,1763842.620857318,5814536.15629124,-0.885869568
192,192,1763722.83565701,5814488.889206712,-9999.0
