OID,FID_,X,Y,BCE_Aotea_
193,193,1761456.075762227,5795790.373077941,0.142829392
194,194,1761533.883494472,5795759.776114398,0.257020833
195,195,1762271.361800612,5795745.485215341,0.402481131
196,196,1762318.941946446,5795739.243112029,0.369749993
197,197,1763510.700247445,5795865.248731565,0.154462127
198,198,1764540.336788278,5795702.288690635,0.653721992
199,199,1760629.067160136,5795753.987420414,0.168267716
200,200,1760854.414247813,5795738.476687746,-0.088272722
201,201,1762227.165337533,5795715.562838659,0.432379636
202,202,1762317.16504144,5795716.010041195,0.374539459
203,203,1764170.88323325,5795682.685277464,0.99629427
204,204,1764593.941190349,5795652.500086131,1.055769217
205,205,1760885.303894614,5795722.131800429,-0.10531132
206,206,1760950.399766394,5795739.483643825,-0.294102194
207,207,1761189.89652358,5795717.132623678,0.011772511
208,208,1762298.069927704,5795690.004456166,0.379999997
209,209,1762313.851889793,5795689.691178994,0.347090919
210,210,1760805.432347467,5795718.937696286,-0.158658427
211,211,1762337.045664029,5795683.465571136,0.370657404
212,212,1760577.446868231,5795704.032509591,0.055740741
213,213,1760628.462302741,5795698.148314259,0.129829384
214,214,1760784.199134694,5795777.492956446,0.008864099
215,215,1760766.633471886,5795690.342848633,-0.153740744
216,216,1760832.858113832,5795702.427348613,-0.112825185
217,217,1762486.578034938,5795660.551045175,0.271174316
218,218,1762305.169415743,5795649.974946357,0.341759256
219,219,1764254.23521512,5795611.052582597,0.221075471
220,220,1760901.497438327,5795686.028719898,-0.17759838
221,221,1764262.236090744,5795600.504064366,0.219963631
222,222,1760821.28181427,5795659.352005236,-0.115370368
223,223,1761310.222897079,5795663.406021366,0.158471783
224,224,1764293.779807403,5795597.078563978,0.26469804
225,225,1764389.029622022,5795618.575763578,0.290560566
226,226,1762184.823516896,5795634.28846935,0.348881561
227,227,1760792.22211705,5795653.045570127,-0.154012196
228,228,1760852.171210765,5795643.007233631,-0.150055558
229,229,1761531.069791656,5795625.416146336,0.313072723
230,230,1762143.197247311,5795613.676569939,0.347401874
231,231,1763347.629487949,5795666.809784893,0.115674541
232,232,1760892.030019275,5795628.04397889,-0.229214288
233,233,1761195.770100479,5795660.388799204,-0.007759866
234,234,1761297.609143296,5795632.570020338,-0.03317413
235,235,1761342.127448887,5795627.186044687,0.023176605
236,236,1762245.33228624,5795608.757200675,0.255755638
237,237,1762290.192189838,5795604.605513546,0.261859997
238,238,1760843.974056838,5795609.045367253,-0.18543636
239,239,1761486.999920106,5795601.460306617,0.192488152
240,240,1764306.512501734,5795542.572837627,0.21067638
241,241,1761526.590249454,5795590.394560746,0.175335475
242,242,1760839.595524017,5795579.007591639,-0.219183368
243,243,1761400.075427499,5795558.574938108,-0.045476191
244,244,1762303.452403596,5795557.862672021,0.114253541
245,245,1762227.481348005,5795544.150644056,0.228571429
246,246,1764768.451691595,5795476.096446232,1.055828954
247,247,1760878.070539346,5795589.035853409,-0.270369158
248,248,1762106.55201304,5795514.824665491,0.376379747
249,249,1762593.137241649,5795512.665972479,-0.316506562
250,250,1761107.132831726,5795514.492135314,-0.332457948
251,251,1761327.877851986,5795500.167309303,0.028443395
252,252,1761458.506116905,5795514.614769971,0.053174825
253,253,1762643.463611017,5795498.027404315,-0.522750838
254,254,1762503.485356209,5795611.603235909,0.014899259
255,255,1762442.080866702,5795473.865167566,-0.196822707
256,256,1760825.643317469,5795479.76923919,-0.215777771
257,257,1761066.893462443,5795475.39666536,-0.288769227
258,258,1762454.808905103,5795446.767933135,-0.321122653
259,259,1761365.683468769,5795459.623773918,0.146481483
260,260,1761472.486776471,5795457.047675163,0.21437037
261,261,1762060.267488253,5795450.507847907,0.318037382
262,262,1762143.199185713,5795443.773625584,0.331074081
263,263,1761353.920912096,5795449.000888742,0.194321424
264,264,1761614.322888881,5795444.273084857,0.356444449
265,265,1762434.958525989,5795428.010082564,-0.345109087
266,266,1764525.362932817,5795386.614005663,1.216000018
267,267,1761378.827482553,5795439.472092756,0.201746836
268,268,1761441.094174116,5795453.255134485,0.238686714
269,269,1761514.419087088,5795442.559705547,0.182708573
270,270,1761393.29945911,5795428.279454276,0.194296298
271,271,1762120.357006038,5795414.829558942,0.247645566
272,272,1762138.190512765,5795403.192335293,0.212889909
273,273,1761031.384777453,5795433.111759053,-0.451763485
274,274,1761850.573764262,5795399.711128393,0.338509438
275,275,1761317.170694033,5795407.072039391,0.198057891
276,276,1761392.117099659,5795403.008996534,0.229177568
277,277,1762395.221028288,5795383.197640247,-0.388268521
278,278,1761302.048212068,5795389.724490887,0.218247708
279,279,1761932.255815213,5795470.273367058,0.330487637
280,280,1761992.662958345,5795408.867576537,0.253560277
281,281,1762592.937404503,5795397.611042896,-0.59141047
282,282,1760833.843083332,5795401.124599828,-0.648613634
283,283,1761358.015952626,5795392.336228747,0.231123456
284,284,1761470.91179248,5795377.301999009,0.288555556
285,285,1761828.840474626,5795381.811489885,0.327148201
