OID,FID_,X,Y,BCE_Tamaki
179,179,1769644.600501348,5917094.691587741,0.202499988
180,180,1769652.446672349,5917084.864670489,0.321948049
181,181,1767209.898488172,5917112.988540955,1.162049996
182,182,1767222.827270269,5917096.071512693,0.577015876
183,183,1767193.296969678,5917083.403501943,0.872374993
184,184,1767245.594325489,5917095.3829415,0.839200005
185,185,1767177.10160957,5917074.478374878,0.427490567
186,186,1767265.162913371,5917072.020159886,1.8099178
187,187,1767296.606775915,5917071.401780377,-0.075754719
188,188,1767272.973790158,5917061.896099995,1.98416439
189,189,1767142.961468239,5917062.000027297,0.824807249
190,190,1767288.791755255,5917051.614477575,1.958499996
191,191,1767075.857419823,5917044.280365015,4.510376048
192,192,1767108.80903476,5917044.373888303,0.517933467
193,193,1767320.813819501,5917043.052111682,0.498425593
194,194,1767015.985722518,5917027.791175684,0.815283024
195,195,1767076.456323883,5917026.460796144,0.702485976
196,196,1767304.31523872,5917026.382988465,1.313751594
197,197,1767037.315527255,5917019.096075815,0.712123894
198,198,1767312.027887944,5917011.275681028,0.613774998
199,199,1767328.027224857,5917010.233942864,-0.064735854
200,200,1767016.886263097,5917006.196818592,0.962987807
201,201,1767319.83865027,5917001.151573331,0.396175
202,202,1766953.905842282,5917003.921772812,0.781432925
203,203,1766927.132185141,5916988.903274922,0.897848113
204,204,1767327.453329049,5916981.060848592,0.704245208
205,205,1766916.448853367,5916978.588497574,0.966984116
206,206,1766991.394062139,5916990.622644079,0.99555196
207,207,1766823.218757877,5916971.024404503,1.028490548
208,208,1766903.579643021,5916968.152524617,0.999636348
209,209,1766834.449587265,5916960.83369082,0.975527951
210,210,1767342.682881966,5916940.879188231,0.013874995
211,211,1766856.79116597,5916944.907448436,0.99506133
212,212,1767334.237383305,5916862.977037717,0.264930233
213,213,1769093.588008621,5916776.63381465,-0.684305555
214,214,1769165.49031378,5916775.405247146,-0.946274498
215,215,1769157.245039713,5916755.426394647,1.466962
216,216,1769181.264505344,5916754.94885856,-0.692499991
217,217,1769205.284621277,5916754.470926781,-0.911794896
218,218,1769260.934402825,5916733.422772817,-0.917594956
219,219,1769254.832294361,5916717.480474221,-0.809531919
220,220,1769300.173927213,5916692.759388347,-0.923250009
221,221,1769339.809957859,5916672.029106322,-0.808750008
222,222,1769379.445801941,5916651.298632226,-0.485974015
223,223,1767151.792669479,5916693.621630251,-0.191684528
224,224,1769443.299610082,5916640.056108211,-0.879875003
225,225,1769419.081570001,5916630.567811684,-0.418607591
226,226,1769467.120629843,5916629.610878941,-0.886250002
227,227,1769434.896116193,5916620.282100588,0.478124994
228,228,1769458.668093098,5916609.896154866,-0.152948717
229,229,1767138.084522798,5916660.242782599,-0.194294825
230,230,1768845.86924159,5916402.673381255,-0.179249995
231,231,1768837.665129297,5916392.865474182,-0.247500003
232,232,1768829.362206991,5916378.074569458,-0.267062502
233,233,1766641.432156899,5916296.320559737,4.796559316
234,234,1768767.121100547,5916253.007754499,-0.353064772
235,235,1766568.742294115,5916187.541329617,0.914072214
236,236,1768625.140814036,5916140.892746587,-0.168427095
237,237,1768501.523103383,5916050.766302653,0.121237112
238,238,1768461.803650697,5916032.886378148,0.092531293
239,239,1768417.037618745,5916007.692660544,0.208611897
240,240,1768346.672133758,5915980.233839297,0.222713181
241,241,1768296.370879663,5915954.920604732,0.2660625
242,242,1768259.147013278,5915895.106791802,0.584901955
243,243,1766438.043666699,5915737.252850782,0.0475625
244,244,1768221.77364343,5915627.728093538,0.811632648
245,245,1768236.997900419,5915608.174494371,0.921595737
246,246,1767580.891222409,5915587.952348108,0.517735843
247,247,1767563.788082492,5915560.598064273,0.961124988
248,248,1767627.674134245,5915559.540200817,0.434629626
249,249,1767579.60252871,5915550.316141253,0.860499983
250,250,1766434.62931198,5915562.837140633,0.335000002
251,251,1767595.417007851,5915540.033630182,0.856249977
252,252,1767671.902325102,5915539.11001195,0.403240743
253,253,1768274.766743506,5915554.537270794,1.037992453
254,254,1767611.231483489,5915529.751497587,0.906374978
255,255,1767627.202488842,5915519.721807881,1.060921044
256,256,1768304.131338727,5915509.071874983,0.557989419
257,257,1768408.4542189,5915508.062370594,0.814201468
258,258,1767650.886634739,5915509.056550625,0.890749982
259,259,1767915.895757736,5915505.421325987,0.35744726
