OID,FID_,X,Y,BCE_Lyttel
53,53,1581739.952785142,5170755.689047532,0.27204171
54,54,1581732.468601848,5170747.976165181,0.471837883
55,55,1581703.448739116,5170738.367816363,0.086000047
56,56,1581529.391433812,5170715.444108421,-0.22350247
57,57,1582957.523379269,5170709.383634634,1.120323064
58,58,1585240.338093627,5170707.074790789,-0.938222203
59,59,1585014.521727259,5170671.284388657,0.097259457
60,60,1581504.272920644,5170650.280218647,-0.239967741
61,61,1585032.595935803,5170655.841411894,-0.229727273
62,62,1581490.233297084,5170630.297988759,-0.247415908
63,63,1581443.162119143,5170615.203088912,-0.072571456
64,64,1581430.371448795,5170597.917233025,0.630229571
65,65,1581410.232798505,5170585.478111228,0.470043477
66,66,1582055.992285958,5170591.982012997,0.200265663
67,67,1581384.880324134,5170565.897786932,0.195872748
68,68,1581120.402358036,5170544.56432937,-0.266625629
69,69,1581157.076009406,5170544.581995165,0.510400037
70,70,1582060.620966663,5170549.508612284,2.54777779
71,71,1581348.468605217,5170526.07429029,-0.47965956
72,72,1581021.082774544,5170520.837504036,-0.159941929
73,73,1581329.39435931,5170502.531529093,0.406092897
74,74,1580940.286984603,5170491.223455328,0.434520321
75,75,1580891.970838714,5170465.507016514,0.844058627
76,76,1581194.766748045,5170483.244520866,0.491365091
77,77,1581207.143773363,5170444.713393095,-0.396303035
78,78,1581305.11376144,5170445.822881089,1.453925937
79,79,1582183.639313378,5170429.51602214,0.122229194
80,80,1580870.087604494,5170426.28644123,1.065130716
81,81,1581272.03860809,5170404.181475678,-0.030835526
82,82,1580871.037308539,5170388.688766035,0.754885503
83,83,1580171.096647762,5170362.78073812,-0.375686951
84,84,1580202.348980578,5170363.054736759,0.42722857
85,85,1582212.107213857,5170372.864451041,1.573500005
86,86,1580222.269216293,5170342.339533507,-0.411444436
87,87,1580938.031621976,5170343.442875803,-0.178550465
88,88,1580232.825082765,5170281.432432169,0.952989684
89,89,1580222.92084389,5170252.559246299,4.489727259
90,90,1580465.720590283,5170252.543998807,0.474959192
91,91,1582220.587294961,5170263.255770789,1.168269018
92,92,1580418.637635944,5170243.157532676,-0.396839989
93,93,1582647.14692031,5170250.474721077,5.59800005
94,94,1582690.532122081,5170258.593070181,0.11499354
95,95,1580393.110703039,5170233.467961734,0.373285715
96,96,1580483.881279462,5170238.359623672,0.722735725
97,97,1582793.525588936,5170240.410293678,-0.639870344
98,98,1582746.249411377,5170233.170794891,0.044689901
99,99,1580198.936992003,5170214.829871842,2.92990409
100,100,1580355.640212291,5170219.059842864,-0.129701361
101,101,1580154.245068397,5170192.497199275,-0.125984364
102,102,1580174.760325051,5170199.208926097,3.630446842
103,103,1580295.386455592,5170201.335686873,-0.498438407
104,104,1580936.32044646,5170196.21618839,-0.385076945
105,105,1580241.09799965,5170182.845517096,-0.265844027
106,106,1580217.970493793,5170176.795898141,0.173861642
107,107,1580502.813196458,5170189.90448663,-0.13650923
108,108,1582219.987628169,5170178.417220377,2.167730787
109,109,1580901.679922775,5170171.151105332,-0.194926502
110,110,1580516.773272536,5170158.790933851,1.060050365
111,111,1580877.683368074,5170150.704185854,-0.074673023
112,112,1580201.427533739,5170140.561885528,1.850795835
113,113,1580546.402820606,5170124.559240472,-0.803634576
114,114,1580558.417418042,5170111.198701008,-0.646849519
115,115,1580567.855443174,5170094.220768275,-0.438343726
116,116,1582632.995827806,5170099.900714054,-0.635906247
117,117,1579277.694330602,5170080.55365347,-0.409462357
118,118,1582577.336012173,5170100.248376969,0.610625002
119,119,1579197.960437105,5170040.047244213,0.81805132
120,120,1580118.378891155,5170042.119816354,-0.461555526
121,121,1579328.492786278,5170035.364760641,-0.002717378
122,122,1582437.469248658,5170042.091595726,0.582000003
123,123,1580096.040664235,5170023.910750699,-0.220999961
124,124,1580569.186735783,5170024.11902586,-0.837277753
125,125,1580817.55698356,5170045.243068282,0.230231126
126,126,1578894.136487486,5170010.308526107,-0.243479985
127,127,1579096.54337993,5170010.472910991,-0.274114746
128,128,1578908.509945375,5170002.031124684,-0.114965446
129,129,1580801.806799306,5170012.052924284,-0.106909545
130,130,1575077.654631863,5169977.645273499,-0.779616625
131,131,1580076.378456062,5169988.83654937,0.448064739
132,132,1575016.009989545,5169936.657730879,-0.506982468
133,133,1571890.942501768,5170004.087477542,-0.062838692
134,134,1575004.883507351,5169926.548839518,-0.345806464
135,135,1579314.300369698,5169963.095850329,-0.266080169
136,136,1571900.746346937,5169899.757836927,-0.142352459
137,137,1575107.945347872,5169911.189615203,0.13858646
138,138,1579334.102190631,5169917.898495229,-0.047062095
139,139,1574980.440936048,5169876.013978357,0.070411754
140,140,1575161.817327647,5169877.14721728,0.570923094
141,141,1580063.702388783,5169904.347908479,3.193337219
142,142,1571913.439487678,5169867.111167198,-0.166095744
143,143,1579348.442260102,5169892.415976134,1.390961789
144,144,1574958.723767806,5169856.096657481,-0.366583344
145,145,1580041.43933506,5169873.606951077,-0.648654284
146,146,1575213.248157633,5169837.556778437,-0.67716365
147,147,1580024.622151137,5169853.150118149,-0.280208926
