OID,FID_,X,Y,BCE_Tauran
472,472,1870290.736093734,5836844.734937566,-0.435897139
473,473,1870983.2252911,5836815.71853729,0.654999994
474,474,1870331.412426324,5836807.266984059,-0.286090918
475,475,1870339.180892821,5836796.825154877,-0.247149991
476,476,1870346.949338567,5836786.383315096,-0.216545458
477,477,1871053.453274575,5836768.509635936,0.890623851
478,478,1858452.176960166,5837110.505850377,0.679128291
479,479,1859152.043860406,5837084.983252359,-0.07908209
480,480,1870393.629979155,5836737.108360964,-0.079223241
481,481,1862647.498181168,5836964.467493804,0.039037038
482,482,1867479.776583972,5836873.023348269,0.394290489
483,483,1858507.076660196,5837094.192919364,0.873736222
484,484,1867466.2486849,5836796.87623277,0.48707265
485,485,1862652.104418589,5836937.500955116,0.147527196
486,486,1867455.804478645,5836780.574746425,0.425819995
487,487,1871027.097787168,5836726.64916087,0.738247883
488,488,1859088.916832236,5837042.435618646,-0.151341827
489,489,1862659.981289277,5836901.989488391,0.250628141
490,490,1862668.618250963,5836873.77251405,0.172820511
491,491,1871095.246055776,5836602.670358802,0.552090905
492,492,1870571.216420355,5836609.812042858,0.18556364
493,493,1862659.104179363,5836824.175238452,0.429162508
494,494,1871149.146166031,5836550.588246274,0.503599996
495,495,1871196.274970996,5836529.292552144,0.612925004
496,496,1870600.992542531,5836544.38852207,0.37541776
497,497,1870616.118485086,5836523.737438257,0.317636361
498,498,1862660.09944227,5836772.731881228,0.269483116
499,499,1858527.15883744,5837550.221904134,1.145772166
500,500,1870635.620284637,5836492.790347874,0.329525184
501,501,1871233.799665059,5836488.072133454,0.715821158
502,502,1858042.006191768,5836869.396514646,-0.455295602
503,503,1858929.290510487,5836912.466106241,-0.287938206
504,504,1858075.235171033,5836875.044697631,-0.296754028
505,505,1870681.121456913,5836456.300332859,0.297786328
506,506,1858851.396817292,5836838.968239741,-9999.0
507,507,1857925.068870809,5836834.013792687,-0.458000004
508,508,1857971.798241518,5836855.961221187,-0.458000004
509,509,1867433.642349599,5836507.661281527,0.577815429
510,510,1867404.778221986,5836453.080682315,0.49576363
511,511,1870797.091906044,5836333.336179753,0.251339621
512,512,1870808.236054196,5836322.406674292,0.244696203
513,513,1862096.373372414,5836592.494816055,-0.051692304
514,514,1870815.845004261,5836312.177239068,0.256725002
515,515,1867404.228755936,5836412.969465158,0.433792444
516,516,1870831.086201055,5836292.445908869,0.293018873
517,517,1870846.447371045,5836281.443458317,0.187555555
518,518,1871219.531916545,5836269.034996233,0.46397437
519,519,1871278.460151535,5836366.345247034,0.656936259
520,520,1862070.571754933,5836553.599715119,-0.150192991
521,521,1867395.329262192,5836383.31582002,0.616127289
522,522,1870861.497385586,5836250.801861153,0.294794873
523,523,1862065.590485319,5836531.508678214,-0.136317068
524,524,1862053.442098365,5836514.222506915,-0.2309091
525,525,1870868.45454049,5836220.632671654,0.30380519
526,526,1871145.82685005,5836241.379033272,0.434262367
