OID,FID_,X,Y,BCE_Port_F
497,497,1809569.623176681,5991320.369058194,-9999.0
498,498,1809404.583274698,5991309.379657708,-9999.0
499,499,1809448.651993292,5991293.362561764,-9999.0
500,500,1809670.311843839,5991268.089318952,-9999.0
501,501,1809496.579802855,5991269.773303122,-9999.0
502,502,1809655.563451216,5991244.104700412,-9999.0
503,503,1810860.803629475,5991198.756392824,-9999.0
504,504,1809552.963436449,5991232.812844947,-9999.0
505,505,1810872.576194931,5991184.240240605,-9999.0
506,506,1809576.913248653,5991213.112237403,-9999.0
507,507,1809607.699299486,5991168.471685202,-9999.0
508,508,1810859.254104829,5991134.700802321,-0.298736132
509,509,1810887.157647936,5991139.156576085,-0.883818193
510,510,1809631.010122381,5991144.496008941,-9999.0
511,511,1809644.424514468,5991125.222409965,-9999.0
512,512,1809638.926722184,5991109.683726459,-9999.0
513,513,1809654.805113433,5991077.622448339,-9999.0
514,514,1810517.85533113,5991048.820642469,-0.751000017
515,515,1810552.517245636,5991060.119467808,-0.523817555
516,516,1810918.185450827,5991087.893062187,-0.747130969
517,517,1809663.457946587,5991058.836955601,-9999.0
518,518,1810605.919842713,5991042.225357818,-9999.0
519,519,1809652.921410855,5991049.118150077,-9999.0
520,520,1810647.192645307,5991026.587025741,-9999.0
521,521,1811260.119886523,5991000.339756602,-9999.0
522,522,1809647.987629432,5991020.982262547,-9999.0
523,523,1810680.888180905,5991002.327308381,-9999.0
524,524,1811361.668705772,5990981.245131962,-9999.0
525,525,1810700.77621845,5990987.240794183,-9999.0
526,526,1810886.003360755,5990970.299349013,-0.620400012
527,527,1809643.644766764,5990999.480377432,-9999.0
528,528,1810931.277452888,5990979.992245816,-0.781500022
